非晶态装甲云	Amorphous Armorcloud
为星灵空中单位提供武器和护甲升级方案，并提供折跃门升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在传送门中折跃机械哨兵<n/>- 可以在传送门中折跃追猎者<n/>- 可以在传送门中折跃使徒<n/>- 可以在星灵枢纽中折跃母舰核心	Contains weapon and armor upgrades for Protoss air units and the Warp Gate upgrade.<n/><n/><c val="ffff8a">Enables:</c><n/>- Sentries at the Gateway<n/>- Stalkers at the Gateway<n/>- Adepts at the Gateway<n/>- Mothership Core at the Nexus
机动攻击型无人机。可以使用锁定技能在移动状态下快速开火。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Mobile assault drone. Can use Lock On to quickly fire while moving.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
提高飓风的锁定伤害。	Increases Cyclone Lock On damage.
提高<c val="ffff8a">飓风</c>的锁定伤害。使飓风的武器锁定目标单位，对地面单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成600点伤害。对空中单位在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成360点伤害。开火时可以移动。如果目标离开射程后则取消。	Increases <c val="ffff8a">Cyclone</c> Lock On damage. Deals 600 damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to ground targets, and 360 damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds to flying targets.
感染目标区域内的所有敌方单位和建筑，在<d ref="Behavior,DefilerMPPlague,Duration"/>秒内造成<d ref="Effect,DefilerMPPlagueDamage,Amount*Behavior,DefilerMPPlague,Duration/Behavior,DefilerMPPlague,Period"/>点伤害。单位或建筑的生命值最低不会少于1点。无视护盾。使被感染的隐形单位显形。	Infects all enemy units and buildings in the target area, inflicting <d ref="Effect,DefilerMPPlagueDamage,Amount*Behavior,DefilerMPPlague,Duration/Behavior,DefilerMPPlague,Period"/> damage over <d ref="Behavior,DefilerMPPlague,Duration"/> seconds. Cannot reduce units or buildings below 1 life. Ignores shields. Reveals infected cloaked units.
机械干扰型单位。可以使用净化新星造成大量伤害。	Robotic disruption unit. Can use Purification Nova to deal heavy area damage.
机械干扰型单位。可以使用净化新星造成大量范围伤害。	Robotic disruption unit. Can use Purification Nova to deal heavy area damage.
普通平民住所。	A modest civilian residence.
使目标区域内的单位移动速度降低<d ref="100 - (Behavior,Ensnare,Modification.MoveSpeedMultiplier * 100)"/>%，持续<d ref="Behavior,Ensnare,Duration"/>秒。显示隐形和潜地的单位。	Reduces movement of units in the targeted area by <d ref="100 - (Behavior,Ensnare,Modification.MoveSpeedMultiplier * 100)"/>% for <d ref="Behavior,Ensnare,Duration"/> seconds. Reveals cloaked and burrowed units.
让虫群宿主孵化的<c val="ffff8a">蝗虫</c>可以飞行。飞行蝗虫可以使用飞扑降落至地面进行攻击。	Allows <c val="ffff8a">Locusts</c> spawned by Swarm Hosts to fly. Flying Locusts can use Swoop to land and attack.
装填雷神的标枪导弹发射筒。标枪导弹能对周围的空中单位造成溅射伤害，并对轻甲单位造成额外伤害。	Arms the Thor's Javelin missile launchers. Javelin missiles deal splash damage to nearby air units and additional damage vs. light units.
让虫群宿主孵化的蝗虫可以飞行。飞行蝗虫可以使用飞扑降落至地面进行攻击。	Locusts spawned by the Swarm Host can fly. Flying Locusts can use Swoop to land and attack.
一种不可见的无敌单位，用于俯瞰作弊模式。	An invisible, invincible unit for the flyover mode cheat.
使目标单位无法移动，并在<d time="4"/>内造成总计<d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/>点伤害。被霉菌滋生击中的隐形单位或潜地单位会暂时现形。	Immobilizes target units and causes <d ref="(Behavior,FungalGrowth,Duration / Behavior,FungalGrowth,Period) * Effect,FungalGrowthDamage,Amount"/> damage over <d time="4"/>. Reveals cloaked and burrowed units.
将赫克拽向目标地面单位所在位置。<n/><n/><c val="#ColorAttackInfo">无法攻击近距离的单位或空中单位。</c>	Pulls the HERC to the target ground unit's location.<n/><n/><c val="#ColorAttackInfo">Cannot target units at close range or air units.</c>
前线步兵。可以使用抓钩。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Front-line infantry. Can use Grapple.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
治疗一个友方生物单位。<n/><n/><c val="f078ff">每消耗1点能量可治疗<d ref="Effect,MedivacHeal,RechargeVitalRate[0]"/>点生命值。</c>	Heals a friendly biological target.<n/><n/><c val="f078ff">Heals <d ref="Effect,MedivacHeal,RechargeVitalRate[0]"/> life per 1 energy.</c>
发射一枚在<d time="5"/>后激活的猎杀飞弹并追击目标单位，在接触时将造成<d ref="Effect,SeekerMissileDamage,Amount"/>点范围伤害。	Deploys a Seeker Missile which activates after <d time="5"/> and pursues the target unit, dealing <d ref="Effect,SeekerMissileDamage,Amount"/> splash damage upon contact.
远程攻击单位。可以变异为潜伏者。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Ranged attacker. Can morph into a Lurker. <n/><n/><c val="ffff8a">Can attack ground and air units.</c>
<d time="6"/>后折跃至目标位置。战列巡航舰在折跃时处于无敌状态。<n/><n/><c val="#ColorAttackInfo">不需要视野。</c>	After <d time="6"/>, warps to the target location. Battlecruiser is invulnerable while warping.<n/><n/><c val="#ColorAttackInfo">Does not require vision.</c>
最多可吸收<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害，持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。	Absorbs up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds.
在一个很小的范围内造成<d ref="Effect,HydraliskImpaleDamage,Amount"/>点伤害。	Deals <d ref="Effect,HydraliskImpaleDamage,Amount"/> damage in a very small area.
折跃进能量场的单位的折跃速度提高到<d time="5"/>。	Increases the speed of warp in for units warped into the power field to <d time="5"/>.
善于感染的虫类，可以在潜地后移动。能够释放被感染的人类，并可以使用霉菌滋生和神经寄生技能。	Infestation specialist. Can move while burrowed. Can use the Infested Terran, Fungal Growth, and Neural Parasite abilities.
能够自动攻击航母目标的战斗飞行机。拦截机是航母唯一的武器。<n/><n/><c val="#ColorAttackInfo">可以对地和对空。</c>	Combat drones that automatically strafe their Carrier's target. Carriers may not attack without Interceptors.<n/><n/><c val="#ColorAttackInfo">Can attack ground and air units.</c>
可在短时间内引爆，造成10点伤害并击退附近的单位。	Explodes after a short delay, doing 10 damage and knocking back nearby units.
发射4名防御单位巡逻目标区域。激活时，航母不能使用拦截机。	Launches 4 defenders to patrol the targeted area. While active, the Carrier may not use interceptors.
重型火炮战机。装载有能对敌方空中单位造成范围伤害的飞弹。可以切换为防卫模式以提供攻城火力。<n/><n/><c val="#ColorAttackInfo">可以对空。</c>	Artillery fighter. Loaded with missiles that deal area damage to enemy air targets. Can switch into Defender Mode to provide siege support.<n/><n/><c val="#ColorAttackInfo">Can attack air units.</c>
变回战机模式。在这个模式下解放者可以自由移动，但只能攻击空中目标。	Reverts to Fighter Mode. In this mode Liberators can move, but they can only attack air targets.
无法移动的防卫战机。对地面单位造成大量单体伤害。可以切换为战机模式提供对空支援。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Immobile defender. Deals heavy single target damage to ground units. Can switch into Fighter mode to provide air support.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
部署为防卫模式。在此模式下解放者可对地面单位造成大量单体伤害。在此模式下解放者无法移动。	Deploys into Defender Mode. In this mode Liberators inflict single target damage to ground units. Liberators in this mode cannot move.
在<d ref="Behavior,LightningBomb,Duration"/>秒内造成<d ref="Effect,LightningBombDamage,Amount/Behavior,LightningBomb,Period*Behavior,LightningBomb,Duration"/>点伤害。	Deals <d ref="Effect,LightningBombDamage,Amount/Behavior,LightningBomb,Period*Behavior,LightningBomb,Duration"/> damage over <d ref="Behavior,LightningBomb,Duration"/> seconds.
让先知能够侦测隐形、潜地以及幻像单位，持续<d time="60"/>。	Allows the Oracle to detect cloaked, burrowed, and hallucinated units for <d time="60"/>.
使飓风的武器锁定目标单位，在<d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/>秒内造成<d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/>点伤害。开火时可以移动。如果目标离开射程后则取消。	Locks the Cyclone's weapons on the target unit, dealing <d ref="Effect,LockOnCP,PeriodCount*Effect,CycloneWeaponDamage,Amount"/> damage over <d ref="Effect,LockOnCP,PeriodCount * Effect,LockOnCP,PeriodicPeriodArray[0]"/> seconds. Can move while firing. Cancels if target moves out of range.
取消当前的锁定，使你可以选择一个新的目标。	Cancels the current Lock On, and allows you to select a new target.
命令选中的单位自由射击。	Orders selected units to fire at will.
命令选中的单位无视射程中的敌人。	Orders selected units to ignore enemies that are within range.
茧中包裹的刺蛇正在变异为潜伏者。	This cocoon contains a Hydralisk that is morphing into a Lurker.
使医疗运输机的移动速度提高70%，持续<d time="8"/>。	Increases the Medivac's movement speed by 70% for <d time="8"/>.
终极星灵战舰。能够使用光子超载、群体召回和时间扭曲技能。使附近的友方单位和建筑隐形。<n/><n/><c val="ffff8a">可以对地和对空。</c>	Ultimate Protoss vessel. Can use Photon Overcharge, Mass Recall, and Time Warp abilities. Cloaks nearby friendly units and structures.<n/><n/><c val="ffff8a">Can attack ground and air units.</c>
移动的施法单位。可以使用光子超载、群体召回和时间扭曲技能。可以升级为母舰。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Mobile flying caster. Can use Photon Overcharge, Mass Recall, and Time Warp abilities. Can upgrade into the Mothership.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
将母舰以及所有附近的该玩家的单位传送至目标星灵枢纽。	Teleports the Mothership and all nearby units owned by the player to the targeted Nexus.
变异成潜伏者巢穴，使刺蛇可以变异成潜伏者。	Morph into a Lurker Den, allowing Hydralisks to morph into Lurkers.
空中施法单位。可使用天启、静滞结界和脉冲光线技能。	Flying caster. Can use Revelation, Stasis Ward, and Pulsar Beam.
在目标位置放置一个隐形的静滞结界。一旦被一个敌方地面单位触发，该结界将使附近的敌方单位陷入静滞状态，持续<d ref="Behavior,OracleStasisTrapTarget,Duration"/>秒。被困住的单位无法被攻击或被技能影响。	Places a cloaked Stasis Ward at the target location. Once activated by an enemy ground unit, the ward traps nearby enemies in stasis for <d ref="Behavior,OracleStasisTrapTarget,Duration"/> seconds. Trapped units cannot be attacked or affected by abilities.
使目标区域内的单位和建筑获得视野，持续<d ref="Behavior,OracleRevelation,Duration"/>秒。显示隐形或潜地的单位和建筑。	Causes enemy units and structures within the target area to grant vision for <d ref="Behavior,OracleRevelation,Duration"/> seconds. Reveals cloaked or burrowed units and structures.
地面单位陷阱。隐形使敌人在不进行探测的情况下无法发现静滞结界。	Ground unit trap. Cloak renders the Stasis Ward invisible to enemies without detection.
提升移动速度，持续<d time="3"/>。每<d time="1" precision="1"/>对附近的<c val="FFFF00">任意</c>单位造成30点伤害。当超载后，施法者处于无敌状态，无法被瞄准，且可以穿过所有单位。伤害场持续<d time="6"/>。<n/><n/><c val="FFFF00">对所有单位造成伤害，包括友方单位。</c>	Increases movement speed for <d time="3"/> and dealing 30 damage per <d time="1" precision="1"/> to <c val="FFFF00">any </c>nearby units. While Overcharged, the caster is invulnerable, untargetable, and can pass through all units. Damage field lasts <d time="6"/>.<n/><n/><c val="FFFF00">Deals damage to all units, including friendly.</c>
提供补给。<n/>提高本方单位数量上限。	Provides supply.<n/>Supply allows you to create more units.
茧中包裹的王虫正在变异为一只眼虫。	This cocoon contains an Overlord as it is morphing the capability to transport units.
生成一团寄生云，在<d time="10"/>内对目标和附近的敌方空中单位造成90点伤害。如果目标死亡，寄生云会在敌人的死亡位置一直存在直至消失。<n/><n/><c val="#ColorAttackInfo">无法选择地面单位或建筑作为目标。</c>	Creates a parasitic cloud that deals 90 damage over <d time="10"/> to the target and enemy air units nearby. If the target dies, the cloud remains in the air where the enemy died until it expires.<n/><n/><c val="#ColorAttackInfo">Cannot target ground units or structures.</c>
发射一枚灌注了灵能的子弹，对沿途的敌人进行打击，造成<d ref="Effect,PenetratingShotDamage,Amount"/>(+<d ref="Effect,PenetratingShotDamage,AttributeBonus[Biological]"/>对生物)伤害。	Fires a psi-charged bullet that strikes enemies along its path, dealing <d ref="Effect,PenetratingShotDamage,Amount"/> (+<d ref="Effect,PenetratingShotDamage,AttributeBonus[Biological]"/> to bio) damage.
静滞结界处于永久隐形状态。	The Stasis Ward is permanently cloaked.
保护目标区域内的友方单位免受伤害，持续<d time="5"/>。	Protects friendly units within target area from harmful effects for <d time="5"/>.
自动化防御激光，可以拦截敌军导弹。<n/><n/>对劫掠者、战狼、维京战机、女妖、战列巡航舰、飓风、雷神、导弹塔、追猎者、凤凰、风暴战舰、光子炮台、母舰核心、虫后、异龙、腐化者、刺蛇、破坏者、蝗虫和孢子爬虫有效。<n/><n/><c val="f078ff">每次攻击消耗10点能量值。</c>	Automated defensive laser that intercepts enemy projectiles.<n/><n/>Effective against Marauders, Vikings, Banshees, Battlecruisers, Cyclones, Thors, Missile Turrets, Stalkers, Phoenixes, Tempests, Photon Cannons, Mothership Cores, Nexus, Queens, Mutalisks, Corruptors, Hydralisks, Ravagers, Locusts, and Spore Crawlers.<n/><n/><c val="f078ff">Each shot consumes 10 energy.</c>
获得<d ref="Behavior,PurificationNovaSpeedBoost,Modification.MoveSpeedBonus/Unit,Disruptor,Speed*100"/>%移动速度提升，<d ref="Behavior,PurificationNova,Duration"/>秒后放射出一道强大的新星，对附近的单位造成<d ref="Effect,PurificationNovaDamage,Amount"/>点溅射伤害。<n/><n/><c val="#ColorAttackInfo">只会对地面单位和建筑造成伤害。</c>	Gains <d ref="Behavior,PurificationNovaSpeedBoost,Modification.MoveSpeedBonus/Unit,Disruptor,Speed*100"/>% increased movement speed and then after <d ref="Behavior,PurificationNova,Duration"/> seconds emits a powerful nova dealing <d ref="Effect,PurificationNovaDamage,Amount"/> splash damage to nearby units.<n/><n/><c val="#ColorAttackInfo">Damages ground units and structures only.</c>
工作单位可从该矿脉采集资源。	Workers can harvest resources from this Mineral Field.
支援型空中单位。可以使用诱捕、孵化巢虫以及感染指挥中心。	Support flyer. Can use Ensnare, Spawn Broodlings, and Infest Command Center.
消灭目标生物单位，孵化出<d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/>只巢虫。	Kills target biological unit and spawns <d ref="Effect,QueenMPSpawnBroodlingsCreate,SpawnCount"/> Broodlings.
使医疗运输机卸载单位的速度加快一倍。	The Medivac deploys loaded troops twice as fast.
朝目标位置发射一枚飞弹，撞击后对该范围内的所有单位造成<d ref="Effect,RavagerCorrosiveBileDamage,Amount"/>点伤害。<n/><n/><c val="#ColorAttackInfo">可以摧毁星灵力场。</c>	Launch a missile at the target location, dealing <d ref="Effect,RavagerCorrosiveBileDamage,Amount"/> damage to all units in the area upon impact.<n/><n/><c val="#ColorAttackInfo">Can destroy Protoss Force Fields.</c>
使破坏者的腐蚀胆汁射程提高4。	Increases the Ravager's Corrosive Bile range by 4.
空中支援单位。能够部署自动机炮、定点防御靶机和猎杀飞弹。<n/><n/><c val="FFE303">侦测单位</c>	Aerial support unit. Can use Auto-Turret, Point Defense Drone, and Seeker Missile.<n/><n/><c val="FFE303">Detector</c>
游骑兵。能够翻越悬崖。脱离战斗后能快速回复生命值。可使用KD8型炸弹。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Raider. Can jump up and down cliffs. Regenerates life quickly while out of combat. Can use KD8 Charge.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
航母朝目标点发射所有拦截机，只有<d ref="Behavior,ReleaseInterceptorsTimedLife,Duration"/>秒的限时生命。拦截机会在范围内一直逗留直至其消失。	Carrier launches all Interceptors at the target point with a <d ref="Behavior,ReleaseInterceptorsTimedLife,Duration"/> second timed life. Interceptors remain at the area until they expire.
机械干扰型单位。可以使用净化新星造成大量伤害。<n/><n/><c val="ffff8a">可以对地。</c>	Robotic disruption unit. Can use Purification Nova to deal heavy area damage.<n/><n/><c val="ffff8a">Can attack ground units.</c>
一个普通的纸板箱。从标签上来看，里面可能装着一条蛇。最好别碰它。	An ordinary cardboard box. According to its label, there might be a snake inside. Probably best to leave it alone.
每当<c val="ffff8a">使徒</c>消灭一名敌人时，其攻击便能弹跳至邻近的两名敌方单位。	Allows the <c val="ffff8a">Adept's</c> attack to bounce to two nearby enemy units whenever it kills an enemy.
<c val="ffff8a">使徒</c>的护盾提高50点。	Increases the <c val="ffff8a">Adept's</c> shields by 50.
<c val="ffff8a">解放者</c>在防卫模式下的射程提高4。	Increases the range of <c val="ffff8a">Liberators</c> in Defender Mode by 4.
激活后，使<c val="ffff8a">不朽者</c>最多可吸收<d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/>点伤害。持续<d ref="Behavior,ImmortalOverload,Duration"/>秒。	When activated, allows <c val="ffff8a">Immortals</c> to absorb up to <d ref="Behavior,ImmortalOverload,DamageResponse.ModifyLimit"/> damage. Lasts for <d ref="Behavior,ImmortalOverload,Duration"/> seconds.
使<c val="ffff8a">寡妇雷</c>潜地激活的速度提高3倍。	Allows <c val="ffff8a">Widow Mines</c> to burrow and activate three times as fast.
延长铁鸦的<c val="ffff8a">自动机炮</c>和<c val="ffff8a">定点防御靶机</c>的持续时间。	Extends the timed duration of Raven <c val="ffff8a">Auto-Turrets</c> and <c val="ffff8a">Point Defense Drones</c>.
强化<c val="ffff8a">恶火</c>的地狱火喷射器，使其对轻甲单位造成额外5点伤害。<n/><n/><c val="#ColorAttackInfo">不影响地狱蝠。</c>	Improves the <c val="ffff8a">Hellion's</c> Infernal Flamethrower to deal +5 damage vs. light units.<n/><n/><c val="#ColorAttackInfo">Does not affect Hellbat.</c>
提高<c val="ffff8a">医疗运输机</c>的燃料储备，使后燃推进系统的持续时间提高50%。	Increases the <c val="ffff8a">Medivac's</c> fuel reserves, allowing Ignite Afterburners to last 50% longer.
<c val="ffff8a">不朽者</c>死亡<d time="30"/>后自动复活。3分钟冷却时间。	<c val="ffff8a">Immortal</c> is automatically revived <d time="30"/> after death. 3 min cooldown.
使<c val="ffff8a">解放者</c>能变形为对地远程攻城单位。	Enables <c val="ffff8a">Liberators</c> to transform into a siege ranged anti-ground unit.
使<c val="ffff8a">飓风</c>的锁定射程从6提高至9。	Increases <c val="ffff8a">Cyclone</c> Lock On range from 6 to 9 and Locked On range from 12 to 15.
使<c val="ffff8a">蝗虫</c>的持续时间延长<d ref="Upgrade,LocustLifetimeIncrease,EffectArray[0].Value"/>秒。	Increases the lifetime of <c val="ffff8a">Locusts</c> by <d ref="Upgrade,LocustLifetimeIncrease,EffectArray[0].Value"/> seconds.
使<c val="ffff8a">潜伏者</c>的攻击射程提高3。	Increases the attack range of <c val="ffff8a">Lurkers</c> by +3.
<c val="ffff8a">医疗运输机</c>的初始能量值提高<d ref="Upgrade,MedivacCaduceusReactor,EffectArray[0].Value"/>点。	Increases the starting energy of <c val="ffff8a">Medivacs</c> by <d ref="Upgrade,MedivacCaduceusReactor,EffectArray[0].Value"/>.
使<c val="ffff8a">破坏者</c>的腐蚀胆汁射程提高4。	Increases the <c val="ffff8a">Ravager's</c> Corrosive Bile range by 4.
使<c val="ffff8a">铁鸦</c>能够使用猎杀飞弹。猎杀飞弹需要<d ref="Behavior,SeekerMissileTimeout,Duration[0]"/>秒钟进行激活，如果激活完成时目标仍在导弹攻击范围内，则将受到<d ref="Effect,SeekerMissileDamage,Amount"/>点范围伤害。	Enables <c val="ffff8a">Ravens</c> to use the Seeker Missile armament. This missile activates after <d ref="Behavior,SeekerMissileTimeout,Duration[0]"/> seconds, dealing <d ref="Effect,SeekerMissileDamage,Amount"/> AoE damage to the target if they are still within range.
允许<c val="ffff8a">恶火</c>和<c val="ffff8a">恶蝠</c>在彼此之间任意变形。<c val="ffff8a">恶火</c>是快速的侦察单位，而<c val="ffff8a">恶蝠</c>则是近距离的作战单位。	Allows <c val="ffff8a">Hellions</c> and <c val="ffff8a">Hellbats</c> to transform between modes freely. In <c val="ffff8a">Hellion</c> mode they are fast scouts, but by activating <c val="ffff8a">Hellbat</c> mode they become close range combat units.
通过集中的不稳定中子光线攻击建筑。脉冲光线每<d ref="Effect,RipFieldCreatePersistent,PeriodicPeriodArray[0]"/>秒造成<d ref="Effect,RipFieldDamage,Amount"/>点伤害值<n/><n/><c val="f078ff">每<d time="1" precision="1"/>消耗<d ref="-1 * (Behavior,PulsarBeam,Modification.VitalRegenArray[2] + Unit,Oracle,EnergyRegenRate)" precision="1"/>点能量值。</c>	Attacks structures with a concentrated beam of unstable neutrons. The Pulsar Beam deals <d ref="Effect,RipFieldDamage,Amount"/> damage every <d ref="Effect,RipFieldCreatePersistent,PeriodicPeriodArray[0]"/> second.<n/><n/><c val="f078ff">Drains <d ref="-1 * (Behavior,PulsarBeam,Modification.VitalRegenArray[2] + Unit,Oracle,EnergyRegenRate)" precision="1"/> energy per <d time="1" precision="1"/>.</c>
突击单位。潜地后能快速恢复生命值。可以变异为破坏者。<n/><n/><c val="ffff8a">可以对地。</c>	Assault unit. Regenerates life quickly when burrowed. Can morph into a Ravager.<n/><n/><c val="ffff8a">Can attack ground units.</c>
为侦测器、折跃棱镜和巨像提供升级方案。<n/><n/><c val="ffff8a">开启：</c><n/>- 可以在机械台中折跃巨像<n/>- 可以在机械台中折跃干扰者	Contains upgrades for the Observer, Warp Prism, and Colossus.<n/><n/><c val="ffff8a">Enables:</c><n/>- Colossi at the Robotics Facility<n/>- Disruptors at the Robotics Facility
每秒回复<d ref="Behavior,SelfRepair,Modification.VitalRegenArray[Life]"/>点生命值。雷神在被完全修复或者等待<d ref="Behavior,SelfRepair,Duration"/>秒后才能移动或攻击。	Regenerates <d ref="Behavior,SelfRepair,Modification.VitalRegenArray[Life]"/> life per second. Thor cannot move or attack until fully repaired or <d ref="Behavior,SelfRepair,Duration"/> seconds have passed.
从目标单位身上吸取能量。	Siphons energy from targeted unit.
释放拦截机攻击目标区域。拦截机会在该区域内持续存在，最多存在<d ref="Behavior,InterceptorTimedLife,Duration"/>秒或直至其被消灭。	Releases interceptors to attack the target area. Interceptors will remain in the area for up to <d ref="Behavior,InterceptorTimedLife,Duration"/> seconds or until killed.
向目标区域折跃异度时空，持续<d ref="Effect,TemporalFieldCreatePersistent,PeriodCount*Effect,TemporalFieldCreatePersistent,PeriodicPeriodArray[0]"/>秒。进入力场的敌方地面单位移动速度降低<d ref="(1-Behavior,TemporalField,Modification.MoveSpeedMultiplier)*100"/>%。	Warps spacetime within the target area for <d ref="Effect,TemporalFieldCreatePersistent,PeriodCount*Effect,TemporalFieldCreatePersistent,PeriodicPeriodArray[0]"/> seconds. Enemy ground units that enter the field have their movement speed reduced by <d ref="(1-Behavior,TemporalField,Modification.MoveSpeedMultiplier)*100"/>%.
为目标建筑时空提速，使目标建筑的运作效率提高<d ref="(((Behavior,TimeWarpProduction,Modification.TimeScale)-1)*100)"/>%。	Places target structure in a Chrono Boost, causing it to operate <d ref="(((Behavior,TimeWarpProduction,Modification.TimeScale)-1)*100)"/>% faster.
为狂热者、追猎者以及使徒提供升级方案。	Contains upgrades for Zealots, Stalkers, and Adepts.
飞行的施法者，战地的控场大师。可使用寄生弹、吞噬、蔽目毒云和绑架技能。	Flying caster. Able to manipulate battlefield conditions. Can use Parasitic Bomb, Consume, Blinding Cloud, and Abduct abilities.
缠绕目标建筑，造成<d ref="-1 * (Effect,ViperConsumeStructureModifyTarget,VitalArray[0].Change * Effect,ViperConsumeStructureCreatePersistent,PeriodCount)"/>点伤害并每秒为飞蛇恢复<d ref="(Effect,ViperConsumeStructureModifyCaster,VitalArray[2].Change / Behavior,TimeScaleConversionBehavior,Duration)" precision="1"/>点能量值。<n/><n/><c val="#ColorAttackInfo">无法以盟友或敌方建筑为目标。</c>	Latches onto the target structure, dealing <d ref="-1 * (Effect,ViperConsumeStructureModifyTarget,VitalArray[0].Change * Effect,ViperConsumeStructureCreatePersistent,PeriodCount)"/> damage and restoring <d ref="(Effect,ViperConsumeStructureModifyCaster,VitalArray[2].Change / Behavior,TimeScaleConversionBehavior,Duration)" precision="1"/> energy to the Viper every second.<n/><n/><c val="#ColorAttackInfo">Cannot target allied or enemy structures.</c>
远程特种单位。可以使用灵能传送。<n/><n/><c val="#ColorAttackInfo">可以对地。</c>	Ranged specialist. Can use Psionic Transfer.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>
向靠近的敌方地面和空中单位发射导弹进行攻击。导弹对首要目标造成<d ref="Effect,WidowMineExplodeDirect,Amount"/>(+35对护盾)点伤害值，并对附近的其他单位造成<d ref="Effect,WidowMineExplodeSplash,Amount"/>(+<d ref="Effect,WidowMineExplodeSplashShields,VitalBonus[Shields]"/>对护盾)点溅射伤害。<n/><n/><c val="#ColorAttackInfo">冷却时间：<d ref="Abil,WidowMineAttack,Cost[0].Cooldown[0].TimeUse[0]"/>秒。</c>	Attacks by launching missiles at enemy ground and air units that get too close. Missiles deal <d ref="Effect,WidowMineExplodeDirect,Amount"/> (+35 vs. shields) damage to their primary target, and <d ref="Effect,WidowMineExplodeSplash,Amount"/> (+<d ref="Effect,WidowMineExplodeSplashShields,VitalBonus[Shields]"/> vs. shields) splash damage to units nearby.<n/><n/><c val="#ColorAttackInfo">Cooldown: <d ref="Abil,WidowMineAttack,Cost[0].Cooldown[0].TimeUse[0]"/> seconds.</c>
显示萨尔纳加瞭望塔附近的区域。只能由地面单位激活。	Provides vision of the area surrounding the Xel'Naga Tower. Can only be activated by ground units.
摧毁该路障可以打开前往新区域的通道。	Barrier that can be destroyed to allow access to new areas.
使<c val="ffff8a">跳虫</c>的攻击速度提高40%。	Increases the attack speed of <c val="ffff8a">Zerglings</c> by 40%.
节日活动随机台词	Random lines for holiday events
节日问候员	Holiday Chatter
诺娃基础02	Nova Basic 02
LM	LM
Phase Shift CU	Phase Shift CU
Phase Shift Cancel	Phase Shift Cancel
Phase Shift Caster AB	Phase Shift Caster AB
Phase Shift Initial Set	Phase Shift Initial Set
Phase Shift Issue Order	Phase Shift Issue Order
Phase Shift Kill Dummy	Phase Shift Kill Dummy
Phase Shift Remove Disables Set	Phase Shift Remove Disables Set
Phase Shift Select	Phase Shift Select
Phase Shift Spawn AB	Phase Shift Spawn AB
Phase Shift Spawn Set	Phase Shift Spawn Set
Phase Shift Teleport	Phase Shift Teleport
Phase Shift Teleport Set	Phase Shift Teleport Set
Phase Shift Timer Spawn AB	Phase Shift Timer Spawn AB
Phase Unit Order Queue	Phase Unit Order Queue
Shade Phase Shift Cancel RB	Shade Phase Shift Cancel RB
Shade Phase Shift Cancel Caster Behavior RB	Shade Phase Shift Cancel Caster Behavior RB
Upgrade Apply Death Check	Upgrade Apply Death Check
Upgrade Death Search	Upgrade Death Search
Upgrade LM	Upgrade LM
Upgrade Set	Upgrade Set
ArbiterMP Cloaking Field (Apply)	ArbiterMP Cloaking Field (Apply)
ArbiterMP Cloaking Field (Search)	ArbiterMP Cloaking Field (Search)
ArbiterMP Recall (Apply Post-Recall Behavior)	ArbiterMP Recall (Apply Post-Recall Behavior)
ArbiterMP Recall (Apply Pre-Recall Behavior)	ArbiterMP Recall (Apply Pre-Recall Behavior)
ArbiterMP Recall (Search)	ArbiterMP Recall (Search)
ArbiterMP Recall (Set)	ArbiterMP Recall (Set)
ArbiterMP Recall (Teleport)	ArbiterMP Recall (Teleport)
