非晶态装甲云	Armure de brume
Laser Drill Tripod Coop Point Turret MU	Laser Drill Tripod Coop Point Turret MU
Laser Drill Tripod Coop Create Persistent	Laser Drill Tripod Coop Create Persistent
Laser Drill Tripod Coop Final Damage	Laser Drill Tripod Coop Final Damage
Laser Drill Tripod Overload10 Damage	Laser Drill Tripod Overload10 Damage
Laser Drill Tripod Overload10 Search Air	Laser Drill Tripod Overload10 Search Air
Laser Drill Tripod Overload10 Search Ground	Laser Drill Tripod Overload10 Search Ground
Laser Drill Tripod Overload1 Damage	Laser Drill Tripod Overload1 Damage
Laser Drill Tripod Overload1 Search Air	Laser Drill Tripod Overload1 Search Air
Laser Drill Tripod Overload1 Search Ground	Laser Drill Tripod Overload1 Search Ground
Laser Drill Tripod Overload2 Damage	Laser Drill Tripod Overload2 Damage
Laser Drill Tripod Overload2 Search Air	Laser Drill Tripod Overload2 Search Air
Laser Drill Tripod Overload2 Search Ground	Laser Drill Tripod Overload2 Search Ground
Laser Drill Tripod Overload3 Damage	Laser Drill Tripod Overload3 Damage
Laser Drill Tripod Overload3 Search Air	Laser Drill Tripod Overload3 Search Air
Laser Drill Tripod Overload3 Search Ground	Laser Drill Tripod Overload3 Search Ground
Laser Drill Tripod Overload4 Damage	Laser Drill Tripod Overload4 Damage
Laser Drill Tripod Overload4 Search Air	Laser Drill Tripod Overload4 Search Air
Laser Drill Tripod Overload4 Search Ground	Laser Drill Tripod Overload4 Search Ground
Laser Drill Tripod Overload5 Damage	Laser Drill Tripod Overload5 Damage
Laser Drill Tripod Overload5 Search Air	Laser Drill Tripod Overload5 Search Air
Laser Drill Tripod Overload5 Search Ground	Laser Drill Tripod Overload5 Search Ground
Laser Drill Tripod Overload6 Damage	Laser Drill Tripod Overload6 Damage
Laser Drill Tripod Overload6 Search Air	Laser Drill Tripod Overload6 Search Air
Laser Drill Tripod Overload6 Search Ground	Laser Drill Tripod Overload6 Search Ground
Laser Drill Tripod Overload7 Damage	Laser Drill Tripod Overload7 Damage
Laser Drill Tripod Overload7 Search Air	Laser Drill Tripod Overload7 Search Air
Laser Drill Tripod Overload7 Search Ground	Laser Drill Tripod Overload7 Search Ground
Laser Drill Tripod Overload8 Damage	Laser Drill Tripod Overload8 Damage
Laser Drill Tripod Overload8 Search Air	Laser Drill Tripod Overload8 Search Air
Laser Drill Tripod Overload8 Search Ground	Laser Drill Tripod Overload8 Search Ground
Laser Drill Tripod Overload9 Damage	Laser Drill Tripod Overload9 Damage
Laser Drill Tripod Overload9 Search Air	Laser Drill Tripod Overload9 Search Air
Laser Drill Tripod Overload9 Search Ground	Laser Drill Tripod Overload9 Search Ground
Laser Drill Tripod Overload	Laser Drill Tripod Overload
Laser Drill Tripod Overload Explode Set	Laser Drill Tripod Overload Explode Set
Laser Drill Tripod Overload Explode Switch Air	Laser Drill Tripod Overload Explode Switch Air
Laser Drill Tripod Overload Explode Switch Ground	Laser Drill Tripod Overload Explode Switch Ground
Lava Burst Initial	Lava Burst Initial
LavaDamageCoopApply	LavaDamageCoopApply
跃击伤害	Leap Damage
跃击击晕	Leap Stun
Lock On Additional Search	Lock On Additional Search
Lock On CP Upgraded	Lock On CP Upgraded
Locust MPIssue Order	Locust MPIssue Order
Marauder Merc Veterancy Aura AB	Marauder Merc Veterancy Aura AB
Marine Black Ops Spawner Create Unit	Marine Black Ops Spawner Create Unit
Marine Black Ops Spawner Set	Marine Black Ops Spawner Set
Marine Merc Veterancy Aura AB	Marine Merc Veterancy Aura AB
Marine Merc Veterancy Aura Search	Marine Merc Veterancy Aura Search
Marine Merc Veterancy Aura Target Bonus AB	Marine Merc Veterancy Aura Target Bonus AB
MarineSuperStim	MarineSuperStim
MasteryArtanisSoAPowerFieldHaste_Target	MasteryArtanisSoAPowerFieldHaste_Target
MasteryKerriganInstantReviveDisplayDummy	MasteryKerriganInstantReviveDisplayDummy
MasteryStukovInfestStructureCDRDisplayDummy	MasteryStukovInfestStructureCDRDisplayDummy
Medic Heal AC Search	Medic Heal AC Search
Medic Heal AC Switch	Medic Heal AC Switch
Medic Merc Veterancy Aura AB	Medic Merc Veterancy Aura AB
Merc Ground Drop Behavior Set	Merc Ground Drop Behavior Set
Fragmentation Grenade Damage	Fragmentation Grenade Damage
发射发射物	Launch Missile
Mira Starport Attack Weapon Damage	Mira Starport Attack Weapon Damage
Mira Starport Attack Weapon Launch Missile Left	Mira Starport Attack Weapon Launch Missile Left
Mira Starport Attack Weapon Launch Missile Left Set	Mira Starport Attack Weapon Launch Missile Left Set
Mira Starport Attack Weapon Launch Missile Right	Mira Starport Attack Weapon Launch Missile Right
Mira Starport Attack Weapon Launch Missile Right Set	Mira Starport Attack Weapon Launch Missile Right Set
Mira Starport Attack Weapon Launch Missile Switch	Mira Starport Attack Weapon Launch Missile Switch
Mira Starport Weapon Launch Missile Alternate AB	Mira Starport Weapon Launch Missile Alternate AB
Mira Starport Weapon Launch Missile Alternate RB	Mira Starport Weapon Launch Missile Alternate RB
Void Ray (Damage Set 1)	Void Ray (Damage Set 1)
MonitorFakeWeaponOrderDummy	MonitorFakeWeaponOrderDummy
MonitorFakeWeaponSwitch	MonitorFakeWeaponSwitch
MorphRoachToRavagerAutoCastCheck	MorphRoachToRavagerAutoCastCheck
Mutator Cloaked Mine Attack	Mutator Cloaked Mine Attack
Death Pull AB	Death Pull AB
Death Pull Force	Death Pull Force
Death Pull Persistent	Death Pull Persistent
Death Pull Search	Death Pull Search
Death Pull Set	Death Pull Set
Gift Healing AB	Gift Healing AB
Gift Healing Initial MU	Gift Healing Initial MU
Gift Healing Initial Healer	Gift Healing Initial Healer
Gift Healing Search	Gift Healing Search
Gift Healing Secondary Healer	Gift Healing Secondary Healer
Gift Healing Secondary MU	Gift Healing Secondary MU
Gift Healing Set	Gift Healing Set
Mutator Hardened Will AB	Mutator Hardened Will AB
Hunger Damage	Hunger Damage
Mutator - Immune to Player 1 Visual AB	Mutator - Immune to Player 1 Visual AB
Mutator - Immune to Player 1 Visual RB	Mutator - Immune to Player 1 Visual RB
Mutator - Immune to Player 2 Visual AB	Mutator - Immune to Player 2 Visual AB
Mutator - Immune to Player 2 Visual RB	Mutator - Immune to Player 2 Visual RB
MutatorInfestedTurkeyDisgustingSpewDamage	MutatorInfestedTurkeyDisgustingSpewDamage
MutatorInfestedTurkeyDisgustingSpewLM	MutatorInfestedTurkeyDisgustingSpewLM
MutatorInfestedTurkeyTerrifyingGobbleAB	MutatorInfestedTurkeyTerrifyingGobbleAB
MutatorInfestedTurkeyTerrifyingGobbleSE	MutatorInfestedTurkeyTerrifyingGobbleSE
Mutator Inspiration AB	Mutator Inspiration AB
Mutator Inspiration Search	Mutator Inspiration Search
Kill Cannon Damage	Kill Cannon Damage
Mutator Plague Behavior Revive RB	Mutator Plague Behavior Revive RB
Propagate Apply Behavior	Propagate Apply Behavior
Propagate Persistent	Propagate Persistent
Propagate Create Unit	Propagate Create Unit
Propagate Damage	Propagate Damage
Propagate Modify Clone	Propagate Modify Clone
复苏	Reanimate
TempDamageReflect	TempDamageReflect
Mutator Thermal Lances Fire Beam	Mutator Thermal Lances Fire Beam
Mutator Thermal Lances Fire Beam Initial CP	Mutator Thermal Lances Fire Beam Initial CP
MutatorTurkeyPeckDamage	MutatorTurkeyPeckDamage
MutatorTurkingPeckOfJudgementDamage	MutatorTurkingPeckOfJudgementDamage
Mutator Widow Mine	Mutator Widow Mine
Nemesis Missile Pod (Damage)	Nemesis Missile Pod (Damage)
Nemesis Missile Pod (Launch Missile)	Nemesis Missile Pod (Launch Missile)
Nemesis Missile Pod (Persistent)	Nemesis Missile Pod (Persistent)
New Symb Target	New Symb Target
Laser Damage	Laser Damage
Boom! Damage	Boom! Damage
Boom! Set	Boom! Set
NovaBoombotBurrowDelay	NovaBoombotBurrowDelay
NovaBoombotDeselectNovaDelay	NovaBoombotDeselectNovaDelay
NovaBoombotsTimedLifeExpireSet	NovaBoombotsTimedLifeExpireSet
NovaCombatSuitInitialSet	NovaCombatSuitInitialSet
Nova Coop Caster Advanced Optics Apply Behavior	Nova Coop Caster Advanced Optics Apply Behavior
Nova Coop Caster Advanced Optics Search	Nova Coop Caster Advanced Optics Search
Nova Coop Caster Defensive Matrix Apply Behavior	Nova Coop Caster Defensive Matrix Apply Behavior
Nova Coop Caster Defensive Matrix Search	Nova Coop Caster Defensive Matrix Search
Nova Coop Caster Nuke Damage	Nova Coop Caster Nuke Damage
Nova Coop Caster Nuke Detonate	Nova Coop Caster Nuke Detonate
Nova Coop Caster Nuke Persistent	Nova Coop Caster Nuke Persistent
NovaCoopCasterStunGrenadeABSet	NovaCoopCasterStunGrenadeABSet
Nova Coop Caster Stun Grenade Apply Behavior	Nova Coop Caster Stun Grenade Apply Behavior
Nova Coop Caster Stun Grenade Apply Behavior Slow	Nova Coop Caster Stun Grenade Apply Behavior Slow
Nova Coop Caster Stun Grenade Launch Missile	Nova Coop Caster Stun Grenade Launch Missile
Nova Coop Caster Stun Grenade Search	Nova Coop Caster Stun Grenade Search
NovaCoopCasterSummonOdin	NovaCoopCasterSummonOdin
NovaCreateBoomBotsBurrowOrder	NovaCreateBoomBotsBurrowOrder
NovaCreateBoomBotsIssueOrderSet	NovaCreateBoomBotsIssueOrderSet
NovaCreateBoomBotsMoveOrder	NovaCreateBoomBotsMoveOrder
NovaDefensiveMatrixDrone	NovaDefensiveMatrixDrone
NovaDoubleDamage	NovaDoubleDamage
Nova Full Energy	Nova Full Energy
Nova Griffin Bombing Run AB	Nova Griffin Bombing Run AB
Nova Griffin Bombing Run Create Strafer	Nova Griffin Bombing Run Create Strafer
Nova Griffin Bombing Run Create Targeter	Nova Griffin Bombing Run Create Targeter
Nova Griffin Bombing Run Damage	Nova Griffin Bombing Run Damage
Nova Griffin Bombing Run Delay CP	Nova Griffin Bombing Run Delay CP
Nova Griffin Bombing Run Despawn AB	Nova Griffin Bombing Run Despawn AB
Nova Griffin Bombing Run Dummy Search	Nova Griffin Bombing Run Dummy Search
Nova Griffin Bombing Run End Point	Nova Griffin Bombing Run End Point
Nova Griffin Bombing Run Execute CP	Nova Griffin Bombing Run Execute CP
Nova Griffin Bombing Run Execute Set	Nova Griffin Bombing Run Execute Set
Nova Griffin Bombing Run Initial CP	Nova Griffin Bombing Run Initial CP
Nova Griffin Bombing Run Initial Set	Nova Griffin Bombing Run Initial Set
Nova Griffin Bombing Run Order	Nova Griffin Bombing Run Order
Nova Griffin Bombing Run Random Point CP Right Side	Nova Griffin Bombing Run Random Point CP Right Side
Nova Griffin Bombing Run Random Point Set	Nova Griffin Bombing Run Random Point Set
Nova Griffin Bombing Run Remove Strafer	Nova Griffin Bombing Run Remove Strafer
Nova Griffin Bombing Run Search	Nova Griffin Bombing Run Search
Nova Griffin GCD	Nova Griffin GCD
NovaGriffinTransportCancelUnloadSearch	NovaGriffinTransportCancelUnloadSearch
NovaGriffinTransportTeleportGroundUnitSearch	NovaGriffinTransportTeleportGroundUnitSearch
NovaGriffinTransportTeleportGroundUnitsTP	NovaGriffinTransportTeleportGroundUnitsTP
NovaGriffinTransportUnitsLoadGroundUnitsAB	NovaGriffinTransportUnitsLoadGroundUnitsAB
NovaGriffinTransportUnitsLoadGroundUnitsSearch	NovaGriffinTransportUnitsLoadGroundUnitsSearch
NovaGriffinTransportUnloadUnitsDespawnDelayAB	NovaGriffinTransportUnloadUnitsDespawnDelayAB
NovaGriffinTransportUnloadUnitsDespawnDelayTimeOut	NovaGriffinTransportUnloadUnitsDespawnDelayTimeOut
Nova Griffin Transport Unload Units TP	Nova Griffin Transport Unload Units TP
NovaInvulnerability	NovaInvulnerability
Nova Odin AA Disable AB	Nova Odin AA Disable AB
Nova Odin AA Set	Nova Odin AA Set
Nova Odin Annihilate Damage	Nova Odin Annihilate Damage
Nova Odin Annihilate Initial Create Persistent	Nova Odin Annihilate Initial Create Persistent
Nova Odin Annihilate Search	Nova Odin Annihilate Search
NovaOdinCreationSet	NovaOdinCreationSet
NovaOdinTimedLife	NovaOdinTimedLife
NovaOdinUnderConstruction	NovaOdinUnderConstruction
Remove All Equipped Gadget	Remove All Equipped Gadget
Remove All Equipped Weapon	Remove All Equipped Weapon
NovaStealthSuitInitialSet	NovaStealthSuitInitialSet
Nova Unit Defensive Matrix Grant Charge	Nova Unit Defensive Matrix Grant Charge
Nova Unit Flash Bang Grant Charge	Nova Unit Flash Bang Grant Charge
Nova Unit Lockdown AB	Nova Unit Lockdown AB
Nova Unit Lockdown Grant Charge	Nova Unit Lockdown Grant Charge
Nova Unit Lockdown LM	Nova Unit Lockdown LM
Nova Unit Smoke Grenade AB	Nova Unit Smoke Grenade AB
Nova Unit Smoke Grenade CP	Nova Unit Smoke Grenade CP
Nova Unit Smoke Grenade Grant Charge	Nova Unit Smoke Grenade Grant Charge
Nova Unit Smoke Grenade Grant Charge CP	Nova Unit Smoke Grenade Grant Charge CP
Nova Unit Smoke Grenade LM	Nova Unit Smoke Grenade LM
Nova Unit Smoke Grenade Search	Nova Unit Smoke Grenade Search
Nuke Fast Persistent	Nuke Fast Persistent
ObserverTargetLockCPOrderValidate	ObserverTargetLockCPOrderValidate
ObserverTargetLockDP	ObserverTargetLockDP
Odin MK II (Create Persistent)	Odin MK II (Create Persistent)
Odin MKII AA (Create Persistent)	Odin MKII AA (Create Persistent)
Odin MK II AA (Damage)	Odin MK II AA (Damage)
Odin MK II AA (LaunchMissile)	Odin MK II AA (LaunchMissile)
Odin MK II Cancel Barrage	Odin MK II Cancel Barrage
Odin MK II	Odin MK II
Odin MK II Wreckage Abil	Odin MK II Wreckage Abil
On Death Controller Final Set	On Death Controller Final Set
On Death Kerrigan Econ Drop	On Death Kerrigan Econ Drop
On Death Kerrigan Econ Drop CP	On Death Kerrigan Econ Drop CP
On Death Kerrigan Econ Drop Switch	On Death Kerrigan Econ Drop Switch
On Death Vorazun Recall On Death 1HP	On Death Vorazun Recall On Death 1HP
Coop - On Death Vorazun Recall On Death AB	Coop - On Death Vorazun Recall On Death AB
On Death Vorazun Recall On Death Heal	On Death Vorazun Recall On Death Heal
On Death Vorazun Recall On Death Search	On Death Vorazun Recall On Death Search
On Death Vorazun Recall On Death Set	On Death Vorazun Recall On Death Set
On Death Vorazun Recall On Death Teleport	On Death Vorazun Recall On Death Teleport
On Death Zagara Broodling	On Death Zagara Broodling
On Death Zagara Broodling Switch	On Death Zagara Broodling Switch
Orbital Strike Slow AB	Orbital Strike Slow AB
Orbital Strike Stun AB	Orbital Strike Stun AB
Orbital Strike Stun Set	Orbital Strike Stun Set
Perdition Turret Unburrow Order	Perdition Turret Unburrow Order
PickupEnvelopeGas50	PickupEnvelopeGas50
PickupEnvelopeMinerals50	PickupEnvelopeMinerals50
Pit Alarak Life Regen Aura Restore	Pit Alarak Life Regen Aura Restore
Pit Alarak Shieldor Life Regen Set	Pit Alarak Shieldor Life Regen Set
Pit Malash Life Regen Aura Restore	Pit Malash Life Regen Aura Restore
Pit Malash Shield Regen Aura Restore	Pit Malash Shield Regen Aura Restore
Pit Malash Shieldor Life Regen Set	Pit Malash Shieldor Life Regen Set
Plague Death Force Remove Delay	Plague Death Force Remove Delay
PnPSingleTargetLockOnActorKeepAlivePersistent	PnPSingleTargetLockOnActorKeepAlivePersistent
PnPSingleTargetLockOnActorKeepAlivePersistentImpactDummy	PnPSingleTargetLockOnActorKeepAlivePersistentImpactDummy
PnPSingleTargetLockOnDamage	PnPSingleTargetLockOnDamage
PnPSingleTargetLockOnPersistent	PnPSingleTargetLockOnPersistent
PnPSingleTargetLockOnSearch	PnPSingleTargetLockOnSearch
PnPSingleTargetLockOnSecondaryPersistent	PnPSingleTargetLockOnSecondaryPersistent
Primal Slash Stun AB	Primal Slash Stun AB
Primal Slash Stun Search	Primal Slash Stun Search
ProphecyArtifactRevealCP	ProphecyArtifactRevealCP
ProphecyArtifactRevealFacing	ProphecyArtifactRevealFacing
ProphecyArtifactRevealSet	ProphecyArtifactRevealSet
Queen Broodling Escort Missile	Queen Broodling Escort Missile
Queen MP Improved Ensnare AB	Queen MP Improved Ensnare AB
QueenStukovSpawnBroodlings	QueenStukovSpawnBroodlings
RavenAnalyzeDP	RavenAnalyzeDP
RavenTargetLockCPOrderValidate	RavenTargetLockCPOrderValidate
RaynorBattlecruiserSwitch	RaynorBattlecruiserSwitch
Raynor Merc Veterancy AB	Raynor Merc Veterancy AB
Raynor Merc Veterancy Aura Switch	Raynor Merc Veterancy Aura Switch
Raynor Merc Veterancy Max Level Set	Raynor Merc Veterancy Max Level Set
RedirectPlacementRedirect	RedirectPlacementRedirect
RedirectPlacementStart	RedirectPlacementStart
RefundFullResource	RefundFullResource
RemoveAllDot	RemoveAllDot
RemoveAllSlow	RemoveAllSlow
RemoveAllStun	RemoveAllStun
RemoveMinerals5	RemoveMinerals5
RemoveVespene5	RemoveVespene5
Replenish Mines	Replenish Mines
Replenish Nano Constructor	Replenish Nano Constructor
Replenish Widow Mine Attack Charges	Replenish Widow Mine Attack Charges
ReturnMagazine	ReturnMagazine
Reveal Weakness Apply Behavior	Reveal Weakness Apply Behavior
Reveal Weakness Search	Reveal Weakness Search
SIBarracks Train Timed Life AB Infested Exploder	SIBarracks Train Timed Life AB Infested Exploder
SIInfestedCivilianDamage	SIInfestedCivilianDamage
SIInfestedMarine	SIInfestedMarine
SILiberatorSwarmFormPermanentAttackSet	SILiberatorSwarmFormPermanentAttackSet
SILiberatorSwarmFormPermanentCloseDistanceLM	SILiberatorSwarmFormPermanentCloseDistanceLM
SILiberatorSwarmFormPermanentDamagePrimary	SILiberatorSwarmFormPermanentDamagePrimary
SILiberatorSwarmFormPermanentDamagePrimarySet	SILiberatorSwarmFormPermanentDamagePrimarySet
SILiberatorSwarmFormPermanentDamageResistantAB	SILiberatorSwarmFormPermanentDamageResistantAB
SILiberatorSwarmFormPermanentDamageResistantRB	SILiberatorSwarmFormPermanentDamageResistantRB
SILiberatorSwarmFormPermanentDamageSearchAB	SILiberatorSwarmFormPermanentDamageSearchAB
SILiberatorSwarmFormPermanentDamageSplash	SILiberatorSwarmFormPermanentDamageSplash
SILiberatorSwarmFormPermanentDamageSplashSet	SILiberatorSwarmFormPermanentDamageSplashSet
SILiberatorSwarmFormPermanentDamageSwitch	SILiberatorSwarmFormPermanentDamageSwitch
SILiberatorSwarmFormPermanentDummyImpact	SILiberatorSwarmFormPermanentDummyImpact
SILiberatorSwarmFormPermanentDummySet	SILiberatorSwarmFormPermanentDummySet
SILiberatorSwarmFormPermanentFollowTargetAK	SILiberatorSwarmFormPermanentFollowTargetAK
SILiberatorSwarmFormPermanentImpactSet	SILiberatorSwarmFormPermanentImpactSet
SILiberatorSwarmFormPermanentLM	SILiberatorSwarmFormPermanentLM
SILiberatorSwarmFormPermanentSplashSearch	SILiberatorSwarmFormPermanentSplashSearch
SILiberatorSwarmFormPermanentTrackerAB	SILiberatorSwarmFormPermanentTrackerAB
SIStukovInfestStructureEnemyTarget	SIStukovInfestStructureEnemyTarget
SIVolatileInfested	SIVolatileInfested
SIWraithSnare	SIWraithSnare
SOABlind AB	SOABlind AB
SOABlind CP	SOABlind CP
SOABlind Iterate Transport	SOABlind Iterate Transport
SOABlind Search	SOABlind Search
SOABlind Set	SOABlind Set
SOABlind Structure AB	SOABlind Structure AB
SOABlind Structure Set	SOABlind Structure Set
SOABlind Switch	SOABlind Switch
SOAMap Wide Chrono AB	SOAMap Wide Chrono AB
SOAMap Wide Chrono Passive AB	SOAMap Wide Chrono Passive AB
SOAMap Wide Chrono Passive Search	SOAMap Wide Chrono Passive Search
SOAMapWideChronoPassiveTarget	SOAMapWideChronoPassiveTarget
SOAMap Wide Chrono Search	SOAMap Wide Chrono Search
SOAMothershipLineAttackAutoOnCheck	SOAMothershipLineAttackAutoOnCheck
SOA Orbital Strike Damage Set	SOA Orbital Strike Damage Set
SOAPurifier Beam Damage Set	SOAPurifier Beam Damage Set
SOAPylon Power Ally CU	SOAPylon Power Ally CU
SOAPylon Power Ally Create Persistent	SOAPylon Power Ally Create Persistent
SOAPylon Power Ally Destroy Persistent	SOAPylon Power Ally Destroy Persistent
SOAPylon Power Ally RU	SOAPylon Power Ally RU
SOAPylon Power Ally Search	SOAPylon Power Ally Search
SOAPylon Power Spawn Set	SOAPylon Power Spawn Set
SOARecall On Death Assign Rally Issue Order	SOARecall On Death Assign Rally Issue Order
SOARecall On Death Cast AB	SOARecall On Death Cast AB
SOARecall On Death Cast Search	SOARecall On Death Cast Search
SOARecall On Death Cast Set	SOARecall On Death Cast Set
SOARecall On Death Create Precursor	SOARecall On Death Create Precursor
SOARecall On Death Destroy Precusor	SOARecall On Death Destroy Precusor
SOARecall On Death Heal	SOARecall On Death Heal
SOARecall On Death Recalling AB	SOARecall On Death Recalling AB
SOARecall On Death Recalling Behavior Set	SOARecall On Death Recalling Behavior Set
SOARecall On Death Recently Recalled AB	SOARecall On Death Recently Recalled AB
SOARecall On Death Search	SOARecall On Death Search
SOARecall On Death Set	SOARecall On Death Set
SOARecall On Death Teleport	SOARecall On Death Teleport
SOARecall On Death Teleport Dummy CP	SOARecall On Death Teleport Dummy CP
SOARecall On Death Teleport Set	SOARecall On Death Teleport Set
SOASummon Colarion CU	SOASummon Colarion CU
SOASummon Fenix Active AB	SOASummon Fenix Active AB
SOASummon Fenix Active RB	SOASummon Fenix Active RB
SOASummon Fenix Arbiter Active AB	SOASummon Fenix Arbiter Active AB
SOASummon Fenix Arbiter Active RB	SOASummon Fenix Arbiter Active RB
SOASummon Fenix Arbiter CU	SOASummon Fenix Arbiter CU
SOASummon Fenix Arbiter Initial Set	SOASummon Fenix Arbiter Initial Set
SOASummon Fenix CU	SOASummon Fenix CU
SOASummon Fenix Dragoon Active AB	SOASummon Fenix Dragoon Active AB
SOASummon Fenix Dragoon Active RB	SOASummon Fenix Dragoon Active RB
SOASummon Fenix Dragoon CU	SOASummon Fenix Dragoon CU
SOASummon Fenix Dragoon Initial Set	SOASummon Fenix Dragoon Initial Set
SOASummon Fenix Hero Summon Caster Behavior Cleanup	SOASummon Fenix Hero Summon Caster Behavior Cleanup
SOASummon Fenix Hero Summon Cleanup Dummy	SOASummon Fenix Hero Summon Cleanup Dummy
SOASummon Fenix Initial Set	SOASummon Fenix Initial Set
SOASummon Fenix Spawn Set	SOASummon Fenix Spawn Set
SOASuper Chrono Map Wide Search	SOASuper Chrono Map Wide Search
SOAThermal Lance Damage Set	SOAThermal Lance Damage Set
Science Vessel Nano Repair Double Apply Behavior	Science Vessel Nano Repair Double Apply Behavior
Science Vessel Nano Repair Double Heal	Science Vessel Nano Repair Double Heal
Science Vessel Nano Repair Double Impact Dummy	Science Vessel Nano Repair Double Impact Dummy
Science Vessel Nano Repair Double Persistent	Science Vessel Nano Repair Double Persistent
Science Vessel Nano Repair Double Remove Behavior	Science Vessel Nano Repair Double Remove Behavior
Science Vessel Nano Repair Double Search	Science Vessel Nano Repair Double Search
Science Vessel Nano Repair Double Second Heal	Science Vessel Nano Repair Double Second Heal
Science Vessel Nano Repair Double Second Persistent	Science Vessel Nano Repair Double Second Persistent
SelfRevive	SelfRevive
Shadow Guard CU	Shadow Guard CU
Shadow Guard Detection Disable Aura AB	Shadow Guard Detection Disable Aura AB
Shadow Guard Detection Disable Aura Iterate Transport	Shadow Guard Detection Disable Aura Iterate Transport
Shadow Guard Detection Disable Aura Search	Shadow Guard Detection Disable Aura Search
Shadow Guard Detection Disable Aura Set	Shadow Guard Detection Disable Aura Set
Shadow Guard Detection Disable Aura Structure AB	Shadow Guard Detection Disable Aura Structure AB
Shadow Guard Detection Disable Aura Structure Set	Shadow Guard Detection Disable Aura Structure Set
Shadow Guard Detection Disable Aura Switch	Shadow Guard Detection Disable Aura Switch
Shadow Guard Shadow Fury Apply	Shadow Guard Shadow Fury Apply
Shadow Guard Shadow Fury Damage	Shadow Guard Shadow Fury Damage
Shadow GuardShadow Fury Damage Persistent	Shadow GuardShadow Fury Damage Persistent
Shadow Guard Shadow Fury Impact Set	Shadow Guard Shadow Fury Impact Set
Shadow Guard Shadow Fury Persistent	Shadow Guard Shadow Fury Persistent
Shadow Guard Shadow Fury Search	Shadow Guard Shadow Fury Search
Shadow Guard Shadow Fury Set	Shadow Guard Shadow Fury Set
Shadow Guard Shadow Fury Teleport	Shadow Guard Shadow Fury Teleport
Shadow Guard Shadow Fury Teleport Final	Shadow Guard Shadow Fury Teleport Final
Shadow Guard Shadow Fury Teleport Final CP	Shadow Guard Shadow Fury Teleport Final CP
Shadow Guard Spawn Delay AB	Shadow Guard Spawn Delay AB
Shadow Guard Spawn Delay	Shadow Guard Spawn Delay
Shadow Guard Spawn Final Set	Shadow Guard Spawn Final Set
Shadow Guard Spawn Make Precursor AB	Shadow Guard Spawn Make Precursor AB
Shadow Guard Spawn Precursor RB	Shadow Guard Spawn Precursor RB
Shadow Guard Spawn Set	Shadow Guard Spawn Set
Shadow Guard Timed Life AB	Shadow Guard Timed Life AB
Shadow Guard Timed Life Expire AB	Shadow Guard Timed Life Expire AB
Shield Battery Structure Barrier	Shield Battery Structure Barrier
Siege Tank Merc Veterancy Aura Search	Siege Tank Merc Veterancy Aura Search
Siege Tank Merc Veterancy Aura Target Bonus AB	Siege Tank Merc Veterancy Aura Target Bonus AB
Siege Tank Veterancy Aura AB	Siege Tank Veterancy Aura AB
Siege Tank Wreckage Abil	Siege Tank Wreckage Abil
Siege Tank Wreckage Set	Siege Tank Wreckage Set
Slayn Elemental Cage Ground Switch	Slayn Elemental Cage Ground Switch
Snare Launch Target To A Pathable Location LM	Snare Launch Target To A Pathable Location LM
Snare Launch Target To A Pathable Location Precursor	Snare Launch Target To A Pathable Location Precursor
Snare Launch Target To A Pathable Location RU	Snare Launch Target To A Pathable Location RU
Solar Forge Beam CP	Solar Forge Beam CP
Solar Forge Beam Impact Dummy MU	Solar Forge Beam Impact Dummy MU
Solar Forge Rebuild Complete Set	Solar Forge Rebuild Complete Set
Solar Forge Repair AB	Solar Forge Repair AB
Solar Forge Solar Efficiency1 MU	Solar Forge Solar Efficiency1 MU
Solar Forge Solar Efficiency2 MU	Solar Forge Solar Efficiency2 MU
Solar Forge Solar Efficiency3 MU	Solar Forge Solar Efficiency3 MU
Solar Forge Turret1 Reset MU	Solar Forge Turret1 Reset MU
Solar Forge Turret2 Reset MU	Solar Forge Turret2 Reset MU
孵化幼虫延迟	Spawn Larva Delay
孵化幼虫过期设置	Spawn Larva Expire Set
孵化幼虫设置	Spawn Larva Set
Spawn Spider Mine	Spawn Spider Mine
Spawn Spider Mine Set	Spawn Spider Mine Set
孵化变异幼虫隐藏AB	Spawn Mutant Larva Hidden AB
孵化突变幼虫移除隐藏行为	Spawn Mutant Larva Remove Hidden Behavior
SpawnedUnitTracker	SpawnedUnitTracker
SpawnedUnitTrackerAddTarget	SpawnedUnitTrackerAddTarget
SpawnedUnitTrackerSet	SpawnedUnitTrackerSet
Special Delivery CU	Special Delivery CU
Special Delivery Drop AB	Special Delivery Drop AB
Special Delivery Drop AB Set	Special Delivery Drop AB Set
Special Delivery Drop Delay AB	Special Delivery Drop Delay AB
Special Delivery Drop Set	Special Delivery Drop Set
Special Delivery Initial Set	Special Delivery Initial Set
Spectre Domination	Spectre Domination
Spectre Release Minion	Spectre Release Minion
Spore Colony Damage	Spore Colony Damage
Spore Colony LM	Spore Colony LM
Stukov Aleksander Infested Drop Pod Infested Trooper	Stukov Aleksander Infested Drop Pod Infested Trooper
StukovInfestedDiamondSlimePuddleCPDestroyer	StukovInfestedDiamondSlimePuddleCPDestroyer
Stukov Infested Siege Tank Deep Tunnel	Stukov Infested Siege Tank Deep Tunnel
Stukov Infested Siege Tank Deep Tunnel Teleport	Stukov Infested Siege Tank Deep Tunnel Teleport
