Amorphous Armorcloud	Аморфное бронеоблако
Trick or Treat	Конфета или жизнь
Vision provided by all sources is extremely limited except when in view of your camera.	Источники обзора предоставляют очень ограниченное поле видимости, за исключением области обзора камеры.
Afraid of the Dark	Боишься ли ты темноты?
A monster is deployed against you.  Each time you kill it, it will gather more power and return even stronger.	Вам противостоит могучий монстр. После гибели он всегда возвращается, став еще сильнее.
Undying Evil	Бессмертное зло
Enemy unit movement speed increased by 200%.	Скорость передвижения войск противника повышена на 200%.
Enemy units have increased movement speed.	Боевые единицы противника передвигаются с повышенной скоростью.
Your camera randomly changes positions.	Камера периодически меняет положение.
Vertigo	Головокружение
Void Rifts periodically appear in random locations and spawn enemy units until destroyed.	На карте периодически появляются разломы Пустоты, которые порождают войска противника до тех пор, пока не будут уничтожены.
Void Rifts	Разломы Пустоты
Enemy units spawn Infested Terran upon death in numbers according to the unit's life.	В момент гибели войска противника порождают зараженных терранов, количество которых зависит от запаса здоровья уничтоженной боевой единицы.
Walking Infested	Ходячие зараженцы
Yes Test	Yes Test
zzzTest	zzzTest
Fries	Фрайз
Savage	Сэвидж
Chen	Чэнь
Hayes	Хейз
Dunham	Данхэм
Housky	Хоски
Ayers	Айерс
Hajj	Хадж
Creasey	Кризи
Mills	Миллс
Dilling	Диллинг
Carle	Карл
Montaudouin	Монтадуин
Sanchez	Санчес
Johnston	Джонстон
Brophy	Брофи
Ryder	Райдер
Anderson	Андерсон
Mancini	Манчини
Vue	Вю
Altuna	Альтуна
Chae	Чай
Flee	Фли
Fung	Фун
Fuchs	Фукс
Provost	Провост
Cho	Чо
Castillo	Кастильо
Perry	Перри
Larson	Ларсон
Levy	Леви
Kirkpatrick	Киркпатрик
Peshkov	Пешков
Kim	Ким
Sum	Сум
Lee	Ли
Black	Блэк
Huck	Хак
Roberts	Робертс
Dye	Дай
Howl	Хаул
Bertrand	Бертран
Lu	Лю
Gotcher	Готчер
Morris	Моррис
Scipione	Сципионе
Nott	Нотт
Ahad	Ахад
Lin	Линь
Washburn	Уошберн
Fujiman	Фуджимен
Watrous	Уотрус
Bidermann	Байдерманн
Jimenez	Хименес
Nikora	Никора
Libralato	Либралато
Owings	Оуингс
Agustin	Огустин
Corning	Корнинг
Hatfield	Хетфилд
Tsing	Цзин
Morten	Мортен
Ismay	Исмей
Day	Дэй
Wolfe	Вольф
Ekermo	Экермо
Brunasso	Брунассо
Chimes	Чаймс
Reed	Рид
Despie	Деспи
Lawrence	Лоренс
McDiarmid	Макдиармид
Yang	Ян
McCown	Маккаун
Repp	Репп
Boyle	Бойл
Calderone	Кальдероне
Keet	Кит
Green	Зеленый
Schutter	Шюттер
Dijck	Дийк
Burdukovskiy	Бурдуковский
Booth	Бут
Wood	Вуд
Hubert	Хьюберт
Rivers	Риверс
Weinberg	Вайнберг
Kasemeier	Каземайер
Goodman	Гудман
Eheler	Эгелер
McNaughton	Макнотон
McMahon	Макмагон
Watson	Уотсон
Greenfield	Гринфилд
Haban	Хабан
Sutherland	Сазерленд
Shute	Шют
Shapiro	Шапиро
Frank	Фрэнк
Schwan	Шван
Horng	Хорнг
Bancroft	Банкрофт
Song	Сон
Grenewetzki	Греневецки
Boswell	Босвелл
Dowling	Доулинг
Diaz	Диас
Fugate	Фьюгейт
Kingsbury	Кингсбери
Risselada	Рисселада
Sassone	Сассоне
Phan	Фан
Chung	Чжун
Keks	Кекс
Huston	Хастон
Rofe	Рофе
Tran	Тран
Plass	Пласс
Lozano-Wade	Лосано-Уэйд
Trimble	Тримбл
Pull	Пулл
Yasukochi	Ясукочи
Lingo	Линго
Glover	Гловер
Agganis	Агганис
Worcester	Вустер
Dickson	Диксон
Ipfelkofer	Ипфелькофер
Di Mariano	Ди Мариано
Castro Mas	Кастро Мас
Wehbe	Вебе
Savanzha	Саванжа
Arnal Sarasola	Арналь Сарасола
Boti	Боти
Kofler	Кофлер
Commander	Командир
Agent	Агент
Captain	капитан
Lieutenant	Лейтенант
Admiral	Адмирал
<c val="FFE303">Detector</c><n/>Operator	<c val="FFE303">Детектор</c><n/>Оператор
Lt. Commander	Капитан-лейтенант
Ensign	Энсин
Commodore	Командор
Sergeant	сержант
Corporal	капрал
Major	Майор
Highlord of the Tal'darim	Владыка талдаримов
Brings his forces into battle ready for combat.	Его войска всегда готовы к бою.
<ul indent="2" text="•"><li/>Warps in units instantly into battle.<li/>Harnesses offensive and defensive Spear of Adun abilities.<li/>Commander Difficulty: Easy	<ul indent="2" text="•"><li/>Мгновенно вызывает боевые единицы на поле боя.<li/>Может использовать атакующие и оборонительные способности «Копья Адуна».<li/>Сложность: ученик
Purifier Executor	Вершитель чистильщиков
<ul indent="2" text="•"><li/>Has access to the Solar Forge structure which upgrades the Spear of Adun's energy regen and cooldown reduction.<li/>Does not warp in air units.	<ul indent="2" text="•"><li/>Имеет в своем распоряжении солнечную кузницу – строение, которое повышает скорость восстановления энергии и способностей «Копья Адуна».<li/>Не может вызывать воздушные боевые единицы.
Manipulates space and time.	Управляет пространством и временем.
<ul indent="2" text="•"><li/>Spear of Adun powers can stun enemies and cloak allies.<li/>Has powerful Dark Templar units.<li/>Commander Difficulty: Hard	<ul indent="2" text="•"><li/>Способности «Копья Адуна» могут оглушать противников и маскировать союзников.<li/>Имеет доступ к мощным боевым единицам – темным тамплиерам.<li/>Сложность: ветеран
Indiana Cain	Индиана Кейн
Han & Horner	Хан и Хорнер
Excellent infantry commander	Выдающийся командир пехоты.
Calls in the Hyperion	Вызывает на поле боя «Гиперион».
Has Banshees	Есть «Банши»
Medics heal things	Медики лечат все
Specializes in vehicles and defensive structures	Специализируется на транспорте и защитных строениях
Has a lot of mech	Имеет в распоряжении множество механических боевых единиц.
Shoots stuff with a drill	Ведет огонь из оружейной установки
Makes turrets	Изготавливает турели
Has experience making deals with devils.	Умеет заключать сделки с дьяволами.
Steals technology	Ворует технологии
Shoots stuff with guns	Стреляет по врагам
Loves mechs	Любит роботов
Commands massive armies and potent psionic powers	Командует огромными армиями и обладает псионными способностями.
<ul indent="2" text="•"><li/>Powerful Hero Unit that fights on the battlefield.<li/>She and her allies can collect resources from fallen enemies.<li/>Commander Difficulty: Medium	<ul indent="2" text="•"><li/>Могучая героиня, прекрасно зарекомендовавшая себя на поле боя.<li/>Керриган и ее союзники могут получать ресурсы из павших противников.<li/>Сложность: боец
Fights with relentless waves of the swarm	Ведет за собой бесчисленные силы Роя.
<ul indent="2" text="•"><li/>Powerful Spawner Hero Unit that fights on the battlefield.<li/>Fights only with melee units.<li/>Ability, Mass Frenzy increases all friendly unit's attack and movement speeds.<li/>Combat units morph faster and cost less.<li/>Maximum supply limited to 100.<li/>Commander Difficulty: Easy	<ul indent="2" text="•"><li/>Могучая героиня, порождающая боевые единицы и прекрасно зарекомендовавшая себя на поле боя.<li/>Сражается только при помощи боевых единиц ближнего боя.<li/>Способность «Массовое бешенство» повышает скорость атаки и передвижения всех дружественных войск.<li/>Боевые единицы мутируют быстрее и стоят дешевле.<li/>Максимальный лимит припасов – 100.<li/>Сложность: ученик
Your hero has died.  Construct a town hall to revive it.	Ваш герой погиб. Возведите основное строение, чтобы он смог возродиться.
Your hero has died.  It will be revived in ~TIME~ seconds.	Ваш герой погиб. Он возродится через ~TIME~ сек.
Your hero has been revived.	Ваш герой воскрешен.
Guardian Abathur	Страж Абатур
Zerg -	Зерги -
Protoss -	Протоссы -
(Hunter)	(Охотник)
<ul indent="2" text="•"><li/>Leaps over obstacles and onto targets from long range.<li/>Can jump up and down cliffs.</ul>	<ul indent="2" text="•"><li/>Перепрыгивает препятствия и наскакивает на цель с большого расстояния.<li/>Может преодолевать уступы.</ul>
(Splitter)	(Дроблинг)
<ul indent="2" text="•"><li/>Splits into two Baneling Spawn on death.<li/>Baneling Spawn deal less damage.</ul>	<ul indent="2" text="•"><li/>В момент гибели распадается на двух малых гиблингов.<li/>Малые гиблинги наносят уменьшенный урон.</ul>
(Stock)	(Базовый)
Terran -	Терран -
Tempest	Tempest
(Shakuras)	(Шакурас)
Mothership	Материнский корабль
Wrathwalker	Странник гнева
(Void MP)	(LotV СИ)
Shadow Hunter	Темная охотница
Terran - Merc -	Терран - наемник -
Horner Battlecruiser	Крейсер Хорнера
HH Marine	Морпех Хорнера
Horner Raven	«Ворон» Хорнера
Horner Reaper	Головорез Хорнера
Repair Bot	Ремонтный робот
Horner Viking	«Викинг» Хорнера
Horner Warhound	«Боевой пес» Хорнера
Horner Widow Mine	Мина «Вдова» Хорнера
Horner Wraith	«Мираж» Хорнера
Ascendant	Посвященный
(Impaler)	(Пронзатель)
Can morph into an Impaler:<n/><ul indent="2" text="•"><li/>Attacks single targets while it is burrowed.<li/>Effective against armored units.</ul>	Может мутировать в пронзателя:<n/><ul indent="2" text="•"><li/>Находясь в закопанном состоянии, атакует единичные цели.<li/>Эффективен против хорошо бронированных целей.</ul>
(Lurker)	(Скрытень)
Can morph into a Lurker:<n/><ul indent="2" text="•"><li/>Attacks multiple enemies while it is burrowed.<li/>Effective against light ground units.</ul>	Может мутировать в скрытня:<n/><ul indent="2" text="•"><li/>В закопанном состоянии атакует нескольких противников.<li/>Эффективен против легкобронированных наземных целей.</ul>
(Purifier)	(Чистильщик)
Annihilator	Аннигилятор
Vanguard	Ревнитель
Skibi's Angels	«Ангелы Скиби»
Mini Drakken Laser Drill	Миниатюрная драккенская лазерная установка
Havoc	Разрушитель
(Broodlord)	(Хозяин стаи)
Can morph into a Brood Lord:<n/><ul indent="2" text="•"><li/>Besieges ground targets from long range.<li/>Attacks spawn Broodlings.</ul>	Может мутировать в хозяина стаи:<n/><ul indent="2" text="•"><li/>Осаждает наземные цели с большого расстояния.<li/>При атаке порождает симбионтов.</ul>
(Viper)	(Стрекоза)
Can morph into a Viper:<n/><ul indent="2" text="•"><li/>Pulls units to new locations. Enemies will be stunned for 1 second.<li/>Slows enemy ground units and prevents them from attacking.<li/>Drains life from allied units to restore energy.<li/>Can attack air units.</ul>	Может мутировать в стрекозу:<n/><ul indent="2" text="•"><li/>Способна притягивать к себе боевые единицы, при этом оглушает войска противника на 1 сек.<li/>Замедляет наземные войска противника и не дает им атаковать.<li/>Поглощает здоровье союзников, чтобы восполнить запас энергии.<li/>Атакует только воздушные цели.</ul>
Corsair	Корсар
(Corpser)	(Труповик)
<ul indent="2" text="•"><li/>Enemies damaged by the Roach will spawn two Roachlings if killed quickly.</ul>	<ul indent="2" text="•"><li/>При уничтожении боевой единицы противника, незадолго до этого атакованной тараканом, образуется два труплинга.</ul>
(Vile)	(Кислот)
<ul indent="2" text="•"><li/>Attacks slow enemy movement and attack speeds by <d ref="(1 - Behavior,VileAcidSlowFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%.<li/>Heroic unit movement and attack speeds are slowed by <d ref="(1 - Behavior,VileAcidSlowFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.</ul>	<ul indent="2" text="•"><li/>При атаке снижает скорость атаки и передвижения противника на <d ref="(1 - Behavior,VileAcidSlowFlatAmount,Modification.MoveSpeedMultiplier) * 100"/>%.<li/>Скорость атаки и передвижения особых боевых единиц при этом снижается на <d ref="(1 - Behavior,VileAcidSlowFlatAmountHeroic,Modification.MoveSpeedMultiplier) * 100"/>%.</ul>
Energizer	Заряжатель
Dragoon	Драгун
Infested Terran -	Зараженный терран -
(Carrion)	(Падальщик)
<ul indent="2" text="•"><li/>Spawns flying Locusts that can attack ground targets. <li/>Flying Locusts are faster and deal 50% more damage than ground Locusts, but they have 25% less life.</ul>	<ul indent="2" text="•"><li/>Порождает летающих саранчидов, которые атакуют наземные цели. <li/>Летающие саранчиды быстрее обычных, они наносят на 50% больше урона, однако имеют на 25% меньше здоровья, чем обычные саранчиды.</ul>
(Creeper)	(Ползун)
<ul indent="2" text="•"><li/>Generates creep while burrowed or rooted.<li/>Can travel quickly to any location with creep by using Deep Tunnel.<li/>Deep Tunnel cooldown: 10 seconds.</ul>	<ul indent="2" text="•"><li/>Окопавшийся или закопавшийся роевик распространяет слизь.<li/>Может переместиться в любую точку, находящуюся в пределах слизи, с помощью «Глубинного тоннеля».<li/>Время восстановления способности «Глубинный тоннель»: 10 сек.</ul>
(Noxious)	(Токсилиск)
<ul indent="2" text="•"><li/>Emits Noxious Cloud that deals 5 damage per second to enemy ground units.<li/>Toxic Blast deals 20 damage to enemy ground units and structures.<li/>Toxic Blast cooldown: 10 seconds.</ul>	<ul indent="2" text="•"><li/>Выпускает вредоносное облако, наносящее наземным войскам противника 5 ед. урона в секунду.<li/>«Кольцо яда» наносит 20 ед. урона наземным войскам и строениям противника.<li/>Время восстановления «Кольца яда»: 10 сек.</ul>
(Torrasque)	(Торраск)
<ul indent="2" text="•"><li/>Enters a Chrysalis when killed. After a short period, is reborn as a new Ultralisk.<li/>Rebirth cooldown: 60 seconds.</ul>	<ul indent="2" text="•"><li/>В момент гибели переходит в хризалиду. Спустя непродолжительное время из нее появляется новый ультралиск.<li/>Время восстановления: 60 сек.</ul>
Destroyer	Дезинтегратор
Warhound	«Боевой пес»
Warp Prism (Tal'darim)	Призма искривления (талдаримы)
Zeratul Warp Prism	Призма искривления Зератула
Sentinel	Дозорный
Centurion	Центурион
(Raptor)	(Раптор)
<ul indent="2" text="•"><li/>Leaps over obstacles and onto targets from range.<li/>Gains +2 damage, an increase of 40%.<li/>Can jump up and down cliffs.</ul>	<ul indent="2" text="•"><li/>Перепрыгивает препятствия и наскакивает на цель с большого расстояния.<li/>Урон повышается на 2 ед. или на 40%.<li/>Может преодолевать уступы.</ul>
(Swarmling)	(Сворлинг)
<ul indent="2" text="•"><li/>Spawns in groups of three.<li/>Morphs almost instantly.</ul>	<ul indent="2" text="•"><li/>Одновременно появляется 3 особи.<li/>Порождение происходит практически мгновенно.</ul>
Take on the computer AI at Easy difficulty level.	Сразитесь с компьютером на уровне сложности «Ученик».
Co-op Night 2 Die	Совместный режим: Ночная смена
All settings may be customized.	Все параметры можно изменить.
Co-op Very Easy	Новичок (совм.)
Take on the computer AI at Medium difficulty level.	Сразитесь с компьютером на уровне сложности «Боец».
Co-op Easy	Ученик (совм.)
Take on the computer AI at Hard difficulty level.	Сразитесь с компьютером на уровне сложности «Ветеран».
Co-op Medium	Боец (совм.)
Take on the computer AI at Insane difficulty level.	Сразитесь с компьютером на уровне сложности «Эксперт».
Co-op Hard	Ветеран (совм.)
Cannot target units that have recently been affected by Void Stasis	Целью не могут быть боевые единицы, которые были недавно погружены в стазис Пустоты.
Vile Stream	Мерзкий поток
Psionic Lightning	Псионная молния
Apocalisk Air Attack	Воздушная атака апокалиска
Apocalisk Blades	Клинки апокалиска
LB-10 Gatling Minigun	Шестиствольный пулемет LB-10
Nemesis Missile Pod	Ракетный модуль «Немезида»
Bile Bomb	Споровая бомба
Bio Discharge	Выброс биомассы
Bite	Укус
Hellfire Explosives	Адская взрывчатка
Phase Disruptor	Фазовый расщепитель
Incindiary Beam	Поджигающий луч
Bane Blades	Клинки погибели
Chaotic Torrent	Хаотический поток
Acid Spores	Кислотные споры
Corrosive Expulsion	Разъедающий выброс
Swooping Burst	Взрывное пикирование
Spines	Spines
Greater Viscous Bile	Улучшенная вязкая желчь
Viscous Bile	Вязкая желчь
Volatile Projection	Кислотный обстрел
Acid Saliva	Кислотная слюна
Fire Breath	Огненное дыхание
Acid Spit	Кислотный плевок
Warpspace Cannon	Пушка искривления пространства
Anti-Matter Missiles	Ракеты из антиматерии
Photon Blaster	Фотонный бластер
Purifier Glaive Cannon	Энергетическая глефа чистильщиков
FenixTalisShade	FenixTalisShade
Hellfire Missiles	Ракеты «Адское пламя»
Autocannon	Автоматическая пушка
ATX Laser Battery	Лазерная батарея ATX
Infernal Grenades	Адские гранаты
Napalm Spray	Напалм
Mini Yamato Gun	Мини-орудие «Ямато»
Assault Drones	Штурмовые дроны
HHNomadFakeWeapon	HHNomadFakeWeapon
D9 Charge	Взрывчатка D-9
P-55 Scythe Gauss Pistol	Пистолет Гаусса P-55 «Тесак»
Burst Lasers	Импульсные лазеры
Infernal Flamethrower	Огнемет «Адское пламя»
Bio-Barrage	Биообстрел
Hyperion Point Defense Laser	Лазер точечной обороны «Гипериона»
Piercing Tentacle	Пронзающее щупальце
Neosteel Claws	Когти из неостали
Infested Bunker Hidden Real Uprooted Weapon	Infested Bunker Hidden Real Uprooted Weapon
Hailstorm Missile Pods	Ракетные модули «Град»
Grenade Launcher	Гранатомет
Spiky Headbutt	Удар шипами
Ventorini Beam	Луч «Венторини»
RGX Perforator	Рельсовая пушка «Искорка»
Concord Cannon	Орудие «Конкорд»
Lexington Rockets	Ракеты «Лексингтон»
C-14 Gauss Rifle	Винтовка Гаусса С-14
Hellfire Flamethrower	Огнемет «Адское пламя»
Fragmentation Grenade	Осколочная граната
Polariton Torpedoes	Поляритонные торпеды
Psionic Assault	Псионная атака
Twilight Blades	Сумеречные клинки
Energy Blast	Энергетический удар
C-20A Canister Rifle	Карабин C-20А
Master Warp Blade	Мастерский клинок искривления
Commando Rifle	Винтовка «Коммандос»
Servitor Blast	Атака дрона
Chaingun	Пулемет
Explosive Projectile	Разрывной снаряд
Death Cannon	Пушка Смерти
Mutator Hybrid Immortal	Мутатор – гибрид-бессмертный
Disgusting Spew	Омерзительная рвота
Kill Cannon	Убойная пушка
Mutator Laser Drill Beam	Мутатор – луч лазерной установки
Murder Cannon	Пушка «Гаситель»
Propagate	Распространение
Eye Beams	Лучи из глаз
Peck	Клевок
Peck of Judgment	Клевок Правосудия
Hellfire Shotgun	Адский дробовик
Invictus Longshot	Непокорный стрелок
Monomolecular Blade	Мономолекулярный меч
Graviton Rifle	Гравитонная винтовка
Hellfire Missile Launchers	Ракетные установки «Адское пламя»
T800 Cannon	Орудие T800
Flamethrower	Огнемет
Infested Claws	Зараженные когти
Gauss Rifle	Винтовка Гаусса
Swarm Form Permanent	Постоянный вирусный рой
Swarm Form	Облачное рассеивание
Firefly Missiles	Ракеты «Светлячок»
SOAMothershipLineAttack	SOAMothershipLineAttack
Interceptor Launch	Запуск перехватчика
Arclite Shock Cannon	Осадная пушка «Радуга»
90mm Cannon	90-мм пушка
Spit	Плевок
Acid Spew	Выброс кислоты
Infested Cannon	Зараженная пушка
Tentacles	Щупальца
Bile Cannons	Желчные пушки
Blood Orb	Кровавая сфера
Switch Laser Battery	Переключение лазерных батарей
Machine Turret	Автоматическая турель
Sweet Talker	«Доброе слово»
Brimstone Mk. I Flamethrower	Огнемет «Геенна-1»
C-10b Canister Rifle	Карабин C-10b
Meteor Smasher	Метеоруб
K13 “Rattler” Grenade Launcher	Гранатомет К-13 «Клык»
The Negotiators	«Дипломаты»
20mm Gauss Cannon	20-мм пушка Гаусса
AGR-17 Gauss Rifle	Винтовка Гаусса AGR-17
Lil' Tom	«Малютка Том»
Big Tom	«Здоровяк Том»
Phase Blaster	Фазовый бластер
Tesseract Beam	Тессерактовый луч
Particle Disruptors	Нейтронные расщепители
Annihilation Cannon	Аннигиляционная пушка
Apparition Blast	Удар призрака
Entropic Beam	Энтропийный луч
Must place in Power Field	Необходимо размещать в энергетическом поле
Can't target Untransportable	Целью не могут быть неперемещаемые боевые единицы.
Must target Untransportable	Целью могут быть только неперемещаемые боевые единицы.
Not enough zerg biomass	Недостаточно биомассы зергов.
Den	логово
Untransportable	неперемещ.
Command Bio-Dome Train	Command Bio-Dome Train
Place Auto Turret	Place Auto Turret
Place Railgun Turret	Place Railgun Turret
Burrow Down	Burrow Down
Burrow Up	Burrow Up
Fighter Hanger	Fighter Hanger
Ghost Alt Detector Cone Enter	Ghost Alt Detector Cone Enter
Ghost Alt Detector Cone Exit	Ghost Alt Detector Cone Exit
Ghost Detector Cone Enter	Ghost Detector Cone Enter
Ghost Detector Cone Exit	Ghost Detector Cone Exit
Infested Infestable Barracks Train	Infested Infestable Barracks Train
Infested Infestable Factor	Infested Infestable Factor
Make Reaper Spider Mines	Make Reaper Spider Mines
Morph To Hover Hellbat	Morph To Hover Hellbat
Morph To Hover Hellion	Morph To Hover Hellion
NovaAlarmBotEMP	NovaAlarmBotEMP
Destroy Sonar Drone	Destroy Sonar Drone
Nova Hyperion Jump	Nova Hyperion Jump
Yamato Gun	Yamato Gun
Interceptor Hangar	Interceptor Hangar
Voidray Hangar	Voidray Hangar
Warp In	Вызов
Nova Ship Fire All Weapons	Nova Ship Fire All Weapons
Subway Transport	Subway Transport
Toggle Exposed	Toggle Exposed
NovaXanthosRocketBarrage	NovaXanthosRocketBarrage
Revelation	Откровение
Place Bio-Mechanical Repair Drone	Place Bio-Mechanical Repair Drone
Place Psi Emitter	Place Psi Emitter
Reaper Queue3	Reaper Queue3
Reaper Spider Mines Redirect	Reaper Spider Mines Redirect
RotatingTurretActiveMorphIssueOrderCP	RotatingTurretActiveMorphIssueOrderCP
RotatingTurretActiveParent	RotatingTurretActiveParent
RotatingTurretActiveSCCW	RotatingTurretActiveSCCW
RotatingTurretActiveSCW	RotatingTurretActiveSCW
RotatingTurretPassiveParent	RotatingTurretPassiveParent
RotatingTurretPassiveSCCW	RotatingTurretPassiveSCCW
RotatingTurretPassiveSCW	RotatingTurretPassiveSCW
Sensor Drone Cloaking Field	Sensor Drone Cloaking Field
Sensor Drone Lock On Cancel	Sensor Drone Lock On Cancel
Side Yamato Gun	Side Yamato Gun
Jump Jet Redeploy	Jump Jet Redeploy
Laser Beam	Laser Beam
Missile Barrage	Missile Barrage
Power Switch	Power Switch
Super Stimpack Redirect Base	Super Stimpack Redirect Base
Stim Infusion	Впрыск стимуляторов
Revival complete.	Возрождение завершено.
Ionic Force Field	Ионное силовое поле
Disable Abils Copy	Disable Abils Copy
Giant EMP Decloak	Гигантский ЭМИ – снятие маскировки
Map Wide Sonar - Search Behavior	Map Wide Sonar - Search Behavior
Suppress Cloak	Запрет маскировки
Unstoppable	Неудержимость
Revealed	Местоположение обнаружено.
Revealer	Обнаружитель
Revealer Warm Up	Подготовка обнаружителя
Scared	Испуг
Swarm Grenade	Граната Роя
Vulture Laid Mine	Мина «Стервятника»
This unit is cloaked unless revealed by detectors or effects.	Объект замаскирован и может быть выявлен только с помощью детекторов или обнаруживающих эффектов.
Nova was recently hit by an EMP Round, making her unable to cloak for a short length of time.	Нова недавно попала под действие ЭМИ, поэтому некоторое время не может использовать маскировку.
This unit is absorbing a portion of the damage dealt to it.	Эта боевая единица поглощает часть наносимого ей урона.
This unit will not attack enemy units unless ordered to do so.	Эта боевая единица не станет атаковать противника без приказа.
Nova was recently hit by an Giant EMP round, draining all of her energy.	Нова недавно попала под действие гигантского электромагнитного импульса, который оставил ее без энергии.
Stone was recently hit by an EMP Round, making him unable to cloak for a short length of time.	Стоун недавно попал под действие ЭМИ, поэтому некоторое время не может использовать маскировку.
Invulnerable to attacks and abilities	Невосприимчивость к любым атакам и способностям
Stone is absorbing damage dealt to him and he is immune to mind control effects.	Стоун поглощает наносимый ему урон и невосприимчив к эффектам подчинения.
This unit is temporarily unable to cloak.	Эта боевая единица не сможет замаскироваться в течение некоторого времени.
This unit is immune to snare, stun, and mind control effects.	Эта боевая единица невосприимчива к парализации, оглушению и подчинению.
Nova is absorbing a portion of the damage dealt to her.	Нова поглощает часть наносимого ей урона.
This unit is regenerating life over time.	Эта боевая единица постепенно восстанавливает прочность.
This unit is cowering in fear.	Эта боевая единица дрожит от страха.
This unit moves and attacks more quickly while under the effects of Super Stimpack.	Под действием суперстимуляторов эта боевая единица перемещается и атакует быстрее.
Stone's attack and movement speeds are greatly increased. Stone is healing life over time.	Скорость передвижения и атаки Стоуна значительно увеличена. Здоровье Стоуна восстанавливается со временем.
This unit is slowed and cannot attack or use energy-based abilities.	Боевая единица замедлена, не может атаковать и использовать способности, требующие энергии.
Shockwave Missile Battery	Ракетная батарея «Шквал»
Hunter-Seeker Missile	Самонаводящаяся ракета
Banshee Bombing Run	Бомбометание
Deploy Railgun Turret	Разместить электромагнитную турель
Building Collapse	Разрушить строение
Building Collapse Undo	Отменить разрушение строения
Change Shrine Depleted	Состояние источника: выработан
Change Shrine to Flowing	Состояние источника: действует
Birth Classic Queen	Породить стандартную королеву
Detector Cone On	Сектор действия детектора включен
Detector Cone Off	Сектор действия детектора выключен
DOMLab Door Thin Default Close	Лабораторная дверь ЗЧ – тонкая – закрыта по умолчанию
DOMLab Door Thin Default Open	Лабораторная дверь ЗЧ – тонкая – открыта по умолчанию
DOMLab Door Wide Default Close	Лабораторная дверь ЗЧ – широкая – закрыта по умолчанию
DOMLab Door Wide Default Open	Лабораторная дверь ЗЧ – широкая – закрыта по умолчанию
[PH] Efficiency Module	Модуль повышения эффективности
[PH] Fast Build	Быстрая постройка
Optimized Logistics	Продуманная логистика
Build Hover Hellbat	Построить парящий «Геллитрон»
Hover Hellion Mode	«Геллион» – режим парения
Build Hover Hellion Tank	Построить парящий защитный «Геллион»
Hover Tank Mode	Танк – режим парения
Hyperjump In	Гиперпрыжок в конечную точку
Hyperjump Out	Гиперпрыжок из исходной точки
Spawn Volatile Infested	Породить взрывного зараженного
Internalized Tech Module	Технический модуль
Enter Subway	Войти в метро
Hover Hellbat Mode	«Геллитрон» – режим парения
Multi-Task MAF Servos	Универсальные магнитные приводы
Vision Mode	Режим обзора
Detection Mode	Режим обнаружения
Cancel Trip Wire	Заграждение – отмена
Destroy Drone	Уничтожить модуль
Deactivate Invulnerability Shield	Выключить непробиваемый щит
Activate Invulnerability Shield	Включить непробиваемый щит
Void Ray Hanger	Зависание излучателя Пустоты
Exposed Mode	Режим уязвимости
Covered Mode	Режим скрытности
NovaXanthosLaserFire	NovaXanthosLaserFire
Repair Mode Off	Режим ремонта (выкл.)
Repair Mode On	Режим ремонта (вкл.)
Travel Mode Off	Режим движения (выкл.)
TravelModeOn	Режим движения (вкл.)
Place Psi-Emitter	Установить пси-излучатель
Power Off	Отключение
Power On	Включение
Research Rapid Deployment	Разработать быструю высадку
Reset Turret	Перезапуск турели
Train Trooper	Обучить штурмовика
Replenish Spider Mine	Перезарядка паучьих мин
Spawn Aberration	Создать аберрацию
Spawn Infested Medic	Создать зараженного медика
Spawn Infested Terran	Породить зараженного террана
Spawn Infestor	Создать заразителя
Turn Turret	Повернуть турель
Exit Subway	Выйти из метро
Banshee attacks fire multiple missile bursts in a straight line.	«Банши» стреляют ракетными очередями, поражая цели, находящиеся на прямой.
Hellbats and Hellions deal +10 damage vs. light units.	«Геллитроны» и «Геллионы» наносят 10 ед. дополнительного урона легким боевым единицам.
Replaces the Seeker Missile ability with a Hunter-Seeker Missile weapon that automatically attacks enemy units and does not cost energy.	Преобразует ракеты «Гончая» из активируемой способности в ракетную установку, которая автоматически атакует противников и не расходует энергию.
Reaper attacks deal heavy damage to structures.	Атаки головорезов наносят увеличенный урон строениям.
Battlecruisers can attack up to 4 targets at once.	Крейсеры могут атаковать до 4 целей одновременно.
Tactical-strike aircraft. Can use Cloak.<n/><n/><c val="#ColorAttackInfo">Can attack ground units.</c>	Ударный вертолет. Может использовать маскировку.<n/><n/><c val="#ColorAttackInfo">Атакует только наземные цели.</c>
Infantry-production facility.<n/><n/><c val="ffff8a">Enables:</c><n/>- Marines<n/>- Reapers<n/>- Bunkers from SCVs	Тренировочный комплекс пехоты. <n/><n/><c val="ffff8a">Открывает возможности:</c><n/>– обучение морпехов<n/>– обучение головорезов<n/>– постройка бункеров с помощью КСМ
Heals a friendly biological or mechanical unit.<n/><n/><c val="f078ff">Heals <d ref="Effect,HealingDroneHeal,RechargeVitalRate[0]"/> life per second.</c>	Применяется к дружественным органическим и механическим боевым единицам.<n/><n/><c val="f078ff">Восстанавливает <d ref="Effect,HealingDroneHeal,RechargeVitalRate[0]"/> ед. здоровья или прочности в секунду.</c>
