Amorphous Armorcloud	Nube de blindaje amorfa
Research Soul Augmentation at the Death Council	Investigar aumento de alma en el consejo de la muerte
Research Supplicant Sacrifice Damage at the Twilight Council	Investigar daño de sacrificar suplicante en el consejo crepuscular
Research Blood Shields at the Death Council	Investigar escudos de sangre en el consejo de la muerte
Research Matter Dispersion at the Robotics Bay	Investigar dispersión de materia en la bahía robótica
Research Frenzied Overload at the Twilight Council	Investigar sobrecarga frenética en el consejo crepuscular
Research Pneumatized Carapace at the Hatchery, Lair, or Hive	Investigar caparazón neumatizado en el criadero, la guarida o la colmena
Research Pneumatized Carapace at the Infested Command Center	Investigar caparazón neumatizado en el centro de mando infestado
Research Ares-Class Targeting System at the Factory Tech Lab	Investigar sistema de objetivos de clase ares en el laboratorio tecnológico de la fábrica
Research Phobos Weapons System at the Starport Tech Lab	Investigar sistema de armamento phobos en el laboratorio tecnológico del puerto estelar
Research Rocket Barrage at the Starport Tech Lab	Investigar lluvia de misiles en el laboratorio tecnológico del puerto estelar
Research Advanced Cloaking Field at the Starport Tech Lab	Investigar campo de invisibilidad avanzado en el laboratorio tecnológico del puerto estelar
Research Incinerator Gauntlets at the Barracks Tech Lab	Investigar guanteletes incineradores en el laboratorio tecnológico del barracón
Evolve Rapid Bombardment at the Spawning Pool	Evolucionar bombardeo rápido en la reserva de reproducción
Evolve Artillery Ducts at the Spawning Pool	Evolucionar conductos de artillería en la reserva de reproducción
Research Phase Blink at Death Council	Investigar traslación de fase en el consejo de la muerte
Research Blink at the Twilight Council	Investigar traslación en el consejo crepuscular
Research Repair Drones at the Fleet Beacon	Investigar robots de reparación en la baliza de flota
Evolve Centrifugal Hooks at the Baneling Nest	Evolucionar ganchos centrífugos en el nido de pesteling
Research Cerberus Mines at the Factory Tech Lab	Investigar mina cerbero en el laboratorio tecnológico de la fábrica
Evolve Chitinous Plating at the Ultralisk Cavern	Evolucionar coraza quitinosa en la caverna de ultralisco
Research Displacement Field at the Starport Tech Lab	Investigar campo de desvío en el laboratorio tecnológico del puerto estelar
Research Shockwave Missile Battery at the Starport Tech Lab	Investigar batería de misiles de onda de choque en el laboratorio tecnológico del puerto estelar
Research Fire Beam at the Robotics Bay	Investigar haz de fuego en la bahía robótica
Research Disruption Web at the Fleet Beacon	Investigar red disruptora en la baliza de flota
Research Stealth Drive at the Fleet Beacon	Investigar vuelo invisible en la baliza de flota
Research Targeting Optics at the Factory Tech Lab	Investigar óptica de objetivo en el laboratorio tecnológico de la fábrica
Research Argus Crystal at the Dark Shrine	Investigar cristal argus en el santuario tétrico
Research Mind Control at the Dark Shrine	Investigar control mental en el santuario tétrico
Research Blink at the Dark Shrine	Investigar traslación en el santuario tétrico
Research Shadow Fury at the Dark Shrine	Investigar furia de las sombras en el santuario tétrico
Research Void Stasis at the Dark Shrine	Investigar estasis de vacío en el santuario tétrico
Research Concentrated Fire at Glevig's Den	Evolucionar fuego concentrado en la guarida de Glevig
Evolve Explosive Spores at Murvar's Den	Evolucionar esporas explosivas en la guarida de Murvar
Evolve Primordial Fury at Murvar's Den	Evolucionar furia primordial en la guarida de Murvar
Evolve Muscular Augments at Glevig's Den	Evolucionar aumento muscular en la guarida de Glevig
Evolve Tenderize at Glevig's Den	Evolucionar ablandar en la guarida de Glevig
Evolve Aerial Burst Sacs at Murvar's Den	Evolucionar bolsas de ráfaga aérea en la guarida de Murvar
Evolve Slicing Glave at Murvar's Den	Evolucionar guja rebanadora en la guarida de Murvar
Evolve Shifting Carapace at Murvar's Den	Evolucionar caparazón cambiante en la guarida de Murvar
Evolve Primal Reconstitution at Murvar's Den.	Evolucionar reconstitución primigenia en la guarida de Murvar
Evolve Enlarged Parotid Glands at Glevig's Den	Evolucionar glándulas parótidas agrandadas en la guarida de Glevig
Evolve Dissolving Acid at Glevig's Den	Evolucionar ácido disolvente en la guarida de Glevig
Evolve Glial Reconstitution at Glevig's Den	Evolucionar reconstitución glial en la guarida de Glevig
Evolve Tyrant's Protection at Dakrun's Den	Evolucionar protección tiránica en la guarida de Dakrun
Evolve Barrage of Spikes at Dakrun's Den	Evolucionar tromba de púas en la guarida de Dakrun
Evolve Impaling Strike at Dakrun's Den	Evolucionar golpe empalador en la guarida de Dakrun
Evolve Brutal Charge at Dakrun's Den	Evolucionar carga brutal en la guarida de Dakrun
Evolve Healing Adaptation at Dakrun's Den	Evolucionar adaptación sanadora en la guarida de Dakrun
Research Spider Mines at the Factory Tech Lab	Investigar minas de araña en el laboratorio tecnológico de la fábrica
Evolve Corrosive Spray at the Greater Spire	Evolucionar rocío corrosivo en la espiral mayor
Research Cloaking Module at the Robotics Bay	Investigar módulo de invisibilidad en la bahía robótica
Research Purification Echo at the Robotics Bay	Investigar eco de purificación en la bahía robótica
Backup Part 1 Downloaded	Parte 1 de copia de seguridad descargada
Backup Part 2 Downloaded	Parte 1 de copia de seguridad descargada
Research Upgrade Laser Drill Level 1 on the Drakken Laser Drill	Investigar mejora de taladro láser nivel 1 en el taladro láser drakken
Research Upgrade Laser Drill Level 2 on the Drakken Laser Drill	Investigar mejora de taladro láser nivel 2 en el taladro láser drakken
Research Reclamation at the Twilight Council	Investigar reconquista en el consejo crepuscular
Research Extended Thermal Lance at the Robotics Bay	Investigar lanza térmica extendida en la bahía robótica
Research Observation Protocol at the Forge	Investigar protocolo de observación en la forja
Research Interdictors at the Fleet Beacon	Investigar interdictores en la baliza de flota
Clolarion's A.I. Personality Downloaded at Purifier Conclave	IA de personalidad de Clolarion descargada en el cónclave de los purificadores
Kaldalis' A.I. Personality Downloaded at Purifier Conclave	IA de personalidad de Kaldalis descargada en el cónclave de los purificadores
Mojo's A.I. Personality Downloaded at Purifier Conclave	IA de personalidad de Mojo descargada en el cónclave de los purificadores
Research Suppression Procedure at the Fleet Beacon	Investigar procedimiento de supresión en la baliza de flota
Taldarin's A.I. Personality Downloaded at Purifier Conclave	IA de personalidad de Taldarin descargada en el cónclave de los purificadores
Talis' A.I. Personality Downloaded at Purifier Conclave	IA de personalidad de Talis descargada en el cónclave de los purificadores
Research Gravimetric Overload at the Robotics Bay	Investigar sobrecarga gravimétrica en la bahía robótica
Research Empowered Blades at the Twilight Council	Investigar cuchillas potenciadas en el consejo crepuscular
Research Combat Sensor Array at the Fleet Beacon	Investigar equipo detector de combate en la baliza de flota
Research Optimized Emitters from the Cybernetics Core	Investigar emisores optimizados en el núcleo cibernético
Research Photon Overcharge from the Cybernetics Core	Investigar sobrecarga de fotones en el núcleo cibernético
Research Purification Blast at Robotics Bay	Investigar explosión purificadora en la bahía robótica
Research Juggernaut Plating at the Barracks Tech Lab	Investigar chapado juggernaut en el laboratorio tecnológico del barracón
Research Tactical Jump at Han's Tech Lab.	Investigar salto táctico en el laboratorio tecnológico de Han
Research Fortified Bunker at the Engineering Bay	Investigar búnker fortificado en la bahía de ingeniería
Research EMP Round at the Barracks Tech Lab	Investigar proyectil PEM en el laboratorio tecnológico del barracón
Research Triple Tap at the Barracks Tech Lab	Investigar triple impacto en el laboratorio tecnológico del barracón
Evolve Glial Reconstitution at the Roach Warren	Evolucionar reconstitución glial en la madriguera de cucarachas
Evolve Prolonged Dispersion at the Greater Spire	Evolucionar esparcimiento prolongado en la espiral mayor
Research Ripwave Missiles at the Starport Tech Lab	Investigar misiles de dispersión en el laboratorio tecnológico del puerto estelar
Research Overcharged Reactor at the Fusion Core	Investigar reactor sobrecargado en el núcleo de fusión
Research Napalm Payload at the Fusion Core.	Investigar descarga de napalm en el núcleo de fusión
Research Immolation Fluid at the Engineering Bay.	Investigar fluido de inmolación en la bahía de ingeniería
Research Wildfire Explosives at the Engineering Bay.	Investigar explosivos de fuego salvaje en la bahía de ingeniería
Research Tar Bombs at the Engineering Bay.	Investigar granadas de brea en la bahía de ingeniería
Research Aerosol Stim Emitters at the Engineering Bay.	Investigar emisores de aerosol estimulante en la bahía de ingeniería
Research Jetpack Overdrive at the Engineering Bay.	Investigar aceleración de mochila reactor en la bahía de ingeniería
Research Jet Pack Overdrive at the Engineering Bay.	Investigar aceleración de mochila reactor en la bahía de ingeniería
Research LE9 Cluster Charges at the Engineering Bay.	Investigar cargas de racimo LE9 en la bahía de ingeniería
Research Shredder Rounds at Han's Tech Lab.	Investigar proyectiles trituradores en el laboratorio tecnológico de Han
Research W.I.L.D. Missiles at Han's Tech Lab.	Investigar misiles S.A.L.V.A.J.E.S. en el laboratorio tecnológico de Han
Research Black Market Launchers at the Engineering Bay.	Investigar lanzadores del mercado negro en la bahía de ingeniería
Research Executioner Missiles at the Engineering Bay.	Investigar misiles verdugo en la bahía de ingeniería
Research Trigger Override at Han's Tech Lab.	Investigar gatillo trucado en el laboratorio tecnológico de Han
Research Covert Triage at the Starport Tech Lab	Investigar triaje encubierto en el laboratorio tecnológico del puerto estelar
Research Plasma Surge at the Templar Archives	Investigar oleada de plasma en los archivos templarios
Research Infernal Plating at the Factory Tech Lab	Investigar chapado infernal en el laboratorio tecnológico de la fábrica
Research Jump Jet Assault at the Factory Tech Lab	Investigar asalto de reactor en el laboratorio tecnológico de la fábrica
Research Hi-Sec Auto Tracking at the Engineering Bay	Investigar rastreo automático de alta seguridad en la bahía de ingeniería
Research Infernal Pre-Igniter at the Factory Tech Lab	Investigar preignición infernal en el laboratorio tecnológico de la fábrica
Research Khaydarin Amulet at the Templar Archives	Investigar amuleto khaydarin en los archivos templarios
Evolve Corrosive Acid at the Baneling Nest	Evolucionar ácido corrosivo en el nido de pesteling
Research Generate Creep at the Infestation Pit	Investigar generar biomateria en el foso de infestación
Evolve Hardened Carapace at the Spawning Pool	Evolucionar caparazón endurecido en la reserva de reproducción
Evolve Ancillary Carapace at the Hydralisk Den	Evolucionar caparazón auxiliar en la guarida de hidralisco
Monarch Blades	Hojas de monarca
Evolve Pressurized Glands at the Infestation Pit	Evolucionar glándulas presurizadas en el foso de infestación
Evolve Rapid Regeneration at the Spire	Evolucionar regeneración rápida en la espiral
Evolve Hydriodic Bile at the Roach Warren	Evolucionar bilis yodhídrica en la madriguera de cucarachas
Evolve Adaptive Plating at the Roach Warren	Evolucionar caparazón adaptable en la madriguera de cucarachas
Evolve Rupture at the Baneling Nest	Evolucionar deflagración en el nido de pesteling
Evolve Tissue Assimilation at the Ultralisk Cavern	Evolucionar asimilación de tejidos en la caverna de ultralisco
Evolve Burrow Charge at the Ultralisk Cavern	Evolucionar carga subterránea en la caverna de ultralisco
Evolve Vicious Glave at the Spire	Evolucionar guja feroz en la espiral
Evolve Muscular Augments at the Hydralisk Den	Evolucionar aumento muscular en la guarida de hidralisco
Evolve Frenzy at the Hydralisk Den	Evolucionar frenesí en la guarida de hidralisco
Research Improved Barrier at the Robotics Bay	Investigar barrera mejorada en la bahía robótica
Research Shadow Cannon at the Robotics Bay	Investigar cañón de las sombras en la bahía robótica
Research Automated Mitosis at the Infested Factory Tech Lab	Investigar mitosis automatizada en el laboratorio tecnológico de la fábrica infestada
Evolve Acidic Enzymes at the Infested Factory Tech Lab	Evolucionar enzimas ácidas en el laboratorio tecnológico de la fábrica infestada
Evolve Chain Reaction at the Evolution Chamber	Evolucionar reacción en cadena en la cámara de evolución
Evolve Ability Efficiency at the Evolution Chamber	Evoluciona eficiencia de habilidades en la cámara de evolución
Research Rapid Recharging at the Twilight Council	Investigar recarga rápida en el consejo crepuscular
Research Optimized Ordnance at the Forge	Investigar artillería optimizada en la forja
Research Enhanced Targeting at the Forge	Investigar selección de objetivo mejorada en la forja
Evolve Severing Glave at the Spire	Evolucionar guja amputadora en la espiral
Evolve Porous Cartilage at the Greater Spire	Evolucionar cartílago poroso en la espiral mayor
Research Laser Targeting System at the Barracks Tech Lab	Investigar sistema de puntería láser en el laboratorio tecnológico del barracón
Research Cloud Dispersal at the Infested Starport Tech Lab	Investigar disociación en nube en el laboratorio tecnológico del puerto estelar infestado
Research Raid Artillery at the Starport Tech Lab	Investigar artillería de incursión en el laboratorio tecnológico del puerto estelar
Research Maelstrom Rounds at the Factory Tech Lab	Investigar proyectiles hecatombe en el laboratorio tecnológico de la fábrica
Research Magrail Munitions at the Barracks Tech Lab	Investigar munición de levitación magnética en el laboratorio tecnológico del barracón
Research Super Stimpack at the Barracks Tech Lab	Investigar superestimulantes en el laboratorio tecnológico del barracón
Research Phasing Armor at the Fleet Beacon	Investigar armadura de fase en la baliza de flota
Research Smart Servos at the Starport Tech Lab	Investigar servointeligencia en el laboratorio tecnológico del puerto estelar
Research Multi-Lock Weapons System at the Factory Tech Lab	Investigar sistema de armamento multifijación en el laboratorio tecnológico de la fábrica
Evolve Sundering Glave at the Spire	Evolucionar guja penetrante en la espiral
Research Replenishable Magazine at the Factory Tech Lab	Investigar cargador recargable en el laboratorio tecnológico de la fábrica
Research Neosteel Frame at the Engineering Bay	Investigar estructura de neoacero en la bahía de ingeniería
Research Suppression Shells at the Barracks Tech Lab	Investigar proyectiles de supresión en el laboratorio tecnológico del barracón
Research Ghost Visor at the Ghost Academy	Investigar visor de fantasma en la academia fantasma
Research Caduceus Reactor at the Ghost Academy	Investigar reactor caduceo en la academia fantasma
Research Lockdown Missiles at the Factory Tech Lab	Investigar misiles de cierre en el laboratorio tecnológico de la fábrica
Research Gravitic Boosters at the Robotics Bay	Investigar aceleradores gravíticos en la bahía robótica
Research Stasis Calibration at the Fleet Beacon	Investigar calibración de estasis en la baliza de flota
Research Wormhole at the Fleet Beacon	Investigar agujero de gusano en la baliza de flota
Research Anion Pulse-Crystals at the Fleet Beacon	Investigar cristales de pulso de aniones en la baliza de flota
Research Psionic Storm at the Templar Archives	Investigar tormenta psiónica en los archivos templarios
Evolve Potent Bile at the Roach Warren	Evolucionar bilis potente en la madriguera de cucarachas
Evolve Bloated Bile Ducts at the Roach Warren	Evolucionar conductos biliares hinchados en la madriguera de cucarachas
Research Enhanced Manufacturing at the Starport Tech Lab	Investigar fabricación mejorada en el laboratorio tecnológico del puerto estelar
Research Advanced Siege Tech at the Factory Tech Lab	Investigar tecnología de asedio avanzada en el laboratorio tecnológico de la fábrica
Research Scarab Housing at the Robotics Bay	Investigar revestimiento de alfazaque en la bahía robótica
Research Solarite Payload at the Robotics Bay	Investigar descarga de solarita en la bahía robótica
Research Regenerative Plating at the Infested Engineering Bay	Investigar chapado regenerativo en la bahía de ingeniería infestada
Evolve Caustic Mucus at the Infested Factory Tech Lab	Evolucionar mucosidad cáustica en el laboratorio tecnológico de la fábrica infestada
Research Infested Stim at the Infested Engineering Bay	Investigar estimulantes infestados en la bahía de ingeniería infestada
Evolve Viral Contamination at the Infested Starport Tech Lab	Evolucionar contaminación viral en el laboratorio tecnológico del puerto estelar infestado
Research Plagued Munitions at the Infested Barracks Tech Lab	Investigar munición plagada en el laboratorio tecnológico del barracón infestado
Evolve Retinal Augmentation at the Infested Barracks Tech Lab	Evolucionar aumento de retina en el laboratorio tecnológico del barracón infestado
Research Enhanced Mitochondria at the Infested Starport Tech Lab	Investigar mitocondria mejorada en el laboratorio tecnológico del puerto estelar infestado
Evolve Fungal Growth at the Infested Starport Tech Lab	Evolucionar crecimiento fúngico en el laboratorio tecnológico del puerto estelar infestado
Research Improved Nano-Repair at the Starport Tech Lab	Investigar nano-reparación mejorada en el laboratorio tecnológico del puerto estelar
Research Defensive Matrix at the Starport Tech Lab	Investigar matriz defensiva en el laboratorio tecnológico del puerto estelar
Evolve Simplified Genome at the Scourge Nest	Evolucionar genoma simplificado en el nido de hostigadores
Evolve Virulent Spores at the Scourge Nest	Evolucionar esporas virulentas en el nido de hostigadores
Evolve Seismic Spines at the Lurker Den	Evolucionar espinas sísmicas en la guarida de merodeador
Research Fortification Barrier at the Forge	Investigar barrera de fortificación en la forja
Research Combat Shield at the Barracks Tech Lab	Investigar escudo de combate en el laboratorio tecnológico del barracón
Research Shrike Turret at the Engineering Bay	Investigar torreta alcaudón en la bahía de ingeniería
Research Graduating Range at the Factory Tech Lab	Investigar alcance gradual en el laboratorio tecnológico de la fábrica
Research Stabilizer Medpacks at the Barracks Tech Lab	Investigar paquetes médicos estabilizadores en el laboratorio tecnológico del barracón
Research Phase Reactor at the Twilight Council	Investigar reactor de fase en el consejo crepuscular
Research Trillic Compression Systems at the Twilight Council	Investigar sistemas de compresión de trilio en el consejo crepuscular
Research Singularity Charge at the Twilight Council	Investigar carga de singularidad en el consejo crepuscular
Evolve Rapid Hibernation at the Infested Starport Tech Lab	Evolucionar hibernación rápida en el laboratorio tecnológico del puerto estelar infestado
Research Braced Exoskeleton at the Infested Starport Tech Lab	Investigar exoesqueleto reforzado en el laboratorio tecnológico del puerto estelar infestado
Evolve Broodling Gestation at the Infested Colonist Compound	Evolucionar gestación de crías en el complejo de colonos infestado
Research Anaerobic Enhancement at the Infested Colonist Compound	Investigar mejora anaeróbica en el complejo de colonos infestado
Research KMC Auto-Loaders at the Engineering Bay	Investigar cargadores automáticos de la AKM en la bahía de ingeniería
Research Disintegration at the Fleet Beacon	Investigar desintegración en la baliza de flota
Evolve Tunneling Claws at the Roach Warren	Evolucionar garras tuneladoras en la madriguera de cucarachas
Research Fusion Mortars at the Robotics Bay	Investigar morteros de fusión en la bahía robótica
Research Afterburners at the Armory	Investigar postcombustión en el arsenal
Evolve Paralytic Barbs at the Infestation Pit	Evolucionar hebras de parálisis en el foso de infestación
Evolve Virulent Microbes at the Infestation Pit	Evolucionar microbios virulentos en el foso de infestación
Evolve Heroic Fortitude at the Evolution Chamber	Evolucionar fortaleza heroica en la cámara de evolución
Research Mind Blast at the Ascendant Archives	Investigar explosión mental en los archivos de los ascendientes
Research Double Graviton Beam at the Fleet Beacon	Investigar haz gravitón doble en la baliza de flota
Research Prismatic Range at the Fleet Beacon	Investigar alcance prismático en la baliza de flota
Research Warp Gate at the Cybernetics Core	Investigar portal de distorsión en el núcleo cibernético
Research Pulse Amplifier at the Starport Tech Lab	Investigar amplificador de pulsos en el laboratorio tecnológico del puerto estelar
Evolve Medusa Blades at the Evolution Chamber	Evolucionar hojas medusa en la cámara de evolución
Research Reconstruction at the Twilight Council	Investigar reconstrucción en el consejo crepuscular
Research Shadow Charge at the Twilight Council	Investigar carga de las sombras en el consejo crepuscular
Research Darkcoil at the Twilight Council	Investigar bobina oscura en el consejo crepuscular
Research Whirlwind at the Twilight Council	Investigar torbellino en el consejo crepuscular
First Xel'Naga Artifact Fragment found	Primer fragmento del artefacto Xel'Naga encontrado
Second Xel'Naga Artifact Fragment found	Segundo fragmento del artefacto Xel'Naga encontrado
Third Xel'Naga Artifact Fragment found	Tercer fragmento del artefacto Xel'Naga encontrado
Evolve Shredding Claws at the Spawning Pool	Evolucionar garras despedazadoras en la reserva de reproducción
Evolve Adrenal Overload at the Spawning Pool	Evolucionar sobrecarga suprarrenal en la reserva de reproducción
Evolve Metabolic Boost at the Spawning Pool	Evolucionar potenciador metabólico en la reserva de reproducción
Terran Ship Weapons Level 2	Armas de nave terran nivel 2
Outlaw Weapons Level 1	Armas de los Forajidos nivel 1
Outlaw Life and Armor Level 3	Vida y armadura de los Forajidos nivel 3
Zerg Melee Attacks Level 1	Ataques cuerpo a cuerpo zerg nivel 1
No Odin	Sin Odín
Kaldalis not Active	Kaldalis: no activo
No Merc Compound	Ningún recinto de mercenarios
Armor Level 1	Blindaje nivel 1
Protoss Ground Weapons Level 1	Armas terrestres protoss nivel 1
Armor Level 2	Blindaje nivel 2
Protoss Armor Level 1	Blindaje protoss nivel 1
Terran Ship Plating Level 2	Chapado de nave terran nivel 2
No Odin Wreckage	Sin restos de Odín
Zerg Missile Attacks Level 2	Ataques de misiles zerg nivel 2
Zerg Melee Attacks Level 2	Ataques cuerpo a cuerpo zerg nivel 2
Protoss Weapons Level 1	Armas protoss nivel 1
No Brutalisk	Sin brutalisco
Weapons Level 1	Armas nivel 1
Infantry Armor Level 1	Armadura de infantería nivel 1
Terran Ship Weapons Level 1	Armas de nave terran nivel 1
No Solar Forge	Sin forja solar
Zerg Missile Attacks Level 1	Ataques de misiles zerg nivel 1
Infantry Weapons Level 1	Armas de infantería nivel 1
Terran Ship Plating Level 1	Chapado de nave terran nivel 1
Protoss Weapons Level 2	Armas protoss nivel 2
Talis not Active	Talis: inactiva
Terran Vehicle and Ship Weapons Level 1	Armas de naves y vehículos terran nivel 1
Protoss Shields Level 1	Escudos protoss nivel 1
Outlaw Life and Armor Level 1	Vida y armadura de los Forajidos nivel 1
Protoss Ground Armor Level 1	Armadura terrestre protoss nivel 1
Terran Vehicle and Ship Weapons Level 2	Armas de naves y vehículos terran nivel 2
Protoss Armor Level 2	Blindaje protoss nivel 2
Protoss Shields Level 2	Escudos protoss nivel 2
Outlaw Weapons Level 2	Armas de los Forajidos nivel 2
Infantry Weapons Level 2	Armas de infantería nivel 2
Outlaw Life and Armor Level 2	Vida y armadura de los Forajidos nivel 2
Protoss Ground Armor Level 2	Armadura terrestre protoss nivel 2
Mojo not Active	Mojo: no activo
Infantry Armor Level 2	Armadura de infantería nivel 2
Outlaw Weapons Level 3	Armas de los Forajidos nivel 3
6 MULEs Max	Máx. 6 MULAs
Protoss Ground Weapons Level 2	Armas terrestres protoss nivel 2
Outlaw Weapons Level 4	Armas de los Forajidos nivel 4
No Drakken Laser Drill	Ningún taladro láser drakken
Outlaw Life and Armor Level 4	Vida y armadura de los Forajidos nivel 4
Weapons Level 2	Armas nivel 2
Must have a Strike Fighter Platform	Requiere una plataforma de caza de asalto
[ph]Starport must have fewer than 6 escorts.	El puerto estelar debe tener menos de 6 escoltas.
Limit <d ref="Effect,HHMercStarportLimitDummy,Amount" precision="0"/>	Límite <d ref="Effect,HHMercStarportLimitDummy,Amount" precision="0"/>
Carrier must have fewer than 8 Interceptors	El portanaves debe tener menos de 8 interceptores
Clolarion must have fewer than 8 Interceptors	Clolarion debe tener menos de 8 interceptores
No More Than 6 MULEs	No más de 6 MULAs
Reaver must have fewer than 10 scarabs.	El conceptor debe tener menos de 10 alfazaques.
[ph]No Horner's Starport	Sin puerto estelar de Horner
Limit 3	Límite 3
Recruited Crooked Sam	Sam el Sucio reclutado
Currently Equipped	Equipado
Hidden Artifacts Remaining	Artefactos ocultos restantes
Recruited Cannoball	Bala reclutado
[PH] Build more tech building to unlock more heroes.	Construye más edificios tecnológicos para desbloquear más héroes.
No Purifier Conclave	Ningún cónclave de los purificadores
Recruited Vega	Vega reclutada
Recruited Blaze	Vulcano reclutado
Recruited Sirius	Sirius reclutado
Recruited Lt. Nikara	Tte. Nikara reclutada
Not Auto-Unloading	Descarga automática desactivada
Downloading	Descargando
Recruited Nux	Obús reclutado
Recruited Rattlesnake	Serpiente reclutado
Limit 10	Límite 10
<d ref="Effect,AbathurBiomassMaxStacksDummy,Amount" precision="0"/> Biomass	<d ref="Effect,AbathurBiomassMaxStacksDummy,Amount" precision="0"/> de biomasa
Limit 3 or Prestige: The Limitless	Límite 3 o prestigio: El Ilimitado
Limit 1 with Prestige: Scourge Queen	Límite de 1 con prestigio: reina de hostigadores
Zenith Stone	Zenith Stone
<s val="@@SimpleCommandRow">%hotkey</c> then</s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@SimpleCommandRow">ground to Auto-attack</s>	<s val="@@SimpleCommandRow">%hotkey</c> y luego </s> <IMG path="Assets\Textures\tutorialmouseleftbuttondown.dds" alignment="absolutemiddle"/> <s val="@@SimpleCommandRow">en el suelo para atacar automáticamente</s>
CommanderPrestigeTychusOdin	CommanderPrestigeTychusOdin
HHBomberJunker	HHBomberJunker
HHRavenJunker	HHRavenJunker
HHVikingJunker	HHVikingJunker
HHWraithJunker	HHWraithJunker
Raynor_COOP	Raynor_COOP
ZeratulCoop	ZeratulCoop
I am honored to choose my own name. It will be Talandar.	Tengo el honor de elegir mi propio nombre: me llamaré Talandar.
Available Mutators	Mutaciones disponibles
Empty	Vacío
Press (<c val="ffffff">Enter</c>) to chat	Pulsa (<c val="ffffff">Intro</c>) para hablar
Menu	Menú
Mutator Selection	Selección de mutación
The party leader can select up to 10 Mutators for this game.	El líder del grupo puede seleccionar hasta 10 mutaciones para esta partida.
Selected Mutators	Mutaciones seleccionadas
Start Game	Iniciar partida
Deploying	Desplegando
Casual	Aficionado
CASUAL	AFICIONADO
A.I. SLOT (Very Easy)	IA (Muy fácil) SLOT
Similar to “Casual” campaign difficulty.	Similar a la dificultad de campaña “Aficionado”.
Normal	Normal
NORMAL	NORMAL
A.I. SLOT (Easy)	IA (Fácil) SLOT
Hard	Difícil
HARD	DIFÍCIL
A.I. SLOT (Medium)	IA (Medio) SLOT
Similar to “Normal” campaign difficulty.	Similar a la dificultad de campaña “Normal”.
Brutal	Brutal
BRUTAL	BRUTAL
A.I. SLOT (Hard)	IA (Difícil) SLOT
A.I. SLOT (Harder)	IA (Más difícil) SLOT
Similar to “Hard” campaign difficulty.	Similar a la dificultad de campaña “Difícil”.
Unlikely	Improbable
A.I. SLOT (Very Hard)	IA (Muy difícil) SLOT
Elite	Élite
A.I. SLOT (Elite)	IA (Élite) SLOT
Similar to “Brutal” campaign difficulty.	Similar a la dificultad de campaña “Brutal”.
Cheater 1 (Vision)	Trampas 1 (visión)
Cheater SLOT (Vision)	Trampas SLOT (Visión)
A.I. has vision of your units and structures.	La IA tiene visión de tus unidades y estructuras.
Cheater 2 (Resources)	Trampas 2 (recursos)
Cheater SLOT (Resources)	Trampas SLOT (Recursos)
A.I. has vision and gains additional resources during late game.	La IA tiene visión y obtiene recursos adicionales durante la partida avanzada.
Cheater 3 (Insane)	Trampas 3 (locura)
Cheater SLOT (Insane)	Trampas SLOT (Locura)
A.I. has vision and gains additional resources from the start.	La IA tiene visión y obtiene recursos adicionales desde el comienzo.
Reviving	Reviviendo
Morphing	Transformando
Bio-Mass	Biomasa
All living units cost supply. Build Overlords or Infested Supply Depots to increase supply.	Todas las unidades vivas tienen un coste de suministros. Construye superamos o depósitos de suministros infestados para aumentar los suministros.
Vespene Gas is used to build your forces. Gather more gas from vespene geysers.	El gas vespeno se utiliza para formar tus tropas. Se puede recolectar en los géiseres de vespeno.
Zerg Biomass is used to unlock technology. Gather more biomass by destroying infested structures.	La biomasa zerg se utiliza para desbloquear tecnología. Para reunir más biomasa, destruye estructuras infestadas.
Shows how much energy is available for Spear of Adun powers.<n/><n/>	Muestra la energía disponible para los poderes de la Lanza de Adun.<n/><n/>
Commanders	Instrucciones
Mercenaries	Mercenarios
Mission	Misión
Summoning	Invocando
Aquamarine	Aguamarina
Light Purple	Morado claro
Tuscany	Toscano
Rose	Rosado
Blue Grey	Gris azulado
Dark Blue	Azul oscuro
Dark Red	Rojo oscuro
Magenta	Magenta
Seek the Artifact!	¡Buscad el artefacto!
Terran - Infested	Terran: infestado
Protoss - Purifier	Protoss: purificador
Protoss - Nerazim	Protoss: nerazim
Protoss - Tal'darim	Protoss: tal'darim
Protoss	Protoss
Xel'Naga	Xel'Naga
Terran - Covert	Terran: encubierto
Terran - Marauder	Terran: persecutor
Terran - Outlaw	Terran: forajidos
Terran - Raider	Terran: asaltante
Zerg - Evolved	Zerg: evolucionado
Zerg - Primal	Zerg: primigenio
Zerg Story	Historia zerg
Zerg	Zerg
Use any ground unit to collect an Artifact Fragment.	Utiliza cualquier unidad terrestre para recoger un fragmento del artefacto.
Use any ground unit to collect 50 minerals.	Utiliza cualquier unidad terrestre para recoger 50 minerales.
Use any ground unit to collect 50 vespene.	Utiliza cualquier unidad terrestre para recolectar 50 unidades de gas vespeno.
Feathers	Plumas
Outlaw Armor	Armadura de los Forajidos
Primal Zerg Carapace	Caparazón zerg primigenio
Terran Infantry Armor	Armadura de infantería terran
Xel'Naga Plating	Chapado Xel'Naga
Zerg Flyer Carapace	Caparazón de unidad voladora zerg
Zerg Building Armor	Blindaje de edificio zerg
Zerg Ground Carapace	Caparazón de unidad terrestre zerg
