Amorphous Armorcloud	Amorphe Deckungswolke
Vardona Natural History Museum	Naturkundemuseum von Vardona
The Dominion science community has been closely tracking the work here at the Vardona Research Center, which is rumored to involve highly advanced force fields.	Wissenschaftler aus dem gesamten Hoheitsgebiet der Liga verfolgen mit Bewunderung die Arbeit im Forschungszentrum von Vardona. Gerüchten zufolge soll die Entwicklung hochmoderner Kraftfelder hier kurz vor dem Durchbruch stehen.
Research Center	Forschungszentrum
Nova may expand her base into these locations to acquire additional resources over the course of the battle.	Nova kann ihre Basis an diesen Stellen erweitern, um sich im Verlauf der Schlacht zusätzliche Ressourcen zu sichern.
Additional Resources	Zusätzliche Ressourcen
This subway connects different locations in the city, providing easy transport.	Die U-Bahn verbindet verschiedene Gebiete der Stadt, was den Transport von Einheiten erleichtert.
Subway System	U-Bahn-System
The Tal'darim invasion forces are currently located here, but may strike from different directions	Die Streitkräfte der Tal'darim befinden sich derzeit hier, können aber aus verschiedenen Richtungen angreifen.
Tal'darim Forces	Streitkräfte der Tal'darim
Nova and her forces will establish their base in the southernmost area of the shipyard.	Nova wird mit ihren Streitkräften am südlichsten Punkt der Werft Position beziehen.
Gorgon-class battlecruisers are refueled here before leaving the shipyards.	Kreuzer der Gorgonenklasse werden hier betankt, bevor sie die Werft verlassen.
Refueling Station	Betankungsplattform
These dry docked ships cannot attack while they are being repaired. Nova must defend them from General Davis's attacks.	Diese Schiffe im Trockendock werden derzeit repariert und können sich währenddessen nicht verteidigen. Nova muss sie gegen General Davis' Angriffe beschützen.
Dominion Gorgon	Gorgonenkreuzer der Liga
It is standard procedure to disarm Gorgons during repairs. Their J23 missiles are carefully stored on the platform until maintenance has concluded.	Aus Sicherheitsgründen werden Gorgonenkreuzer vor Wartungsarbeiten immer entwaffnet. Ihre J23-Raketen werden vorsichtig entfernt und auf der Plattform gelagert, bis die Reparaturen abgeschlossen sind.
Missile Storage	Raketenlager
The Defenders of Man have fortified their presence in this area to prevent Nova and her allies from getting closer to the Xanthos's repair location	Die Verteidiger der Menschheit haben in diesem Bereich ihre Stellungen befestigt, um zu verhindern, dass Nova und ihre Verbündeten dem Rückzugsort des Xanthos zu nahe kommen.
Reinforced Position	Befestigte Stellung
A diligent squadron of repair bots maintains the infrastructure of the Cerros Shipyards. They can usually be sighted working around the platform's edges, out of the way of general traffic.	Ein Geschwader Reparaturbots kümmert sich um die Wartung der Infrastruktur der Cerros-Werft. Diese fleißigen kleinen Helfer halten sich normalerweise an den Außenbereichen der Plattform auf, abseits der Hauptarbeiten.
Shipyard Repair Bots	Reparaturbots der Werft
This unparalleled war machine can be equipped with a flamethrower, rail gun, aircraft bay, and missile arsenal. Additional combat modes remain classified.	Diese imposante Kriegsmaschine kann mit einem Flammenwerfer, einer Magnetkanone, einem Lufthangar und einem Raketenarsenal bestückt werden. Zusätztliche Kampfmodi sind geheim.
Achievements	Erfolge
BREAKING NEWS	EILMELDUNG
<s val="NovaBreakingNewsCallout1">BREAKING</s><n/><s val="NovaBreakingNewsCallout2">NEWS</s><n/><s val="NovaBreakingNewsCallout3">with Kate Lockwell</s>	<s val="NovaBreakingNewsCallout1">AKTUELLE</s><n/><s val="NovaBreakingNewsCallout1">NACHRICHTEN</s><n/><s val="NovaBreakingNewsCallout3">mit Kate Lockwell</s><s val="NovaBreakingNewsCallout2"></s>
Drop zone	Landezone
Acquired	Erhalten
.	.
...	...
..	..
New equipment available	Neue Ausrüstung verfügbar
Items Unlocked	Gegenstände freigeschaltet
Rewards	Belohnungen
Satellite Buffering	Satellitenverbindung
Not Acquired	Nicht erhalten
New unit technology available	Neue Einheitentechnologie verfügbar
New Upgrades	Neue Upgrades
ARCHIVES	ARCHIV
<h/>CLOSE	S<h/>CHLIESSEN
<h/>LAUNCH	<h/>STARTEN
<h/>QUIT	<h/>VERLASSEN
<h/>Continue	<h/>Fortfahren
<h/>Play Again	<h/>Wiederholen
Return to Griffin.	Zurück zur Griffin.
Exit Master Archives.	Hauptarchiv verlassen.
Deals up to <d ref="Effect,NovaGadgetPulseGrenadesDamage,Amount"/> damage to enemy ground and air units in the target area. Does not damage friendly units.	Fügt gegnerischen Boden- und Lufteinheiten im Zielbereich bis zu <d ref="Effect,NovaGadgetPulseGrenadesDamage,Amount"/> Schaden zu. Fügt verbündeten Einheiten keinen Schaden zu.
Pulse grenades utilize a concentrated energy burst to create a powerful explosion within a small radius, making them an effective anti-personnel option for ghosts who are operating in enclosed environments.	Impulsgranaten erzeugen mithilfe konzentrierter Energie in einem kleinen Radius eine gewaltige Explosion. Sie sind daher eine effektive Antipersonenwaffe für Ghosts, die in geschlossenen Umgebungen operieren.
Pulse Grenade	Impulsgranate
Stuns and disables the detection of enemy ground and air units in the target area for <d ref="Behavior,FlashBangGrenade,Duration"/> seconds. Massive units and friendly units are immune.	Betäubt Gegner im Zielbereich und verhindert Detektorfähigkeiten gegnerischer Boden- und Lufteinheiten. Der Effekt hält <d ref="Behavior,FlashBangGrenade,Duration"/> Sek. lang an. Massive sowie verbündete Einheiten sind dagegen immun.
The technology for flashbang grenades is far older than the Confederacy, yet they continue to warrant a place in modern arsenals. Their detonation disorients hostile combatants in a large radius.	Blendgranaten sind eine alte Technologie, die schon lange vor Gründung der Konföderation existierte. Doch auch in der modernen Kriegsführung sind sie immer noch Teil der Standardbewaffnung. Ihre Detonation desorientiert feindliche Einheiten in einem großen Bereich.
Increases attack speed and movement speeds by <d ref="Behavior,SuperStimNova,Modification.AttackSpeedMultiplier *100-100"/>% for <d ref="Behavior,SuperStimNova,Duration"/> seconds. Heals Nova for <d ref="Behavior,SuperStimNova,Modification.VitalRegenArray[Life]*Behavior,SuperStimNova,Duration"/> life over the effect's duration.	Erhöht die Angriffs- und Bewegungsgeschwindigkeit <d ref="Behavior,SuperStimNova,Duration"/> Sek. lang um <d ref="Behavior,SuperStimNova,Modification.AttackSpeedMultiplier *100-100"/>%. Nova wird für die Dauer des Effekts um <d ref="Behavior,SuperStimNova,Modification.VitalRegenArray[Life]*Behavior,SuperStimNova,Duration"/> Trefferpunkte geheilt.
Administering stimulants to high PI subjects such as ghosts has historically been considered extremely dangerous. New and improved stim formulation, however has alleviated most of those concerns.	Die Praxis, Individuen mit hohem Psi-Potenzial wie Ghosts Stimulanzien zu verabreichen, galt in der Vergangenheit als äußerst gefährlich. Mit der Entwicklung neuer verbesserter Präparate konnten jedoch die meisten Bedenken zerstreut werden.
<s val="NovaMissionRewardsTooltipTitle">Stim Infusion</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Heals Nova over time and temporarily increases her attack and movement speeds.</s>	<s val="NovaMissionRewardsTooltipTitle">Stim-Infusion</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Heilt Nova mit der Zeit und erhöht vorübergehend ihre Angriffs- und Bewegungsgeschwindigkeit.</s>
Deploys a holographic duplicate of Nova that can be controlled. The hologram deals 25% of Nova's damage and takes 25% less damage.	Erzeugt eine holographische Projektion von Nova, die gesteuert werden kann. Das Hologramm verursacht 50% von Novas Schaden und erleidet 50% mehr Schaden.
Repurposed from prototype communications technology, holographic decoys are convincing in appearance but are far from being solid matter. Though they cannot comprise an entire army, they function quite well as reinforcements.	Holoattrappen basieren auf experimenteller Kommunikationstechnologie und erschaffen eine optische Projektion, die jedoch nicht aus fester Materie besteht. Sie stellen vielleicht keine vollständige Armee dar, funktionieren aber gut als Kampfunterstützung.
<s val="NovaMissionRewardsTooltipTitle">Holo Decoy</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Deploys a holographic duplicate of Nova that can be controlled. The hologram deals 25% of Nova's damage and takes 25% less damage.</s>	<s val="NovaMissionRewardsTooltipTitle">Holoattrappe</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Erzeugt eine holographische Projektion von Nova, die gesteuert werden kann. Das Hologramm verursacht 50% von Novas Schaden und erleidet 50% mehr Schaden.</s>
Thanks to tireless research and development, Dominion scientists have replicated Egon Stetmann's prototype ionic force field and have redesigned it for more humane deployment and operation. Integration with a cybernetic body is no longer required.	Dank der unermüdlichen Bemühungen unserer Liga-Wissenschaftler ist es uns gelungen, Egon Stetmanns Prototyp eines ionischen Kraftfelds zu replizieren und sogar noch weiterzuentwickeln. Das neue Modell ist weitaus benutzerfeundlicher und muss nicht länger mit einem kybernetischen Körper verbunden sein.
<s val="NovaMissionRewardsTooltipTitle">Ionic Force Field</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Provides Nova with a shield that lasts <d time="10"/> and absorbs <d ref="Behavior,PersonalDefensiveMatrix,DamageResponse.ClampMaximum"/> damage from each incoming attack, up to a maximum of <d ref="Behavior,PersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> damage.</s>	<s val="NovaMissionRewardsTooltipTitle">Ionisches Kraftfeld</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Gewährt Nova einen Schild, der <d time="10"/> lang anhält und <d ref="Behavior,PersonalDefensiveMatrix,DamageResponse.ClampMaximum"/> Schaden aller eingehender Angriffe absorbiert, bis zu einem Höchstwert von <d ref="Behavior,PersonalDefensiveMatrix,Modification.VitalMaxArray[Shields]"/> Schaden.</s>
Ghost Visors present mission critical intel to ghosts in the field. Each visor is also outfitted with a personal scanner system to keep its wearer apprised of battlefield conditions at all times.	Das Ghost-Visier versorgt den Ghost im Feld mit missionsrelevanten Informationen. Jedes Visier ist außerdem mit einem individuellen Scannersystem ausgestattet, das kontinuierlich die Kampfumgebung abtastet.
Specialized optics and onboard triangulation make rangefinder goggles the ideal piece of gear for snipers, allowing for spotting and engagement at distances that would be otherwise impossible.	Eine spezielle Optik und das integrierte Triangulationssystem machen den Distanzmesser zur idealen Ausrüstung für Scharfschützen. Mit seiner Hilfe können sie Gegner auf Entfernungen ausmachen und bekämpfen, die vorher unerreichbar waren.
[PH] Sensor Visor	[PH] Sensor Visor
Increases Nova's vision and the range of her non-melee weapons by +2. Increases the range of Nova's melee weapons by +1.	Erhöht Novas Sicht und die Reichweite ihrer Waffen mit Ausnahme von Nahkampfwaffen um +2. Erhöht die Reichweite von Novas Nahkampfwaffen um +1.
Specialized optics and onboard triangulation make the Rangefinder Oculus the ideal piece of gear for snipers, enabling spotting and engagement at distances that would be otherwise impossible.	Eine spezielle Optik und das integrierte Triangulationssystem machen das Distanzmesserokular zur idealen Ausrüstung für Scharfschützen. Mit seiner Hilfe können sie Gegner auf Entfernungen ausmachen und bekämpfen, die vorher unerreichbar waren.
Rangefinder Oculus	Distanzmesserokular
<s val="NovaMissionRewardsTooltipTitle">Rangefinder Oculus</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Increases the range of Nova's vision and non-melee weapons.</s>	<s val="NovaMissionRewardsTooltipTitle">Distanzmesserokular</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Erhöht Novas Sichtreichweite sowie die Reichweite ihrer Fernkampfwaffen.</s>
Allows Nova to take control of target enemy unit. Only one enemy unit can be controlled at a time. Effect lasts until cancelled. Cooldown timer begins once the effect has been cancelled.	Ermöglicht Nova die Kontrolle einer gegnerischen Zieleinheit. Sie kann jeweils nur eine Einheit gleichzeitig kontrollieren. Der Effekt hält an, bis er abgebrochen wird. Dann beginnt die Abklingzeit.
Mind control is one of the most highly sought-after abilities among ghost academy recruits. Indoctrination Visors are calibrated to isolate such talents and amplify them exponentially. They are invaluable tools for infiltration operations that lack an inside contact.	Gedankenkontrolle ist eine der gesuchtesten Fähigkeiten bei Rekruten der Ghost-Akademie. Indoktrinationsvisiere werden verwendet, um diese Talente zu isolieren und exponentiell zu verstärken. Sie sind wertvolle Hilfsmittel bei Infiltrationsmissionen ohne einen Kontakt in den feindlichen Reihen.
Indoctrination Visor	Indoktrinationsvisier
Stealth Suit	Tarnanzug
Jumpsuit	Sprunganzug
Sensor Visor	Sensorvisier
Lightweight armor that enables permanent cloaking. Adds +150 life, +1 armor, and +0.25 movement speed.	Leichter Kampfanzug, der permanente Tarnung ermöglicht. Gewährt zusätzlich <w>+150 Trefferpunkte,</w> <w>+1 Panzerung</w> und <w>+0,25 Bewegungsgeschwindigkeit.</w>
Reserved for ghosts on especially dangerous missions behind enemy lines, the Tactical Stealth Suit boasts optimizations that enable permanent cloaking without impacting its user's psionic energy.	Der taktische Tarnanzug wird ausschließlich von Ghosts bei hochgefährlichen Kampfeinsätzen hinter feindlichen Linien verwendet. Er ist eine Weiterentwicklung konventioneller Kampfanzüge und erlaubt permanente Tarnung ohne jedoch die psionische Energie des Trägers zu beeinträchtigen.
Tactical Stealth Suit	Taktischer Tarnanzug
Durable armor that allows Nova to jump up and down cliffs. Adds +250 life, +2 armor, and +0.5 movement speed. Cannot cloak while wearing.	Robuster Kampfanzug, der es Nova erlaubt, Klippen zu überwinden. Gewährt zusätzlich <w>+250 Trefferpunkte,</w> <w>+2 Panzerung</w> und <w>+0,5 Bewegungsgeschwindigkeit</w>. Besitzt keine Tarnfunktion.
Originally developed for civilian construction projects, the Turbojet Jumpsuit's onboard thrusters and momentum absorption armor allow its user to rapidly scale sheer cliffs while also preventing injury.	Der Turbodüsen-Sprunganzug wurde ursprünglich für den Einsatz im zivilen Bauwesen konzipiert. Die eingebauten Sprungdüsen erlauben dem Träger, schnell steile Klippen zu überwinden und der Impulsdämpfer verhindert Verletzungen.
Turbojet Jumpsuit	Turbodüsen-Sprunganzug
[PH] Through use of specialized nanomachines, the user is granted higher damage resistance and movement abilities. Deadmans nuke sold separately.	Spezielle Nanomaschinen erhöhen die Schadensresistenz und die Beweglichkeit des Trägers. Separat dazu ist eine Nuklearrakete verfügbar.
[PH] Predator Battlesuit	[PH] Predator Battlesuit
Psionic amplification suit. Adds +200 life, +1 armor, +0.25 movement speed, and +100 energy. Increases energy regeneration rate by 50%. Can cloak while wearing.	Anzug mit Psi-Verstärker. Gewährt zusätzlich +200 Trefferpunkte, +1 Panzerung, +0,25 Bewegungsgeschwindigkeit und +100 Energie. Erhöht die Energieregenerationsrate um 50%. Ermöglicht Tarnung.
Designed around a miniaturized apollo reactor, the Apollo Infantry Suit adds its own energy output and storage to that of the ghost who wears it. This allows for tactics incorporating both prolonged stealth and intense psionic assault.	Das namengebende Kernstück des Apollo-Infanterieanzugs ist ein verkleinerter Apollo-Reaktor, der eine eigene Energiequelle bereitstellt. Das ermöglicht längere Tarnung und effektivere Psi-Angriffe und erweitert so die taktischen Einsatzmöglichkeiten des Ghosts, der den Anzug trägt.
Apollo Infantry Suit	Apollo-Infanterieanzug
<s val="NovaMissionRewardsTooltipTitle">Apollo Infantry Suit</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Increases Nova's maximum energy and her energy regeneration rate.</s>	<s val="NovaMissionRewardsTooltipTitle">Apollo-Infanterieanzug</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Erhöht Novas maximale Energie und beschleunigt die Energieregeneration.</s>
Prototype teleportation suit. Adds +200 life, +1 armor, and +0.25 movement speed. Allows Nova to teleport to a nearby targeted location. Nova is cloaked for <d ref="Behavior,NovaArmorBlinkSuitBlinkCloaked,Duration"/> seconds after teleporting.	Teleportationsanzug-Prototyp. Gewährt +200 Trefferpunkte, +1 Panzerung, +0,25 Bewegungsgeschwindigkeit. Nova kann damit zu einem Ort in der Nähe teleportieren und ist dann <d ref="Behavior,NovaArmorBlinkSuitBlinkCloaked,Duration"/> Sek. lang getarnt.
Dominion scientists have modified tactical jump technology to approximate the protoss stalker's teleportation capabilities. Activating the device also appears to generate a temporary cloaking field--an unintended but most welcome development.	Wissenschaftler der Liga haben die taktische Warpsprungtechnologie so weit modifiziert, dass sie den Teleportationsfähigkeiten von Hetzern der Protoss ähnelt. Die Aktivierung des Geräts scheint außerdem ein temporäres Tarnfeld zu erzeugen – ein unbeabsichtigter, aber sehr nützlicher Nebeneffekt.
<s val="NovaMissionRewardsTooltipTitle">Phase Reactor Suit</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Prototype armor that allows Nova to teleport to a nearby targeted location. Nova is briefly cloaked after teleporting.</s>	<s val="NovaMissionRewardsTooltipTitle">Phasenreaktoranzug</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Prototyp eines Kampfanzugs, der es Nova erlaubt, sich zu einem Zielort in der Nähe zu teleportieren. Nova ist nach der Teleportation für kurze Zeit getarnt.</s>
Sniper rifle. Can use Snipe to deal <d ref="Effect,NovaWeaponCanisterRifleSnipe,Amount"/> damage to a target enemy unit at long range. Can attack ground and air units.	Scharfschützengewehr. Die Fähigkeit "Scharfschütze" fügt einer gegnerischen Zieleinheit auf weite Entfernung <d ref="Effect,NovaWeaponCanisterRifleSnipe,Amount"/> Schaden zu. Kann Boden- und Lufteinheiten angreifen.
The C-20A is a versatile firearm that combines powerful long-range sniper capabilities with ease of use in mid-range engagements. It improves upon the standard issue C-10 across all areas of performance.	Das K-20A ist ein vielseitiges Spezialgewehr, das effizient sowohl auf weite als auch auf mittlere Entfernung einsetzbar ist. Im Vergleich zum Standardmodell K-10 weist diese Waffe in allen Bereichen merkliche Leistungsverbesserungen auf.
Close range shotgun. Deals damage in a frontal arc. Can use Penetrating Blast to deal <d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> vs Light) damage to enemies in the arc. Can attack ground units.	Schrotflinte mit kegelförmigem Schadensbereich. "Durchbohrendes Feuer" fügt Gegnern <d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount"/> (<d ref="Effect,NovaWeaponHellfireShotgunBlastDamage,Amount + Effect,NovaWeaponHellfireShotgunBlastDamage,AttributeBonus[Light]"/> gegen Leicht) Schaden zu. Kann Bodeneinheiten angreifen.
Designed for maximum infantry disruption, the Hellfire Shotgun detonates miniature explosives internally and then channels the blast through its reinforced muzzle to create a devastating arc of fire.	Die Infernoschrotflinte wurde für den Einsatz auf kurze Distanz entwickelt und soll maximale Verheerung unter feindlichen Infanterietruppen anrichten. Beim Feuern detonieren winzige Explosivgeschosse im Inneren der Kammer, die dann durch den verstärkten Lauf geleitet werden und einen vernichtenden Feuerkegel bilden.
Melee weapon. Ignores enemy armor. Can use Dash Attack to dash forward a short distance and deal <d ref="Effect,NovaPsiStrikeDamage,Amount"/> damage to enemy units in Nova's path. Can attack ground units.	Nahkampfwaffe. Ignoriert Panzerung und Schilde. Mit der Fähigkeit "Sturmangriff" prescht Nova vorwärts und fügt gegnerischen Einheiten in ihrem Weg <d ref="Effect,NovaPsiStrikeDamage,Amount"/> Schaden zu. Kann Bodeneinheiten angreifen.
The experimental Monomolecular Blade utilizes its wielder's psionic energy to hone an edge that has been sharpened to a microscopic degree, allowing it to cut through both physical armor and energy shields.	Die monomolekulare Klinge ist eine experimentelle Waffe, die die psionische Energie des Trägers verwendet, um die Schneide bis auf die kleinste mikroskopische Ebene zu schleifen. Auf diese Weise durchdringt sie mühelos physische Panzerung und selbst Energieschilde.
High output energy weapon. Melts targets into superheated plasma that damages nearby enemy units. Can use Plasma Shot to damage enemies and create additional plasma.	Hochleistungs-Energiewaffe. Schmilzt Ziele zu glühendem Plasma, das gegnerischen Einheiten in der Nähe Schaden zufügt. Die Fähigkeit "Plasmaschuss" fügt Einheiten Schaden zu und erzeugt mehr Plasma.
Usually deployed as heavy artillery, plasma weaponry boasts significant firepower when condensed into a portable form. Due to several safety concerns, it is highly advised that only properly trained field agents equip this experimental ordnance.	Plasmawaffen werden gewöhnlich als schwere Artillerie eingesetzt und bieten in ihrer tragbaren Form beeindruckende Feuerkraft. Gleichzeitig gibt es jedoch schwere Sicherheitsbedenken, weshalb dieser Waffenprototyp nur von entsprechend ausgebildeten Agenten im Kampfeinsatz verwendet werden darf.
Plasma Rifle	Plasmagewehr
<s val="NovaMissionRewardsTooltipTitle">Plasma Rifle</s><n/><s val="NovaMissionRewardsTooltipSubtitle">High output energy weapon. Melts enemies into pools of superheated plasma that damage nearby enemy units.</s>	<s val="NovaMissionRewardsTooltipTitle">Plasmagewehr</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Hochleistungs-Energiewaffe. Schmilzt Ziele zu extrem heißem Plasma, das gegnerischen Einheiten in der Nähe Schaden zufügt.</s>
Versatile melee and ranged weapon. Attacks deal area damage. Can use Fury of One to execute multiple attacks against enemies in a large target area. Can attack ground and air units.	Vielseitige Nah- und Fernkampfwaffe. Verursacht Flächenschaden. Kann mit "Alphaschlag" mehrere Gegner in einem großen Zielbereich angreifen. Kann Boden- und Lufteinheiten angreifen.
Considered wildly unconventional, the Blazefire Gunblade represents a school of thought amongst artisan gunsmiths that the perfect weapon can function well in all engagements. Designed as both a gun and a blade, it can only be wielded by the most accomplished martial artists.	Die Sturmklinge vom Typ "Blazefire" ist eine extrem unkonventionelle Waffe, die der Überlegung entspringt, dass eine perfekte Waffe in allen Arten von Kampfhandlungen einsetzbar sein muss. Diese Kreuzung aus Schusswaffe und Klinge erfüllt diese Kriterien, ist jedoch nur in der Hand von erfahrenen Kampfkünstlern effektiv.
Blazefire Gunblade	Blazefire-Sturmklinge
Helmet Goggle	Helmbrille
Equips Reapers with D8 Charges, increasing the damage they deal when attacking structures.	Stattet Rächer mit D-8-Ladungen aus, was ihren Schaden beim Angriff auf Gebäude erhöht.
Equips Hellbats and Hellions with Infernal Pre-Igniters, increasing the damage they deal to light units.	Stattet Kampfhellions und Hellions mit infernalischen Zündsystemen aus, was ihren Schaden gegen leichte Einheiten erhöht.
Equips Banshees with Shockwave Missile Batteries, upgrading their attacks to damage multiple units in a straight line.	Stattet Banshees mit Schockwellen-Raketenbatterien aus, was es ihnen ermöglicht, mehreren Einheiten entlang einer geraden Linie Schaden zuzufügen.
Replaces the Battlecruiser's standard weaponry with ATX Laser Batteries, which can target and attack multiple enemy units at once.	Ersetzt die Standardbewaffnung der Schweren Kreuzer durch ATX-Laserbatterien, die mehrere Einheiten gleichzeitig anvisieren und bekämpfen können.
Special Ordnance	Spezialbewaffnung
<s val="NovaMissionRewardsTooltipTitle">Special Ordnance</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Upgrades the equipped unit's weaponry with additional functionality.</s>	<s val="NovaMissionRewardsTooltipTitle">Spezialbewaffnung</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Verleiht den Waffensystemen der ausgewählten Einheit zusätzliche Funktionen.</s>
Allows Marauders to be trained at a Barracks without an attached Tech Lab.	Ermöglicht das Ausbilden von Marodeuren in der Kaserne ohne ein angeschlossenes Tech-Labor.
Allows Siege Tanks to be built at a Factory without an attached Tech Lab.	Ermöglicht das Bauen von Belagerungspanzern in der Fabrik ohne ein angeschlossenes Tech-Labor.
Allows Banshees to be built at a Starport without an attached Tech Lab.	Ermöglicht das Bauen von Banshees im Raumhafen ohne ein angeschlossenes Tech-Labor.
Allows Ravens to be built at a Starport without an attached Tech Lab.	Ermöglicht das Bauen von Raven im Raumhafen ohne ein angeschlossenes Tech-Labor.
Allows Battlecruisers to be built at a Starport without an attached Tech Lab.	Ermöglicht den Bau von Schweren Kreuzern im Raumhafen ohne ein angeschlossenes Tech-Labor.
Allows Hellbats to launch themselves toward nearby enemy ground units while in Hellbat mode. Enemies are briefly stunned on impact.	Ermöglicht der Einheit, sich im Kampfhellion-Modus zu einer gegnerischen Bodeneinheit in der Nähe zu katapultieren. Gegner werden beim Aufprall für kurze Zeit betäubt.
Allows Siege Tanks to reposition themselves to a target location while in either mode. Can be used to jump up and down cliffs.	Ermöglicht Belagerungspanzern, unabhängig vom gewählten Kampfmodus die Position zu wechseln. Kann verwendet werden, um Klippen hinauf- und herunterzuspringen.
Allows Goliaths to jump up and down cliffs.	Ermöglicht es Goliaths, Klippen hinauf- und hinunterzuspringen.
Jump Jet Technology	Sprungdüsentechnologie
Increases the Reaper's vision by 2 and its weapon range by 1.	Erhöht die Sichtweite des Rächers um 2 und die Waffenreichweite um 1.
Increases the Marine's vision by 2 and its weapon range by 1.	Erhöht die Sichtweite des Space-Marines um 2 und die Waffenreichweite um 1.
Increases the Goliath's anti-air weapon range by 3 and its ground weapon range by 1.	Erhöht die Reichweite der Luftabwehr von Goliaths um 3 und die Reichweite von Bodenangriffen um 1.
Increases the Marauder's vision by 2 and its weapon range by 1.	Erhöht die Sichtweite des Marodeurs um 2 und die Waffenreichweite um 1.
Equips Marines with an additional weapon that deals <d ref="Effect,MagrailMunitionsDamage,Amount"/> damage to their target every <d ref="Abil,MagrailMunitionsMarine,Cost.Cooldown.TimeUse"/> seconds.	Rüstet Marines mit einer zusätzlichen Waffe aus, die ihrem Ziel alle <d ref="Abil,MagrailMunitionsMarine,Cost.Cooldown.TimeUse"/> Sek. <d ref="Effect,MagrailMunitionsDamage,Amount"/> Schaden zufügt.
Equips Marauders with an additional weapon that deals 50 damage to their target every <d ref="Abil,MagrailMunitionsMarauder,Cost.Cooldown.TimeUse"/> seconds.	Rüstet Marodeure mit einer zusätzlichen Waffe aus, die ihrem Ziel alle <d ref="Abil,MagrailMunitionsMarauder,Cost.Cooldown.TimeUse"/> Sek. <d ref="Effect,MagrailMunitionsDamage,Amount"/> Schaden zufügt.
Replaces the Auto Turret with a Railgun Turret that deals damage to all enemy ground units along a straight line. Railgun Turrets cannot attack air units.	Ersetzt Automatische Geschütztürme durch Railgun-Geschütze, die allen gegnerischen Bodeneinheiten in einer geraden Linie Schaden zufügen.
Equips Goliaths with an additional weapon that deals <d ref="Effect,MagrailMunitionsDamage,Amount"/> damage to their target every <d ref="Abil,MagrailMunitionsGoliath,Cost.Cooldown.TimeUse"/> seconds. This ability can target air units only.	Stattet Goliaths mit einer zusätzlichen Waffe aus, die dem anvisierten Ziel alle <d ref="Abil,MagrailMunitionsGoliath,Cost.Cooldown.TimeUse"/> Sek. <d ref="Effect,MagrailMunitionsDamage,Amount"/> Schaden zufügt. Diese Fähigkeit kann nur Luftziele anvisieren.
<s val="NovaMissionRewardsTooltipTitle">Magrail Munitions</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Equips the unit with an additional weapon that periodically deals damage to the unit's target.</s>	<s val="NovaMissionRewardsTooltipTitle">Magnetführungsmunition</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Rüstet die Einheit mit einer zusätzlichen Waffe aus, die dem Ziel der Einheit regelmäßig Schaden zufügt.</s>
Allows Hellbats to attack while moving in Hellion mode. Hellbats transform between modes four times faster.	Ermöglicht Kampfhellions während der Bewegung anzugreifen, wenn sie sich im Hellion-Modus befinden. Kampfhellions können sich viermal so schnell transformieren.
Allows Liberators to transform between modes four times faster.	Falken können sich viermal so schnell transformieren.
Allows Siege Tanks to transform between modes four times faster.	Belagerungspanzer können sich viermal so schnell transformieren.
<s val="NovaMissionRewardsTooltipTitle">Smart Servos</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Increases the speed of the equipped unit's transformation sequence.</s>	<s val="NovaMissionRewardsTooltipTitle">Intelligente Servos</s><n/><s val="NovaMissionRewardsTooltipSubtitle">Beschleunigt den Transformationsprozess der damit ausgerüsteten Einheit.</s>
Automatically repairs Siege Tanks when out of combat at a rate of <d ref="Behavior,RegenerativeBioSteelSiegeTank,Modification.VitalRegenArray[Life]"/> life per second.	Repariert Belagerungspanzer automatisch außerhalb des Kampfes um <d ref="Behavior,RegenerativeBioSteelSiegeTank,Modification.VitalRegenArray[Life]"/> Trefferpunkte pro Sekunde.
Automatically repairs Banshees when out of combat at a rate of <d ref="Behavior,RegenerativeBioSteelBanshee,Modification.VitalRegenArray[Life]"/> life per second.	Repariert Banshees automatisch außerhalb des Kampfes um <d ref="Behavior,RegenerativeBioSteelBanshee,Modification.VitalRegenArray[Life]"/> Trefferpunkte pro Sekunde.
