Amorphous Armorcloud	Nimboarmadura amorfa
KR - Introduction 3	FK - Introducción 3
KS - Introduction 3	TK - Introducción 3
L&L - Introduction 3	AyC - Introducción 3
OE - Introduction 3	EO - Introducción 3
PnP - Intro 3	PnP - Introducción 3
ST - Introduction 3	TS - Introducción 3
JC - Intruder Alert	JC - Alerta de intruso
DoN - Kaboomers	NM - Kaboomers
KR - Last Group of Shards	FK - Último grupo de esquirlas
RC - Lava Caution Second	RC - Lava Caution Second
Main Objective - Defend Critical	Objetivo principal - Defensa - Crítica
Main Objective - Defend Damaged	Objetivo principal - Defensa - Dañado
Main Objective - Escort Almost There	Objetivo principal - Escolta - Cerca
Main Objective - Additional Multiple	Objetivo principal - Adicional - Múltiple
Main Objective - Additional Single	Objetivo principal - Adicional - Individual
Zagara - Mass Frenzy Ready	Zagara - Frenesí en masa listo
KR - Multiple Shards Detected	FK - Varias esquirlas detectadas
OE - Multiple Trains Detected	EO - Varios trenes detectados
OE - Almost Complete	EO - Casi completo
ST - 75% Complete	TS - 75% completo
CoA - Near Defeat (75%)	CdA - Cerca de la derrota (75%)
OE - 2/3 Failing Warning	EO - Advertencia de fallo 2/3
CoA - Near Victory (75%)	CdA - Cerca de la victoria (75%)
DoN - Attack at Night	NM - Ataque nocturno
DoN - Nightfall Now (First)	NM - Cae la noche (primera)
DoN - Nightfall Now (Repeat)	NM - Cae la noche (repetición)
DoN - Nightfall Warning (First)	NM - Advertencia de noche (primera)
DoN - Nightfall Warning (Quota)	NM - Advertencia de noche (cantidad)
DoN - Nightfall Warning (Repeat)	NM - Advertencia de noche (repetición)
CoA - Reminder to Support	CdA - Recordatorio de apoyo
CT - One Thrasher Group Remains	DC - Un grupo de Demoledores restante
L&L - Locks Remaining - One	AyC - Bloqueos restantes - Uno
CoA - One Player Supporting	CdA - Apoyo de un jugador
CT - One Thrasher Left	DC - Un Demoledor restante
KS - One Wave Remains	TK - Una oleada restante
L&L - Locks Overloading - Critical	AyC - Sobrecarga de bloqueos - Crítico
L&L - Locks Overloading - Imminent	AyC - Sobrecarga de bloqueos - Inminente
L&L - Locks Overloading - Warning	AyC - Sobrecarga de bloqueos - Advertencia
PnP - All Parts Collected	PnP - Todas las piezas recogidas
PnP - Half Parts Collected	PnP - Mitad de las piezas recogidas
PnP - Most Parts Collected	PnP - Mayoría de las piezas recogidas
PnP - Start Collecting Parts	PnP - Comenzar a recoger piezas
L&L - Player Secures their First Lock	AyC - El jugador captura el primer bloqueo
L&L - Player Secures a Lock (Repeating)	AyC - El jugador captura un bloqueo (repetición)
Main Objective - Holdout Nearing Completion	Objetivo principal - Resistencia - Próximo a finalizar
Main Objective - Defend Ready	Objetivo principal - Defensa - Listo
Main Objective - Destroy Objective Destroyed	Objetivo principal - Destrucción - Objetivo destruido
Main Objective - Destroy Final Objective	Objetivo principal - Destrucción - Objetivo final
Main Objective - Holdout Ready	Objetivo principal - Resistencia - Listo
Main Objective - Destroy Objective Located	Objetivo principal - Destrucción - Objetivo localizado
Main Objective - Updated	Objetivo principal - Actualizado
Main Objective - Victory	Objetivo principal - Victoria
DoN - Progress Update (Final)	NM - Actualización de progreso (final)
JC - Progress Update (Final)	JC - Actualización de progreso (final)
BE - Progress Update (First)	EB - Actualización de progreso (Primero)
DoN - Progress Update (First)	NM - Actualización de progreso (primera)
JC - Progress Update (First)	JC - Actualización de progreso (primera)
BE - Progress Update (Second)	EB - Actualización de progreso (Segundo)
DoN - Progress Update (Second)	NM - Actualización de progreso (segunda)
JC - Progress Update (Second)	JC - Actualización de progreso (segunda)
BE - Progress Update (Third)	EB - Actualización de progreso (Tercero)
Swann - Pulse Cannon Ready	Swann - Cañón de pulso listo
Karax - Purifier Beam Ready	Karax - Rayo purificador listo
DoN - Quota Met	NM - Cantidad alcanzada
Main Objective - Reverse Escort Destroyed	Objetivo principal - Reversión - Escolta - Destruido
Main Objective - Reverse Escort Escaping	Objetivo principal - Reversión - Escolta - Escapando
Main Objective - Reverse Escort Located	Objetivo principal - Reversión - Escolta - Localizado
Reminder - Reverse Escort	Recordatorio - Reversión - Escolta
CT - Rifts Appearing	DC - Aparición de Fisuras
Vorazun - Shadow Guard Ready	Vorazún - Guardia sombría lista
Artanis - Shield Overcharge Ready	Artanis - Sobrecarga de escudo lista
KS - Shuttle Destroyed	TK - Transbordador destruido
KS - Shuttle Wave Escaped (Partial)	TK - Ha escapado una oleada de Transbordadores (parcial)
KS - Shuttle Wave Sent to All Conduits	TK - Oleada de Transbordadores enviada a todos los conductos
KS - Final Shuttle Wave	TK - Oleada de Transbordadores final
KS - First Shuttle Sent	TK - Primer Transbordador enviado
KS - Shuttle Wave Sent to Multiple Conduits	TK - Oleada de Transbordadores enviada a varios conductos
KS - Shuttle Wave Converging on One Conduit	TK - Oleada de Transbordadores agrupándose en un conducto
KS - Single Shuttle Sent to Single Conduit	TK - Transbordador enviado a un conducto
KS - Shuttle About to Warp	TK - Transbordador a punto de transposicionarse
KS - Shuttle Wave Escaped (Full)	TK - Ha escapado una oleada de Transbordadores (completa)
Artanis - Solar Bombardment Ready	Artanis - Bombardeo solar listo
DoN - Spotters	NM - Spotters
DoN - Stank	NM - Apestank
DoN - Structures Located	NM - Estructuras localizadas
CE - Mission Complete	EdC - Misión completa
CoA - Player Support Defeated	CdA - Apoyo del jugador derrotado
CE - Guardian Taking Damage (Critical)	EdC - Guardián recibiendo daño (crítico)
ST - Temple Critical Health	TS - Templo con vida crítica
ST - Temple 50% Health	TS - Templo con 50% de vida
ST - Temple Low Health	TS - Templo con poca vida
ST - Temple Under Attack	TS - Templo bajo ataque
CT - First Thrasher Rift Appears	DC - Aparición de primera fisura de Demoledor
CT - First Thrasher Spawn	DC - Aparición de primer Demoledor
CT - Thrashers Spawning	DC - Aparición de Demoledores
CT - Three Thrashers Left	DC - Tres Demoledores restantes
KS - Three Waves Remain	TK - Tres oleadas restantes
Vorazun - Time Stop Ready	Vorazún - Interrupción temporal lista
CE - Tower Destroyed	EdC - Torre destruida
CE - Tower Detected (First)	EdC - Torre detectada (primera)
CE - Tower Detected (Multiple)	EdC - Torre detectada (varias)
CE - Tower Detected (Single)	EdC - Torre detectada (una)
OE - Train Detected (Repeating)	EO - Tren detectado (repetición)
Main Objective - Transport Almost There	Objetivo principal - Transporte - Cerca
Main Objective - Transport Lost	Objetivo principal - Transporte - Perdido
Main Objective - Transport Ready	Objetivo principal - Transporte - Listo
Main Objective - Transport Reclaim	Objetivo principal - Transporte - Recuperación
Reminder - Transport	Recordatorio - Transporte
Main Objective - Transport Delivered	Objetivo principal - Transporte - Entregado
Main Objective - Transport Under Attack	Objetivo principal - Transporte - Bajo ataque
Main Objective - Tug of War Complete	Objetivo principal - Cinchada - Completa
Main Objective - Tug of War Falling Back	Objetivo principal - Cinchada - En retroceso
Main Objective - Tug of War Lost	Objetivo principal - Cinchada - Perdida
Main Objective - Tug of War Nearly Complete	Objetivo principal - Cinchada - Casi completa
Main Objective - Tug of War Nearly Lost	Objetivo principal - Cinchada - Casi perdida
Main Objective - Tug of War Ready	Objetivo principal - Cinchada - Listo
Reminder - Tug of War	Recordatorio - Cinchada
Main Objective - Tug of War Waiting	Objetivo principal - Cinchada - En espera
CT - Two Thrasher Groups Remaining	DC - Dos grupos de Demoledores restantes
L&L - Locks Remaining - Two	AyC - Bloqueos restantes - Dos
CT - Two Thrashers Left	DC - Dos Demoledores restantes
KS - Two Waves Remain	TK - Dos oleadas restantes
BE - Intro	EB - Introducción
AS - Victory	AA - Victoria
BE - Victory	EB - Victoria
CE - Victory	EdC - Victoria
CT - Victory	DC - Victoria
CoA - Victory	CdA - Victoria
DoN - Victory	NM - Victoria
JC - Victory	JC - Victoria
KR - Victory	FK - Victoria
KS - Victory	TK - Victoria
L&L - Victory	AyC - Victoria
OE - Victory	EO - Victoria
PnP - Victory	PnP - Victoria
ST - Victory	TS - Victoria
Victory	Victoria
AS - Void Shard Destroyed (First)	AA - Esquirla del Vacío destruida (primera)
AS - Void Shard Destroyed (Fourth)	AA - Esquirla del Vacío destruida (cuarta)
AS - Void Shard Destroyed (Second)	AA - Esquirla del Vacío destruida (segunda)
AS - Void Shard Destroyed (Third)	AA - Esquirla del Vacío destruida (tercera)
KR - Void Shard Destroyed (Repeat)	FK - Esquirla del Vacío destruida (repetición)
Void Thrasher - Single Appears	Demoledor del Vacío - Aparición simple
ST - Void Thrasher Attacking Temple	TS - Un Demoledor del Vacío ataca el templo
Void Thrasher - Attacking Target	Demoledor del Vacío - Atacando objetivo
Void Thrasher - Death	Demoledor del Vacío - Muerte
BE - Void Thrasher (First)	EB - Demoledor del Vacío (Primero)
Void Thrasher - Multiple Appear	Demoledor del Vacío - Aparición múltiple
BE - Void Thrasher (Repeat)	EB - Demoledor del Vacío (Repetición)
ST - Multiple Void Thrashers Summoned	TS - Invocación de varios Demoledores del Vacío
KS - Warp Conduit Online	TK - Conducto de transposición en línea
Brutal+	Brutal+
Brutal+2	Brutal+2
Brutal+3	Brutal+3
Brutal+4	Brutal+4
Brutal+5	Brutal+5
Brutal+6	Brutal+6
And Drops and Rifts	Fisuras y oleadas
[PH] Area Denial	Restricción de área
Assembly of Vengeance	Reunión de venganza
Astigmatism	Astigmatismo
Attrition Warfare	Guerra agotadora
Bad Weather	Mal clima
Bannable Offense	Infracción punible
Barrier to Entry	Barrera de entrada
Kill Bot Wars	Guerra de roboasesinos
[PH] Battle of Attrition	Batalla del agotamiento
Beggars Can't Be Choosers	El que no arriesga no gana
Beyond the Gates	Más allá de las puertas
Binary Choice	Decisión binaria
Blasting Off Again	Explosiones a granel
Blind Tribute	Homenaje ciego
The Blizzcon Challenge	El Desafío de la Blizzcon
Timely Reinforcements	Refuerzos oportunos
Price of Progress	El precio del progreso
[PH] Bounce House	Castillo inflable
Bubble Pop	Plástico de burbujas
Burning Evacuation	Evacuación urgente
Conflagration	Siniestro
Call of the Void	Llamada del Vacío
Catch the Train	Alcanza el tren
Certain Demise	Muerte segura
Chaos Studios 2	Estudio Caos 2
Wheel of Misfortune	Ruleta de la desgracia
Chaos Studios	Estudio Caos
Charnel House	Osario
Choices Choices	Difícil decidir
Cold Adaptation	Adaptación al frío
Cold Is The Void	Frío es el Vacío
Out of Order	Fuera de servicio
Coordinated Defense	Defensa coordinada
Burning Legion	Legión Ardiente
Instant Karma	Karma instantáneo
Portal Power	Poder del portal
Dark Ritual	Ritual oscuro
The Quick and the Dead	Rápidos y mortales
Dead Heat	Empate
Miner Concerns	Minería de riesgo
Death and Taxes	Muerte e impuestos
Death From Above And Below	Muerte desde el cielo y más abajo
Watch the Skies	Lluvia de muerte
Death From Below	Muerte desde las profundidades
Death is Fleeting	La muerte es fugaz
Violent Night	Noche violenta
Decade of Decadence	Década de decadencia
Delivery Guaranteed	Entrega garantizada
Like Swatting Insects	Como aplastar insectos
Die Together	Muerte conjunta
Distant Threat	Amenaza distante
Dodge This	Esquiva esto
Temple of Rebirth	Templo de la resurrección
Double Trouble	Problemas duplicados
Encroaching Madness	Locura opresora
Endless Infection	Infección infinita
Endless Sparkles	Chispas infinitas
Enhanced Defenses	Defensas mejoradas
Enter the Nexus	Entrada al Nexo
World on Fire	Mundo en llamas
Equivalent Exchange	Intercambio equitativo
Spear of Your Doom	Lanza de Amón
Experimental Artillery	Artillería experimental
What Goes Around	Todo lo que das...
Diplomatic Immunity	Inmunidad diplomática
Field of Screams	Campo de gritos
Fire in the Hole	Cúbranse
Firewall	Barrera minada de lava
First Strike	Primer golpe
Flip My Base	Dominio purificador
Overclocked	Overclock
Frostbite	Entumecimiento
Get Out More	Sal más seguido
Getting Along	Hay que llevarse bien
Grave Danger	Peligro inmortal
Graveyard Shift	Las tumbas malditas
Growing Threat	Amenaza al acecho
Hard Target	Blanco difícil
Hardware Malfunction	Problemas con el hardware
Hell Train	Tren del infierno
Hello My Old Friend	Hola, mi vieja amiga
Hostile Territory	Territorio hostil
Hot 'n' Cold	Caliente y frío
By Fire Be Purged	Que el fuego te purifique
In the Name of Love	En nombre del amor
Infection Detected	Infección detectada
Darkest Hour	La hora más oscura
Inner Power	Poder interior
Retribution	Retribución
Knock Knock	Toc toc
Locked and Loaded	Locked and Loaded
Ulnar New Year	Año nuevo "Ulnar"
[PH] Magnetic Attraction	Atracción magnética
Magnetic Pull	Atracción magnética
Mass Manufacturing	Producción en masa
Media Blackout	Apagón informativo
Medieval Times	Tiempos medievales
Memorable Boss	Jefe memorable
Battle Hardened	Aguerrido
No Money, More Problems	Último recurso
Moths to the Flame	Seducción letal
Moving Fees	Costos de mudanza
Multitasking Trainer	Instructor polifuncional
My Bots!	¡Mis robots!
Negative Reinforcement	Refuerzo negativo
Blast from the Past	Explosión retroactiva
Never Say Die	Morir: imposible
Night Drive	Paseo nocturno
Fowl Play	Juego sucio
Nuclear Family	Familia nuclear
Doomsday Report	Informe del Día del Juicio Final
Power Trip	Abuso de poder
Hostile Takeover	Invasión hostil
Fright Night	Noche de espanto
Of One Mind	Mentalidad compartida
One For All	Uno para todos
Onslaught	Embate virulento
Operation Cooperation	Operación cooperación
Opportunities Unleashed	Oportunidades desatadas
Flipping Out	Fuera de control
Boom Town	Ciudad nuclear
The Perfect Storm	La tormenta perfecta
Futile Resistance	Resistencia fútil
Inordinate Response	Respuesta desmedida
Quick Killers	Asesinos ágiles
Radiation Zone	Zona de radiación
Railroad Switch	Interruptor de vía
Relentless Dead	Muerte implacable
Rest in Peace	Descansa en paz
Rise From Ashes	Resurgimiento de las cenizas
Robotic Revival	Resurrección robótica
Rubber and Glue	Goma y cola
Safety Violation	Violación de seguridad
Season of Giving	Época de la generosidad
Secret Storm	Tormenta secreta
Shared Pain	Dolor compartido
Shields Up!	¡Escudos activados!
Shining Bright	Brillo intenso
Shir Chaos	Caos Bel'icoso
Special Delivery	Entrega inconfundible
Sick Micro	Megacoordinación
Silent Killer	Asesina silenciosa
Slow and Steady	Lento pero seguro
Specter of Death	Espectro de muerte
Survival of the Fittest	Supervivencia del más apto
Temple of Pain	Templo del dolor
Temple Of Terror	Templo del terror
Terrazine Overload	Sobrecarga de terracino
Rumble in the Jungle	Caos en la jungla
The Ascended	Los ascendidos
The Longest Night	La noche más larga
The Quick and the Undead	Rápidos y no muertos
Think Fast	Velocidad mental
Thunder Dome	Domo de truenos
Fear and Lava	Miedo y lava
Time Lock	El tiempo es tirano
Together Forever	Juntos para siempre
Train of the Dead	El tren de los muertos
Triple Threat	Amenaza triple
The Ultimate Price	El precio final
Cremation	Cremación
Undermined	Socavado
Out of Sight	Ojos que no ven
Unstable Environment	Entorno inestable
Worn Out Welcome	Chau, chau, adiós
Explosive Results	Resultados explosivos
Urban Warfare	Guerrilla urbana
Masters of Midnight	Maestros de la medianoche
Castlepainia	Vampiria
War Is Hell	Guerra infernal
Warp Zone	Zona de transposición
Well Trained	Entrenamiento riguroso
What We Do in the Shadows	Desde las sombras
White Out	Resplandor confuso
Dangerous Ambition	Ambición peligrosa
Your units will not obey any command placed in areas they cannot see.	Tus unidades no obedecerán ninguna orden en áreas que no pueden ver.
Extreme Caution	Extrema cautela
All enemy units are permanently cloaked.	Todas las unidades enemigas obtienen camuflaje permanente.
We Move Unseen	Desplazamiento inadvertido
Enemy units gain increased attack speed, movement speed, armor, life, and life-regeneration when nearby enemy units die.	Las unidades enemigas obtienen más velocidad de ataque, velocidad de movimiento, armadura, vida y regeneración de vida cuando las unidades enemigas cercanas mueren.
Enemy units and structures gain a temporary shield upon the first time they take damage.	Las unidades y las estructuras enemigas obtienen un escudo temporal la primera vez que reciben daño.
Previously explored areas remain blacked out on the minimap while outside of player vision.	Las áreas ya exploradas se oscurecen en el minimapa siempre que estén lejos de la visión del jugador.
Darkness	Oscuridad
Blank	En blanco
Storm clouds move across the map, damaging and freezing player units in their path.	Aparecen en el mapa nubes de tormenta que dañan y congelan a las unidades del jugador.
New mutators are being added periodically.  See how long you can last!	Se agregan mutadores nuevos periódicamente. ¡Descubre cuánto tiempo duras!
Blizzcon Challenge	Desafío de la Blizzcon
Uncaring automatons carry a nuclear payload toward your base. One player must discern the disarming sequence and the other player must enter it.	Unos autómatas descuidados transportan una carga nuclear hacia tu base. Un jugador debe descifrar la secuencia de desarmado y el otro jugador debe ingresarla.
Boom Bots	Bumbots
Shapeless lifeforms creep toward your base, transforming all of the units and structures they touch into copies of themselves.	Unos organismos amorfos se acercan lentamente hacia tu base, y todas las unidades y estructuras que tocan se transforman en copias de ellos.
Propagators	Propagadores
Player units are slowed by all enemy attacks.	Los ataques enemigos ralentizan las unidades de jugador.
Mutators are chosen at random and periodically cycle throughout the mission.	Los mutadores se seleccionan al azar y cambian periódicamente durante la misión.
Damage dealt to enemies is split evenly across all nearby units, including your own.	El daño infligido a los enemigos se divide equitativamente entre las unidades cercanas, incluso las tuyas.
Diffusion	Difusión
Your units also receive all the damage they deal, but they are healed over time.	Tus unidades también reciben todo el daño que infligen, pero sanan con el tiempo.
Double-Edged	Doble filo
Enemy units explode and deal damage to nearby player units upon death.	Al morir, las unidades enemigas explotan e infligen daño a las unidades cercanas del jugador.
Self Destruction	Autodestrucción
When enemy units and structures die, any of your nearby units are pulled to their location.	Cuando muere una unidad o estructura enemiga, cualquiera de tus unidades cercanas es atraída hacia su ubicación.
Fatal Attraction	Atracción fatal
Additional enemy units are periodically deployed onto the battlefield.	El enemigo despliega unidades adicionales periódicamente en el campo de batalla.
Aggressive Deployment	Despliegue agresivo
Mineral clusters at player bases are periodically encased in a shield which must be destroyed for gathering to continue.	Los cúmulos de minerales de las bases de jugador se cubren periódicamente con un escudo que debe destruirse para que la recolección pueda continuar.
Mineral Shields	Defensas minerales
Enemy units have a chance to transform into more powerful units whenever they deal damage.	Las unidades enemigas tienen una probabilidad de transformarse en unidades más poderosas cuando infligen daño.
Transmutation	Transmutación
Player units will occasionally stop attacking and run around in fear upon taking damage.	Cuando reciben daño, existe la posibilidad de que las unidades del jugador dejen de atacar y huyan despavoridas.
Enemy units set the terrain on fire upon death.	Las unidades enemigas incineran el terreno cuando mueren.
Enemies launch a dazzling fireworks display upon death, dealing damage to your nearby units.	Cuando mueren, los enemigos lanzan un asombroso espectáculo de fuegos artificiales que inflige daño a tus unidades cercanas.
Fireworks	Fuegos artificiales
Supply can only be generated by killing turkeys that wander throughout the map. Doing so may anger the turkeys that remain.	Los suministros solo pueden generarse matando a los pavos que circulan por el mapa. Pero eso podría enfurecer a los pavos que quedan.
Turkey Shoot	Tiro al pavo
Enemy units spawn Force Fields upon death.	Las unidades enemigas engendran Campos de fuerza cuando mueren.
Force Fields	Campos de fuerza necrosos
Gifts are periodically deployed around the map.  If you don't claim them, Amon will!	Se despliegan obsequios por todo el mapa periódicamente. Si no vas a buscar el tuyo, ¡Amón se lo quedará!
Gift Exchange	Intercambio de obsequios
Areas outside of vision are completely black.	Las áreas fuera de la visión son completamente negras.
Enemy Heroic units reduce all incoming damage to a maximum of 10 when any non-heroic enemy unit is near them.	Las unidades heroicas enemigas reducen todo el daño recibido a un máximo de 10 cuando cualquier unidad enemiga no heroica está cerca de ellas.
Attack waves will be joined by heroes of increasing power.	Héroes cada vez más poderosos se unirán a las oleadas de ataque.
Heroes from the Storm	Héroes de la tormenta
Enemy Hybrid units detonate a Nuke upon death.	Las unidades híbridas enemigas detonan una bomba nuclear al morir.
Mutually Assured Destruction	Destrucción mutua asegurada
Enemy damage is increased by 15%.	El daño enemigo aumenta un 15%.
Terrible Terrible Damage	Daño aterrador
Enemy Infested Terrans spawn continuously around the map.	Continuamente se engendran terran infestados enemigos en todo el mapa.
Outbreak	Epidemia
Enemy Heroic units increase the attack speed and armor of all enemies within a small range.	Las unidades heroicas enemigas aumentan la armadura y la velocidad de ataque de todos los enemigos dentro de un radio pequeño.
Your units don't follow orders exactly.	Tus unidades no cumplen las órdenes al pie de la letra.
Insubordination	Insubordinación
Enemy units are automatically revived upon death.	Las unidades enemigas reviven automáticamente luego de morir.
Just Die!	¡Muérete!
Offensive robots of a mysterious origin have been unleashed on the Koprulu sector, intent on destruction. Through cunning engineering, they are invincible until their pre-programmed kill counter has been filled. After that occurs, they will shut down. But can you survive for that long?	Unos robots ofensivos de origen misterioso han sido liberados en el sector Koprulu, y su objetivo es causar destrucción. Gracias a la ingeniería brillante con la que se desarrollaron, nada puede vencerlos hasta que completen su contador de asesinatos preprogramado. Después de eso, se apagan. ¿Podrás sobrevivir hasta entonces?
Kill Bots	Roboasesinos
Player units and structures take increased damage for each enemy they've killed.	Las unidades y estructuras del jugador reciben más daño por cada enemigo que han matado.
Naughty List	Lista de malcriados
An enemy Laser Drill constantly attacks player units within enemy vision.	Un taladro láser ataca constantemente a las unidades del jugador que están en el rango de visión enemigo.
Lava periodically bursts from the ground at random locations and deals damage to player air and ground units.	Se producen explosiones de lava periódicamente en ubicaciones aleatorias que infligen daño a las unidades aéreas y terrestres del jugador.
Lava Burst	Explosiones de lava
Player worker units periodically fall asleep and must be awoken via the Wake Up ability on their command card.	Los trabajadores del jugador se duermen reiteradamente y el jugador debe despertarlos mediante la habilidad ¡Despierta!, de su tarjeta de comando.
Nap Time	Siesta
Enemy units and structures steal life or shields whenever they do damage.	Las unidades enemigas y estructuras roban vida o escudos cuando infligen daño.
Life Leech	Drenaje de vida
Enemy units and structures have increased weapon and vision range.	Las unidades y estructuras enemigas tiene mayor rango de visión y alcance de ataque.
Mag Mines are deployed throughout the map at the start of the mission.	Al comienzo de la misión, se despliegan minas magnéticas en todo el mapa.
Mag-nificent	Mag-nífico
Endless missile bombardments target your structures and must be shot down throughout the mission.	Bombardeos incesantes con misiles atacan tus estructuras y tienes que derribarlos a lo largo de toda la misión.
Missile Command	Misiles a la orden
When a Heroic enemy dies, all player units around it will reflect on their transgressions, leaving them unable to attack or use abilities.	Cada vez que un enemigo heroico muere, las unidades de los jugadores que lo rodean dedican un momento a reflexionar sobre sus transgresiones y no pueden atacar ni utilizar habilidades.
Moment Of Silence	Minuto de silencio
Placeholder10	Placeholder10
Placeholder11	Placeholder11
Placeholder12	Placeholder12
Placeholder13	Placeholder13
Placeholder14	Placeholder14
Placeholder15	Placeholder15
Placeholder16	Placeholder16
Placeholder17	Placeholder17
Placeholder18	Placeholder18
Placeholder19	Placeholder19
Placeholder20	Placeholder20
Placeholder5	Placeholder5
Placeholder6	Placeholder6
Placeholder7	Placeholder7
Placeholder8	Placeholder8
Placeholder9	Placeholder9
Player worker units gather resources at a reduced rate, but resource pickups spawn throughout the map.	Los trabajadores del jugador recogen recursos a menor velocidad, pero en el mapa aparecerán palets de recursos.
Slim Pickings	Época de vacas flacas
Nukes are launched at random throughout the map.	Se producen lanzamientos nucleares aleatoriamente por todo el mapa.
Going Nuclear	El hombre radioactivo
All enemy units have energy and use random abilities.	Todas las unidades enemigas tienen energía y usan habilidades aleatorias.
Enemy Orbital Strikes are periodically fired throughout the map.	El enemigo realiza ataques orbitales reiteradamente en todo el mapa.
Giving commands to your units costs resources based on the unit's cost.	Darles órdenes a tus unidades cuesta recursos de acuerdo al costo de la unidad.
Micro Transactions	Microtransacciones
Some enemy units carry a plague that deals damage over time and spreads to other nearby units. The plague spreads to your units when the enemy unit is killed.	Algunas unidades portan una plaga que inflige daño con el tiempo y se propaga a otras unidades cercanas. La plaga se propaga a tus unidades cuando la unidad enemiga muere.
Black Death	Peste negra
Each enemy unit is immune to either your units or your ally's units.	Cada unidad enemiga es inmune a tus unidades o las de tu aliado.
Polarity	Polaridad
An enemy Purifier Beam moves across the map toward nearby player units.	Un rayo purificador enemigo se mueve por todo el mapa en busca de las unidades cercanas del jugador.
Applies a random Mutator that has not yet been chosen for this game.	Aplica un Mutador aleatorio que aún no se haya seleccionado para esta partida.
Random	Aleatorio
Void Reanimators wander the battlefield, bringing your enemies back to life.	Por el campo de batalla deambulan Reanimadores del Vacío que resucitan a tus enemigos.
Void Reanimators	Reanimadores del Vacío
Festive envelopes containing resource pickups are dropped at random throughout the map.	Se colocarán sobres festivos con palets de recursos en ubicaciones aleatorias del mapa.
Lucky Envelopes	Sobres de la suerte
Player units and structures have reduced vision range.	Las unidades y estructuras del jugador tienen menor rango de visión.
Shortsighted	Corto de vista
Supply is shared between you and your partner, and units from both armies contribute to your combined supply cap.	Los jugadores tienen un contador de suministros común, y las tropas de los dos ejércitos cuentan para alcanzar el límite máximo.
Sharing Is Caring	Dar es recibir
Enemy units teleport a short distance away upon taking damage.	Cuando reciben daño, las unidades enemigas se teletransportan a corta distancia.
Your units accelerate and turn slowly.	Tus unidades aceleran y giran lentamente.
Sluggishness	Lentitud
All enemy units spawn Broodlings upon death.	Las unidades enemigas engendran Ácaros al morir.
Alien Incubation	Incubación alienígena
Enemy units move 50% faster.	Las unidades enemigas se mueven un 50% más rápido.
Speed Freaks	Reyes de la velocidad
Groups of Widow Mines and Spider Mines are buried throughout the battlefield.	El campo de batalla oculta grupos de Minas viudas y Minas araña.
Minesweeper	Buscaminas
The enemy has deployed Stone Zealots.	El enemigo ha desplegado Zelots de piedra.
Stone Zealots	Zelots pétreos
Enemies gain control of your structures after destroying them.	Los enemigos se apoderan de tus estructuras después de destruirlas.
Eminent Domain	Dominio eminente
Enemy Temporal Fields are periodically deployed throughout the map.	El enemigo despliega campos temporales reiteradamente en todo el mapa.
Enemy Time Warps are periodically deployed throughout the map.	El enemigo despliega distorsiones de tiempo reiteradamente en todo el mapa.
Your workers have timed life.	Tus trabajadores tienen una duración limitada.
Worker Strike	Huelga
Tornadoes move across the map, damaging and knocking back player units in their path.	Aparecen en el mapa tornados que dañan y repelen a las unidades del jugador.
Twister	El ojo de la tormenta
Civilians visit your Candy Bowl looking for treats, which are generated by spending minerals. If no treats are available, the civilians transform into random enemy units.	Los civiles visitan tu bol de caramelos en busca de dulces, que se generan a cambio de minerales. Si no hay ningún dulce, los civiles se transforman en unidades enemigas aleatorias.
Trick or Treat	Dulce o truco
Vision provided by all sources is extremely limited except when in view of your camera.	La visión otorgada por todas las fuentes está extremadamente limitada, excepto cuando están en el foco de la cámara.
Afraid of the Dark	¿Le temes a la oscuridad?
A monster is deployed against you.  Each time you kill it, it will gather more power and return even stronger.	Se ha activado un monstruo para que luche contra ti. Cada vez que lo mates, absorberá más poder y regresará con más fuerza.
Undying Evil	Mal inmortal
Enemy unit movement speed increased by 200%.	Velocidad de movimiento de unidades enemigas aumentada un 200%.
Enemy units have increased movement speed.	Las unidades enemigas tienen más velocidad de movimiento.
Your camera randomly changes positions.	Tu cámara cambia de posición aleatoriamente.
Vertigo	Vértigo
Void Rifts periodically appear in random locations and spawn enemy units until destroyed.	Aparecen fisuras del Vacío periódicamente en ubicaciones aleatorias y engendran unidades enemigas hasta que las destruyes.
Void Rifts	Fisuras del Vacío aleatorias
Enemy units spawn Infested Terran upon death in numbers according to the unit's life.	Las unidades enemigas engendran una cantidad de terran infestados al morir acorde a la vida que tiene la unidad.
Walking Infested	Muertos infestados
Yes Test	Yes Test
zzzTest	zzzTest
Fries	Fries
Savage	Savage
Chen	Chen
Hayes	Hayes
Dunham	Dunham
Housky	Housky
Ayers	Ayers
Hajj	Hajj
Creasey	Creasey
Mills	Mills
Dilling	Dilling
Carle	Carle
Montaudouin	Montaudouin
Sanchez	Sanchez
Johnston	Johnston
Brophy	Brophy
Ryder	Ryder
Anderson	Anderson
Mancini	Mancini
Vue	Vue
Altuna	Altuna
Chae	Chae
Flee	Flee
Fung	Fung
Fuchs	Fuchs
Provost	Provost
Cho	Cho
Castillo	Castillo
Perry	Perry
Larson	Larson
Levy	Levy
Kirkpatrick	Kirkpatrick
Peshkov	Peshkov
Kim	Kim
Sum	Sum
Lee	Lee
Black	Black
Huck	Huck
Roberts	Roberts
Dye	Dye
Howl	Howl
Bertrand	Bertrand
Lu	Lu
Gotcher	Gotcher
Morris	Morris
