Amorphous Armorcloud	Zasłona amorficzna
FenixTalisAdeptBounceShotSearch4 (Unnamed) Copy Copy Copy	FenixTalisAdeptBounceShotSearch4 (Unnamed) Copy Copy Copy
FenixTalisAdeptBounceShotSet5 (Unnamed) Copy	FenixTalisAdeptBounceShotSet5 (Unnamed) Copy
FenixTalisAdeptBounceShotSet5 (Unnamed) Copy Copy	FenixTalisAdeptBounceShotSet5 (Unnamed) Copy Copy
FenixTalisAdeptBounceShotSet5 (Unnamed) Copy Copy Copy	FenixTalisAdeptBounceShotSet5 (Unnamed) Copy Copy Copy
FenixTalisShadeDamage	FenixTalisShadeDamage
FenixTalisShadeLM	FenixTalisShadeLM
Warbringer Thermal Lances	Warbringer Thermal Lances
Warbringer Thermal Lances Damage Delay	Warbringer Thermal Lances Damage Delay
Warbringer Thermal Lances E	Warbringer Thermal Lances E
Warbringer Thermal Lances E Reverse	Warbringer Thermal Lances E Reverse
Warbringer Thermal Lances Forward	Warbringer Thermal Lances Forward
Warbringer Thermal Lances Friendly CP	Warbringer Thermal Lances Friendly CP
Warbringer Thermal Lances Friendly Damage	Warbringer Thermal Lances Friendly Damage
Warbringer Thermal Lances MU	Warbringer Thermal Lances MU
Warbringer Thermal Lances Reverse	Warbringer Thermal Lances Reverse
Firebat Merc Veterancy Aura AB	Firebat Merc Veterancy Aura AB
Fleetwide Jump Create Precursor	Fleetwide Jump Create Precursor
Fleetwide Jump Teleport	Fleetwide Jump Teleport
Fleetwide Jump Teleport AB	Fleetwide Jump Teleport AB
Fleetwide Jump Teleport In AB	Fleetwide Jump Teleport In AB
Fleetwide Jump Teleport Out AB	Fleetwide Jump Teleport Out AB
FleetwideJumpTeleportOutABSet (Unnamed)	FleetwideJumpTeleportOutABSet (Unnamed)
FleetwideJumpTeleportOutTargetAB (Unnamed)	FleetwideJumpTeleportOutTargetAB (Unnamed)
Fleetwide Jump Teleport Set	Fleetwide Jump Teleport Set
FuelCellPickupUnitCUDelay	FuelCellPickupUnitCUDelay
FuelCellPickupUnitCUDelayDestroyer	FuelCellPickupUnitCUDelayDestroyer
FuelCellPickupUnitCUSet	FuelCellPickupUnitCUSet
FullHealCaster	FullHealCaster
Generate Creep Healing AB	Generate Creep Healing AB
Generate Creep Healing SE	Generate Creep Healing SE
GeyserBlockedByRocksAB	GeyserBlockedByRocksAB
GeyserBlockedByRocksSearch	GeyserBlockedByRocksSearch
GhostBlackOpsSpawnerCreateUnit	GhostBlackOpsSpawnerCreateUnit
GhostBlackOpsSpawnerCreateUnitFemale	GhostBlackOpsSpawnerCreateUnitFemale
GhostBlackOpsSpawnerSet	GhostBlackOpsSpawnerSet
Ghost_BlackOps Damage	Ghost_BlackOps Damage
Goliath Merc Veterancy Aura AB	Goliath Merc Veterancy Aura AB
Goliath Wreckage Abil	Goliath Wreckage Abil
Goliath Wreckage Set	Goliath Wreckage Set
Grant Biomass	Grant Biomass
GrantKillCreditDummy	GrantKillCreditDummy
Grapple Launch Caster Impact Damage	Grapple Launch Caster Impact Damage
Devastation Turret Slow	Devastation Turret Slow
HHBomberAreaBombDamageSwitch	HHBomberAreaBombDamageSwitch
HHMattUnitStatDown	HHMattUnitStatDown
HHMattUnitStatUp	HHMattUnitStatUp
HHMercStarportHangarLaunch	HHMercStarportHangarLaunch
HHMercStarportHangarLaunched	HHMercStarportHangarLaunched
HHMercStarportHangarRecall	HHMercStarportHangarRecall
HHMercStarportHangarReturn	HHMercStarportHangarReturn
HHMercStarportHangarShotInterceptor	HHMercStarportHangarShotInterceptor
HHRavenFakeWeapon	HHRavenFakeWeapon
HHRavenFakeWeaponSwitch	HHRavenFakeWeaponSwitch
HHStarportDeathDummy	HHStarportDeathDummy
HHVikingInstantMorphOrder	HHVikingInstantMorphOrder
HHVikingInstantMorphSet	HHVikingInstantMorphSet
Hatchery Larva Death KU	Hatchery Larva Death KU
Hatchery Larva Death Search	Hatchery Larva Death Search
Headbutt (Anim Persistent)	Headbutt (Anim Persistent)
Headbutt (Apply Stun)	Headbutt (Apply Stun)
Headbutt (Attack The Stank)	Headbutt (Attack The Stank)
Headbutt (Damage)	Headbutt (Damage)
Headbutt (Final Set)	Headbutt (Final Set)
Headbutt (Force)	Headbutt (Force)
Headbutt (Force Persistent)	Headbutt (Force Persistent)
Headbutt (Remove Stun)	Headbutt (Remove Stun)
Headbutt (Search Area)	Headbutt (Search Area)
Headbutt (Set)	Headbutt (Set)
Heal to Full Life	Heal to Full Life
Hellbat Wreckage Abil	Hellbat Wreckage Abil
Hellbat Wreckage Set	Hellbat Wreckage Set
HellionInfernalFlameThrowerSearchAC	HellionInfernalFlameThrowerSearchAC
Hellion Wreckage Abil	Hellion Wreckage Abil
Hellion Wreckage Set	Hellion Wreckage Set
HotSHunterTimedLife	HotSHunterTimedLife
HotSRaptorNoLeaping	HotSRaptorNoLeaping
HunterAttackTarget	HunterAttackTarget
Hunter Launch Disable Target	Hunter Launch Disable Target
Claws (Damage)	Claws (Damage)
Hybrid Nuke Damage	Hybrid Nuke Damage
Hybrid Nuke Damage Small	Hybrid Nuke Damage Small
Hybrid Nuke Detonate	Hybrid Nuke Detonate
Hybrid Nuke Detonate Small	Hybrid Nuke Detonate Small
Hyperion Void Coop Damage Aura Search	Hyperion Void Coop Damage Aura Search
Hyperion Void Coop Damage Aura Target AB	Hyperion Void Coop Damage Aura Target AB
ImmortalTaldarimWeaponLMSmallTarget	ImmortalTaldarimWeaponLMSmallTarget
InfestedCivDisableJump	InfestedCivDisableJump
Infested Civilian Volatile Spawn	Infested Civilian Volatile Spawn
Infested Siege Tank Hunter Volatile Burst CU	Infested Siege Tank Hunter Volatile Burst CU
Infested Siege Tank Hunter Volatile Burst Creation Set	Infested Siege Tank Hunter Volatile Burst Creation Set
Infested Siege Tank Hunter Volatile Burst Land	Infested Siege Tank Hunter Volatile Burst Land
Infested Siege Tank Hunter Volatile Burst Launch Missile	Infested Siege Tank Hunter Volatile Burst Launch Missile
InfestedSiegeTankImpalerTentacleLM	InfestedSiegeTankImpalerTentacleLM
InfestedSiegeTankImpalerTentacleU	InfestedSiegeTankImpalerTentacleU
Infested Siege Tank Pause Secondary	Infested Siege Tank Pause Secondary
Infested Siege Tank Secondary Tentacle Search	Infested Siege Tank Secondary Tentacle Search
Infested Siege Tank Secondary Tentacle Set	Infested Siege Tank Secondary Tentacle Set
InfestedStukovCoopDevastatingShotAB	InfestedStukovCoopDevastatingShotAB
InfestedStukovCoopDevastatingShotDamage	InfestedStukovCoopDevastatingShotDamage
InfestedStukovCoopDevastatingShotSet	InfestedStukovCoopDevastatingShotSet
InfestedStukovCoopInfestedTerransInitialSet	InfestedStukovCoopInfestedTerransInitialSet
InfestedStukovCoopInfestedTerransLayEgg	InfestedStukovCoopInfestedTerransLayEgg
InfestedStukovCoopRegenAuraSearch	InfestedStukovCoopRegenAuraSearch
InfestedStukovCoopRegenAuraTarget	InfestedStukovCoopRegenAuraTarget
Instant Burrow Dehaka	Instant Burrow Dehaka
Instant Morph Dehaka	Instant Morph Dehaka
Instant Morph Self	Instant Morph Self
Instant Unburrow Dehaka	Instant Unburrow Dehaka
Invulnerable Temp	Invulnerable Temp
Item Knockback By2	Item Knockback By2
Item Knockback By2 Apply Behavior	Item Knockback By2 Apply Behavior
Item Knockback By2 Create PHSet	Item Knockback By2 Create PHSet
Item Knockback By2 Impact	Item Knockback By2 Impact
Item Knockback By2 Place Holder Launch Missile	Item Knockback By2 Place Holder Launch Missile
Item Knockback By2 Remove Behavior	Item Knockback By2 Remove Behavior
Item Knockback By3	Item Knockback By3
Item Knockback By3 Apply Behavior	Item Knockback By3 Apply Behavior
Item Knockback By3 Create PHSet	Item Knockback By3 Create PHSet
Item Knockback By3 Impact	Item Knockback By3 Impact
Item Knockback By3 Place Holder Launch Missile	Item Knockback By3 Place Holder Launch Missile
Item Knockback By3 Remove Behavior	Item Knockback By3 Remove Behavior
Kaboomer Acid (Damage)	Kaboomer Acid (Damage)
Karax Mapwide Chrono Behavior Swap	Karax Mapwide Chrono Behavior Swap
KaraxRepairBeamLimit	KaraxWiązkaNaprawczaLimit
Karax Void Coop SOA Energy Recharge Caster MU	Karax Void Coop SOA Energy Recharge Caster MU
Karax Void Coop SOA Energy Recharge Dummy Set	Karax Void Coop SOA Energy Recharge Dummy Set
Karax Void Coop SOA Energy Recharge Set	Karax Void Coop SOA Energy Recharge Set
Karax Void Coop SOA Energy Recharge Target AB	Karax Void Coop SOA Energy Recharge Target AB
Kerrigan Assimilation AB	Kerrigan Assimilation AB
Kerrigan Assimilation Initial Shield Reset	Kerrigan Assimilation Initial Shield Reset
Kerrigan Assimilation Shield AB	Kerrigan Assimilation Shield AB
Kerrigan Assimilation Update	Kerrigan Assimilation Update
Kerrigan Maelstrom AB	Kerrigan Maelstrom AB
Kerrigan Maelstrom Damage	Kerrigan Maelstrom Damage
Kerrigan Maelstrom Initial Set	Kerrigan Maelstrom Initial Set
Kerrigan Maelstrom Search	Kerrigan Maelstrom Search
Kerrigan Maelstrom Set	Kerrigan Maelstrom Set
Immobilization Wave CP	Immobilization Wave CP
Immobilization Wave Delay CP	Immobilization Wave Delay CP
Immobilization Wave Dummy CP	Immobilization Wave Dummy CP
Immobilization Wave Search	Immobilization Wave Search
Immobilization Wave Set	Immobilization Wave Set
Kerrigan Void Coop Econ Drop AB	Kerrigan Void Coop Econ Drop AB
Kerrigan Void Coop Econ Drop CP	Kerrigan Void Coop Econ Drop CP
Kerrigan Void Coop Econ Drop Caster AB	Kerrigan Void Coop Econ Drop Caster AB
Kerrigan Void Coop Econ Drop Search	Kerrigan Void Coop Econ Drop Search
Kerrigan Void Coop Econ Drop Set	Kerrigan Void Coop Econ Drop Set
Kill Missile	Kill Missile
KillTargetNoCreditDeathBlast	KillTargetNoCreditDeathBlast
Laser Beam Coop Power Up AB	Laser Beam Coop Power Up AB
Laser Beam Coop Dummy Persistent	Laser Beam Coop Dummy Persistent
Laser Drill Tripod Coop Fake Damage	Laser Drill Tripod Coop Fake Damage
Laser Drill Tripod Coop Final Persistent	Laser Drill Tripod Coop Final Persistent
Laser Drill Tripod Coop Final Persistent End	Laser Drill Tripod Coop Final Persistent End
Laser Drill Tripod Coop Impact Set	Laser Drill Tripod Coop Impact Set
Laser Drill Tripod Coop Initial Damage	Laser Drill Tripod Coop Initial Damage
Laser Drill Tripod Coop Point Turret MU	Laser Drill Tripod Coop Point Turret MU
Laser Drill Tripod Coop Create Persistent	Laser Drill Tripod Coop Create Persistent
Laser Drill Tripod Coop Final Damage	Laser Drill Tripod Coop Final Damage
Laser Drill Tripod Overload10 Damage	Laser Drill Tripod Overload10 Damage
Laser Drill Tripod Overload10 Search Air	Laser Drill Tripod Overload10 Search Air
Laser Drill Tripod Overload10 Search Ground	Laser Drill Tripod Overload10 Search Ground
Laser Drill Tripod Overload1 Damage	Laser Drill Tripod Overload1 Damage
Laser Drill Tripod Overload1 Search Air	Laser Drill Tripod Overload1 Search Air
Laser Drill Tripod Overload1 Search Ground	Laser Drill Tripod Overload1 Search Ground
Laser Drill Tripod Overload2 Damage	Laser Drill Tripod Overload2 Damage
Laser Drill Tripod Overload2 Search Air	Laser Drill Tripod Overload2 Search Air
Laser Drill Tripod Overload2 Search Ground	Laser Drill Tripod Overload2 Search Ground
Laser Drill Tripod Overload3 Damage	Laser Drill Tripod Overload3 Damage
Laser Drill Tripod Overload3 Search Air	Laser Drill Tripod Overload3 Search Air
Laser Drill Tripod Overload3 Search Ground	Laser Drill Tripod Overload3 Search Ground
Laser Drill Tripod Overload4 Damage	Laser Drill Tripod Overload4 Damage
Laser Drill Tripod Overload4 Search Air	Laser Drill Tripod Overload4 Search Air
Laser Drill Tripod Overload4 Search Ground	Laser Drill Tripod Overload4 Search Ground
Laser Drill Tripod Overload5 Damage	Laser Drill Tripod Overload5 Damage
Laser Drill Tripod Overload5 Search Air	Laser Drill Tripod Overload5 Search Air
Laser Drill Tripod Overload5 Search Ground	Laser Drill Tripod Overload5 Search Ground
Laser Drill Tripod Overload6 Damage	Laser Drill Tripod Overload6 Damage
Laser Drill Tripod Overload6 Search Air	Laser Drill Tripod Overload6 Search Air
Laser Drill Tripod Overload6 Search Ground	Laser Drill Tripod Overload6 Search Ground
Laser Drill Tripod Overload7 Damage	Laser Drill Tripod Overload7 Damage
Laser Drill Tripod Overload7 Search Air	Laser Drill Tripod Overload7 Search Air
Laser Drill Tripod Overload7 Search Ground	Laser Drill Tripod Overload7 Search Ground
Laser Drill Tripod Overload8 Damage	Laser Drill Tripod Overload8 Damage
Laser Drill Tripod Overload8 Search Air	Laser Drill Tripod Overload8 Search Air
Laser Drill Tripod Overload8 Search Ground	Laser Drill Tripod Overload8 Search Ground
Laser Drill Tripod Overload9 Damage	Laser Drill Tripod Overload9 Damage
Laser Drill Tripod Overload9 Search Air	Laser Drill Tripod Overload9 Search Air
Laser Drill Tripod Overload9 Search Ground	Laser Drill Tripod Overload9 Search Ground
Laser Drill Tripod Overload Explode Set	Laser Drill Tripod Overload Explode Set
Laser Drill Tripod Overload Explode Switch Air	Laser Drill Tripod Overload Explode Switch Air
Laser Drill Tripod Overload Explode Switch Ground	Laser Drill Tripod Overload Explode Switch Ground
Lava Burst CP	Lava Burst CP
Lava Burst Damage	Lava Burst Damage
Lava Burst Initial	Lava Burst Initial
Lava Burst Search	Lava Burst Search
LavaDamageCoopApply	LavaDamageCoopApply
Leap (Apply Attacking Behavior)	Leap (Apply Attacking Behavior)
Leap (Apply Leaping Behavior)	Leap (Apply Leaping Behavior)
Leap (Apply Stun Behavior)	Leap (Apply Stun Behavior)
Leap (Attack Delay Persistent)	Leap (Attack Delay Persistent)
Leap (Attacking Behaviors Apply Set)	Leap (Attacking Behaviors Apply Set)
Leap (Attacking Behaviors Remove Set)	Leap (Attacking Behaviors Remove Set)
Leap (Attacking Persistent)	Leap (Attacking Persistent)
Leap (Damage)	Leap (Damage)
Leap Damage	Leap Damage
Leap Stun	Leap Stun
Leap (Impact Set)	Leap (Impact Set)
Leap (Issue Move Order)	Leap (Issue Move Order)
Leap (Leaping Persistent)	Leap (Leaping Persistent)
Leap (Morph To Flying Form)	Leap (Morph To Flying Form)
Leap (Morph To Normal Form)	Leap (Morph To Normal Form)
Leap (No Target Dummy)	Leap (No Target Dummy)
Leap (Pull Force)	Leap (Pull Force)
Leap (Remove Attacking Behavior)	Leap (Remove Attacking Behavior)
Leap (Remove Leaping Behavior)	Leap (Remove Leaping Behavior)
Leap (Remove Stun Behavior)	Leap (Remove Stun Behavior)
Leap (Search Area)	Leap (Search Area)
Leap (Switch)	Leap (Switch)
Lock On Additional Search	Lock On Additional Search
Lock On CP Upgraded	Lock On CP Upgraded
Locust MPIssue Order	Locust MPIssue Order
Mammoth Beam CP	Mammoth Beam CP
MammothBeamCooldown	MammothBeamCooldown
Mammoth Beam Damage	Mammoth Beam Damage
Mammoth Breath Create Persistent	Mammoth Breath Create Persistent
Mammoth Breath Damage	Mammoth Breath Damage
Mammoth Breath Destroy Persist	Mammoth Breath Destroy Persist
Mammoth Breath Launch	Mammoth Breath Launch
Mammoth Breath Search	Mammoth Breath Search
Mammoth Breath Set	Mammoth Breath Set
Mammoth Breath Start Offset	Mammoth Breath Start Offset
Mammoth Breath Start Set	Mammoth Breath Start Set
Mammoth Breath Target Offset	Mammoth Breath Target Offset
MammothRoarSearch	MammothRoarSearch
Marauder Merc Veterancy Aura AB	Marauder Merc Veterancy Aura AB
Marine Black Ops Spawner Create Unit	Marine Black Ops Spawner Create Unit
Marine Black Ops Spawner Set	Marine Black Ops Spawner Set
Marine Merc Veterancy Aura AB	Marine Merc Veterancy Aura AB
Marine Merc Veterancy Aura Search	Marine Merc Veterancy Aura Search
Marine Merc Veterancy Aura Target Bonus AB	Marine Merc Veterancy Aura Target Bonus AB
MarineSuperStim	MarineSuperStim
MasteryAbathurMendHealDurationDisplayDummy	MasteryAbathurMendHealDurationDisplayDummy
Toxic Nest Respawn	Toxic Nest Respawn
MasteryAlarakStructureOverchargeDamageDisplayDummy	MasteryAlarakStructureOverchargeDamageDisplayDummy
MasteryArtanisSoAPowerFieldHasteSearch	MasteryArtanisSoAPowerFieldHasteSearch
MasteryArtanisSoAPowerFieldHaste_Target	MasteryArtanisSoAPowerFieldHaste_Target
MasteryKerriganInstantReviveDisplayDummy	MasteryKerriganInstantReviveDisplayDummy
MasteryStukovInfestStructureCDRDisplayDummy	MasteryStukovInfestStructureCDRDisplayDummy
Medic Heal AC Search	Medic Heal AC Search
Medic Heal AC Switch	Medic Heal AC Switch
Medic Merc Veterancy Aura AB	Medic Merc Veterancy Aura AB
Merc Ground Drop Behavior Set	Merc Ground Drop Behavior Set
Fragmentation Grenade Damage	Fragmentation Grenade Damage
Launch Missile	Launch Missile
Mira Starport Attack Weapon Damage	Mira Starport Attack Weapon Damage
Mira Starport Attack Weapon Launch Missile Left	Mira Starport Attack Weapon Launch Missile Left
Mira Starport Attack Weapon Launch Missile Left Set	Mira Starport Attack Weapon Launch Missile Left Set
Mira Starport Attack Weapon Launch Missile Right	Mira Starport Attack Weapon Launch Missile Right
Mira Starport Attack Weapon Launch Missile Right Set	Mira Starport Attack Weapon Launch Missile Right Set
Mira Starport Attack Weapon Launch Missile Switch	Mira Starport Attack Weapon Launch Missile Switch
Mira Starport Weapon Launch Missile Alternate AB	Mira Starport Weapon Launch Missile Alternate AB
Mira Starport Weapon Launch Missile Alternate RB	Mira Starport Weapon Launch Missile Alternate RB
Void Ray (Damage Set 1)	Void Ray (Damage Set 1)
MonitorFakeWeaponOrderDummy	MonitorFakeWeaponOrderDummy
MonitorFakeWeaponSwitch	MonitorFakeWeaponSwitch
MorphRoachToRavagerAutoCastCheck	MorphRoachToRavagerAutoCastCheck
Mutator Nuke Damage	Mutator Nuke Damage
Mutator Nuke Detonate	Mutator Nuke Detonate
Mutator Amon Invis Power Source CP	Mutator Amon Invis Power Source CP
Mutator Amon Invis Power Source CU	Mutator Amon Invis Power Source CU
Mutator Amon Invis Power Source Teleport	Mutator Amon Invis Power Source Teleport
Mutator Amon Master Phase-smith Attack AB	Mutator Amon Master Phase-smith Attack AB
Mutator Amon Master Phase-smith Production AB	Mutator Amon Master Phase-smith Production AB
Mutator Amon Master Phase-smith Search	Mutator Amon Master Phase-smith Search
Mutator Amon Master Phase-smith Set	Mutator Amon Master Phase-smith Set
MutatorAmonNovaNukeDamage	MutatorAmonNovaNukeDamage
MutatorAmonNovaNukeDetonate	MutatorAmonNovaNukeDetonate
MutatorAmonNovaNukeLaunchDummy	MutatorAmonNovaNukeLaunchDummy
MutatorAmonNovaNukeLaunchSearch	MutatorAmonNovaNukeLaunchSearch
MutatorAmonNovaNukePersistent	MutatorAmonNovaNukePersistent
MutatorAmonNovaWeaponImprovedCanisterRifleCloaked	MutatorAmonNovaWeaponImprovedCanisterRifleCloaked
MutatorAmonNovaWeaponImprovedCanisterRifleCloakedSwitch	MutatorAmonNovaWeaponImprovedCanisterRifleCloakedSwitch
MutatorAmonNovaWeaponImprovedCanisterRifleSnipe	MutatorAmonNovaWeaponImprovedCanisterRifleSnipe
MutatorAmonNovaWeaponImprovedCanisterRifleSnipeRefund	MutatorAmonNovaWeaponImprovedCanisterRifleSnipeRefund
MutatorAmonNovaWeaponImprovedCanisterRifleSnipeRefundAB	MutatorAmonNovaWeaponImprovedCanisterRifleSnipeRefundAB
MutatorAmonNovaWeaponImprovedCanisterRifleSnipeRefundCP	MutatorAmonNovaWeaponImprovedCanisterRifleSnipeRefundCP
MutatorAmonNovaWeaponImprovedCanisterRifleSnipeSet	MutatorAmonNovaWeaponImprovedCanisterRifleSnipeSet
MutatorAmonNovaWeaponImprovedCanisterRifleUncloaked	MutatorAmonNovaWeaponImprovedCanisterRifleUncloaked
Mutator Amon Phase Cannon	Mutator Amon Phase Cannon
Mutator Amon Phase Cannon Initial Stun	Mutator Amon Phase Cannon Initial Stun
Mutator Amon Phase Cannon Timed Life	Mutator Amon Phase Cannon Timed Life
MutatorAmonPrologueVoidArmorAB	MutatorAmonPrologueVoidArmorAB
MutatorAmonPrologueVoidArmorMiniboost	MutatorAmonPrologueVoidArmorMiniboost
MutatorAmonPrologueVoidArmorSearch	MutatorAmonPrologueVoidArmorSearch
MutatorAmonPrologueVoidArmorSet	MutatorAmonPrologueVoidArmorSet
MutatorAmonPrologueZeratul	MutatorAmonPrologueZeratul
Mutator Amon Reclamation AB	Mutator Amon Reclamation AB
Mutator Amon Reclamation MU	Mutator Amon Reclamation MU
Mutator Amon Reclamation Set	Mutator Amon Reclamation Set
Mutator Amon Servitor Strike Damage A	Mutator Amon Servitor Strike Damage A
Mutator Amon Servitor Strike Dummy	Mutator Amon Servitor Strike Dummy
MutatorAmonShadowBladeDamage	MutatorAmonShadowBladeDamage
MutatorAmonZeratulBlink	MutatorAmonZeratulBlink
Calldown Party MULE (Create Persistent)	Calldown Party MULE (Create Persistent)
Calldown Party MULE (Create Set)	Calldown Party MULE (Create Set)
Calldown Party MULE (Create Unit)	Calldown Party MULE (Create Unit)
Calldown Party MULE (Final Set)	Calldown Party MULE (Final Set)
Calldown Party MULE (Issue Order)	Calldown Party MULE (Issue Order)
Calldown Party MULE (Timed Life)	Calldown Party MULE (Timed Life)
Mutator Cloaked Mine Attack Impact Dummy	Mutator Cloaked Mine Attack Impact Dummy
Mutator Cloaked Mine Attack Set	Mutator Cloaked Mine Attack Set
Mutator Cloaked Mine Die	Mutator Cloaked Mine Die
Mutator Cloaked Mine Weapon Search	Mutator Cloaked Mine Weapon Search
Mutator Cloaked Mine Weapon Search Damage	Mutator Cloaked Mine Weapon Search Damage
Mutator Cloaked Mine Weapon Search Set	Mutator Cloaked Mine Weapon Search Set
MutatorDeathAOECP	MutatorDeathAOECP
MutatorDeathAOESearchDamage	MutatorDeathAOESearchDamage
Death Cannon Damage	Death Cannon Damage
Death Pull AB	Death Pull AB
Death Pull Force	Death Pull Force
Death Pull Persistent	Death Pull Persistent
Death Pull Search	Death Pull Search
Death Pull Set	Death Pull Set
Mutator Eye Beams Air Damage	Mutator Eye Beams Air Damage
Mutator Eye Beams Air Persistent	Mutator Eye Beams Air Persistent
Mutator Eye Beams Ground Forward Persistent	Mutator Eye Beams Ground Forward Persistent
Mutator Eye Beams Ground Line Damage	Mutator Eye Beams Ground Line Damage
Mutator Eye Beams Ground Line Damage Delay	Mutator Eye Beams Ground Line Damage Delay
Mutator Eye Beams Ground Line Search	Mutator Eye Beams Ground Line Search
Mutator Eye Beams Ground Line Search Reverse	Mutator Eye Beams Ground Line Search Reverse
Mutator Eye Beams Ground Reverse Persistent	Mutator Eye Beams Ground Reverse Persistent
Mutator Eye Beams Ground Set	Mutator Eye Beams Ground Set
Mutator Fireworks Damage	Mutator Fireworks Damage
Mutator Fireworks Death AOE CP	Mutator Fireworks Death AOE CP
Mutator Fireworks Death AOE Search Damage	Mutator Fireworks Death AOE Search Damage
Mutator Fireworks LM	Mutator Fireworks LM
Mutator Fireworks Missile CP	Mutator Fireworks Missile CP
Mutator Fireworks Search	Mutator Fireworks Search
Mutator Fireworks Target Search	Mutator Fireworks Target Search
Gift Healing AB	Gift Healing AB
Gift Healing Initial MU	Gift Healing Initial MU
Gift Healing Initial Healer	Gift Healing Initial Healer
Gift Healing Search	Gift Healing Search
Gift Healing Secondary Healer	Gift Healing Secondary Healer
Gift Healing Secondary MU	Gift Healing Secondary MU
Gift Healing Set	Gift Healing Set
Mutator Temporal Field Initial CP	Mutator Temporal Field Initial CP
Mutator Hardened Will AB	Mutator Hardened Will AB
Hunger Damage	Hunger Damage
Mutator Hybrid Immortal Cleave Damage	Mutator Hybrid Immortal Cleave Damage
Mutator Hybrid Immortal Cleave Search	Mutator Hybrid Immortal Cleave Search
Mutator Hybrid Immortal Damage	Mutator Hybrid Immortal Damage
Mutator Hybrid Immortal Set	Mutator Hybrid Immortal Set
Mutator - Immune to Player 1 Visual AB	Mutator - Immune to Player 1 Visual AB
Mutator - Immune to Player 1 Visual RB	Mutator - Immune to Player 1 Visual RB
Mutator - Immune to Player 2 Visual AB	Mutator - Immune to Player 2 Visual AB
Mutator - Immune to Player 2 Visual RB	Mutator - Immune to Player 2 Visual RB
MutatorInfestedTurkeyDisgustingSpewDamage	MutatorInfestedTurkeyDisgustingSpewDamage
MutatorInfestedTurkeyDisgustingSpewLM	MutatorInfestedTurkeyDisgustingSpewLM
MutatorInfestedTurkeyTerrifyingGobbleAB	MutatorInfestedTurkeyTerrifyingGobbleAB
MutatorInfestedTurkeyTerrifyingGobbleSE	MutatorInfestedTurkeyTerrifyingGobbleSE
Mutator Inspiration AB	Mutator Inspiration AB
Mutator Inspiration Search	Mutator Inspiration Search
Kill Cannon Damage	Kill Cannon Damage
Mutator Laser Drill CP	Mutator Laser Drill CP
Mutator Laser Drill Damage	Mutator Laser Drill Damage
Mutator Laser Drill Fake Damage	Mutator Laser Drill Fake Damage
Mutator Laser Drill Final CP	Mutator Laser Drill Final CP
Mutator Laser Drill Impact Set	Mutator Laser Drill Impact Set
Mutator Laser Drill Initial Damage	Mutator Laser Drill Initial Damage
Mutator Laser Drill Point Turret MU	Mutator Laser Drill Point Turret MU
MutatorLongRangeSightAB	MutatorLongRangeSightAB
Missile Nuke Damage	Missile Nuke Damage
Missile Nuke Launch	Missile Nuke Launch
Missile Nuke Set	Missile Nuke Set
Missile Point Defense Damage	Missile Point Defense Damage
Missile Point Defense Dummy	Missile Point Defense Dummy
Missile Point Defense Energy	Missile Point Defense Energy
Missile Point Defense Impact Damage	Missile Point Defense Impact Damage
Missile Point Defense Initial Set	Missile Point Defense Initial Set
Missile Point Defense Launch	Missile Point Defense Launch
Missile Point Defense Nuke Escort Launch	Missile Point Defense Nuke Escort Launch
Missile Point Defense Search	Missile Point Defense Search
Missile Point Defense Set	Missile Point Defense Set
Missile Splitter Child Impact Damage	Missile Splitter Child Impact Damage
Missile Splitter Child Launch	Missile Splitter Child Launch
Missile Splitter Death Set	Missile Splitter Death Set
Missile Splitter Impact Damage	Missile Splitter Impact Damage
Missile Splitter Launch	Missile Splitter Launch
Missile Standard Damage	Missile Standard Damage
Missile Standard Launch	Missile Standard Launch
MomentOfSilenceAB	MomentOfSilenceAB
MomentOfSilenceSearch	MomentOfSilenceSearch
Murder Cannon Damage	Murder Cannon Damage
Mutator Nuke Persistent	Mutator Nuke Persistent
OrbitalStrike	OrbitalStrike
OrbitalStrikeDamage	OrbitalStrikeDamage
OrbitalStrikeImpactSearch	OrbitalStrikeImpactSearch
Mutator Photon Overcharge Search	Mutator Photon Overcharge Search
Mutator Pickup Gas 50 Set	Mutator Pickup Gas 50 Set
MutatorPlagueBehavior	MutatorPlagueBehavior
MutatorPlagueBehaviorDPS	MutatorPlagueBehaviorDPS
Mutator Plague Behavior Revive RB	Mutator Plague Behavior Revive RB
MutatorPlagueCloudCP	MutatorPlagueCloudCP
MutatorPlagueCloudSearch	MutatorPlagueCloudSearch
Plague Death	Plague Death
Polarity Mimic	Polarity Mimic
Propagate Apply Behavior	Propagate Apply Behavior
Propagate Persistent	Propagate Persistent
Propagate Create Unit	Propagate Create Unit
Propagate Damage	Propagate Damage
Propagate Modify Clone	Propagate Modify Clone
PurifierBeamDamage	PurifierBeamDamage
MutatorRemoveWorkerSleep	MutatorRemoveWorkerSleep
TempDamageReflect	TempDamageReflect
Mutator Thermal Lances Fire Beam	Mutator Thermal Lances Fire Beam
Mutator Thermal Lances Fire Beam Damage	Mutator Thermal Lances Fire Beam Damage
Mutator Thermal Lances Fire Beam Initial CP	Mutator Thermal Lances Fire Beam Initial CP
Mutator Thermal Lances Fire Beam Large Damage	Mutator Thermal Lances Fire Beam Large Damage
