Amorphous Armorcloud	Blindagem Nebulosa Amorfa
Destroy the Extraction Device in order to free the captive Bel'shir Glider.	Destruir o Dispositivo de Extração para libertar o Planador de Bel'Shir cativo.
The Harvesting Bots must be protected as they gather terrazine and as they return to Stetmann's facility.	Os Robôs de Extração precisam ser protegidos enquanto coletam terrazino e ao retornam às instalações de Stetmann.
Stetmann has only a few Harvesting Bots on hand. If too many are destroyed, he won't be able to collect any more terrazine.	Stetmann tem apenas alguns Robôs de Extração. Se muitos robôs forem destruídos, não poderemos coletar mais terrazino.
The Archangel can transform into an air unit as well as repair itself. Only a concentrated attack can destroy it before it escapes.	O Arcanjo se transforma em um unidade aérea além de se consertar. Só um ataque concentrado pode destruí-lo antes que escape.
Void Thrashers are coming from the void. You must kill them all before they destroy Sgt. Hammer's Fortress.	Devastadores do Vazio estão vindo do vazio. Você precisa matá-los antes que eles destruam a Fortaleza da Sgto. Marreta.
Sgt. Hammer's Fortress is besieged by Void Thrashers. Kill the Void Thrashers before it is too late.	A Fortaleza da Sgto. Marreta está sitiada por Devastadores do Vazio. Mate os Devastadores do Vazio antes que seja tarde demais.
A Moebius Research Outpost is transmitting weapons data. Defeat their Construct and bring an Artifact Truck to the outpost to destroy it.	Um Posto Avançado de Pesquisa da Moebius está transmitindo dados de armamento. Derrote o Constructo e leve um Caminhão de Artefatos ao posto para destruí-lo.
Help Stone destroy all sections of the battle station before it comes online.	Ajude Stone a destruir todas as seções da estação de batalha antes que ela seja ativada.
Clear the Constructs blocking the Artifact Trucks' deploy location. Both players must escort their Trucks to the target site.	Elimine os Constructos que bloqueiam o destino dos Caminhões de Artefatos. Os dois jogadores devem escoltar seus Caminhões até o alvo.
Download the Purifier AIs from uncorrupted Data Cores to save them.	Baixe as I.A. dos Purificadores dos Núcleos de Dados corrompidos para salvá-los.
Defend Aurana's Transport as she purifies the Security Terminals.	Defender o Transporte de Aurana enquanto ela purifica os Terminais de Segurança.
Aurana is currently piloting the Purifier Transport. Do not let it be destroyed.	Aurana está pilotando o Transporte dos Purificadores. Não deixe que ele seja destruído.
Umojan mining technology is highly advanced. Recover it so that Reigel can adapt it for combat usage.	A tecnologia de mineração umojana é altamente avançada. Recupere-a para que Reigel possa adaptá-la para uso em combate.
Destroy the infestation blocking the mine entrance.	Destrua a infestação que está bloqueando a entrada da mina.
Blightbringer has killed many of the colony's miners. Exact vengeance if you can.	O Pestífero matou vários mineiros da colônia. Vingue-os se puder.
Umojan scientists were conducting research on this planet. Reigel could use their findings to develop new technology.	Cientistas umojanos estavam realizando pesquisas neste planeta. Reigel pode usar as descobertas deles para desenvolver novas tecnologias.
The Eradicators are malfunctioning and attacking everything in sight. They could be dangerous if they are not destroyed.	Os Erradicadores entraram em parafuso e estão atacando tudo pela frente. Eles podem ser perigosos se não forem destruídos.
The ships will attract the infested's attention as they spin up their engines. They must be protected until they take off.	As naves chamarão a atenção dos infestados quando acionarem seus motores. Elas precisam ser protegidas até decolarem.
If too many ships are destroyed, the colony's miners won't be able to evacuate.	Se muitas naves forem destruídas, os mineiros da colônia não conseguirão evacuar.
Escort the science vessels and protect them until they are done with their research.	Escolte as cosmonaves científicas e proteja-as até que terminem as pesquisas.
Destroy the shuttles before they escape.	Destrua os Ônibus Espaciais antes que eles escapem.
Shuttles may escape but don't let that happen too often.	Ônibus Espaciais podem escapar, mas não deixe isso acontecer com muita frequência.
Kimeran pirates are taking advantage of the chaos to loot the city. Destroy their ship before they can flee.	Piratas kimeranos estão se aproveitando do caos para saquear a cidade. Destrua as naves deles antes que consigam fugir.
Void Shards are coming from the Void. Destroy them before they destroy Augustgrad.	Fragmentos do Vazio estão vindo do Vazio. Destrua-os antes que eles destruam Augustogrado.
The Void Shards must not activate. Destroy them before the timer runs out.	Os Fragmentos de Vazio não podem ser ativados. Destrua-os antes que acabe o tempo.
The Virophage can only be attacked at night. It may take several nights to destroy it.	O Virófago só pode ser atacado à noite. Você pode levar várias noites para destruí-lo.
Enough of the structures must be destroyed each day, or the infestation will be impossible to contain.	É preciso destruir um número suficiente de estruturas todos os dias, senão será impossível conter a infestação.
The Moebius Foundation is trying to extract key research from this facility. Destroy their trains to stop them.	A Fundação Moebius está tentando tirar pesquisas importantes desta instalação. Destrua os trens deles para impedi-los.
The Balius can crack open the Moebius Hybrid Cells. Destroy the creatures that emerge.	O Balius pode arrebentar as Celas de Híbridos Moebius. Destrua as criaturas que saírem.
Help General Davis stop the Moebius Hybrid before they are complete.	Ajude a General Davis a deter os Híbridos Moebius antes que eles sejam finalizados.
Acquire parts to repair the Balius for General Davis.	Obtenha peças para consertar o Balius para a General Davis.
The Zenith Stones are highly unstable and are defended by the enemy. Make sure to engage them with a large enough force.	Os Obeliscos do Zênite são altamente instáveis e são protegidos pelo inimigo. Leve uma força grande o suficiente para enfrentá-lo.
Amon's forces will descend upon the Temple from all four lanes. Build defenses and hold out against them.	As forças de Amon atacarão o Templo por todas as quatro trilhas. Construa defesas e resista.
Destroying the enemy Scramblers will reward additional XP.	Destruir Embaralhadores inimigos concederão recompensa de EXP adicional.
Enemy forces have taken over Sky Guard and are trying to crash it into the surface. Reclaim the Sky Guard stabilizers.	Forças inimigas tomaram o Vigia Celeste e tentam derrubá-lo na superfície. Reconquiste os estabilizadores do Vigia Celeste.
If the Platform Stabilizer is destroyed the platform will crash into the planet below.	Se o Estabilizador de Plataforma for destruído, a plataforma cairá no planeta abaixo.
The elementals of Slayn are distracting Ji'nara. Kill them so she can concentrate on the rite.	Os elementais de Slayn estão distraindo Ji'nara. Mate-os para que ela possa se concentrar no rito.
Position your forces near Ji'nara to give her the support she needs to overpower Amon's champion.	Posicione suas forças perto de Ji'nara para dar a ela o apoio necessário para sobrepujar o campeão de Amon.
If Ji'nara is pushed back into the pit, she will die and Amon will be poised to usurp the Tal'darim from Alarak.	Se Ji'nara for empurrada para o poço, ela morrerá e Amon poderá usurpar os Tal'darim de Alarak.
The Trains on the bottom track move faster than the others. They must be destroyed quickly.	Os trens do trilho de baixo são mais velozes que os outros. Precisam ser destruídos rapidamente.
Moebius Corps is using these Trains to ship their unknown cargo. They must be destroyed.	A Fundação Moebius está usando trens para transportar cargas secretas. Eles precisam ser destruídos.
The trains follow a track. Intercept them with your forces and prevent them from leaving the battlefield.	Os trens seguem um trilho. Intercepte-os com suas forças e não deixe que saiam do campo de batalha.
Amon has corrupted a Xel'Naga Construct. Destroy it if you can.	Amon corrompeu um constructo xel'naga. Destruam-no, se puderem.
Celestial Locks can be activated only when units from both players' armies are nearby.	As Travas Celestiais só podem ser ativadas quando unidades dos exércitos dos dois jogadores estiverem por perto.
Amon is attempting to overload the Celestial Locks. Each lock held by the enemy speeds up the overloading process.	Amon está tentando sobrecarregar as Travas Celestiais. Cada trava acelera o processo de sobrecarga!
Molten Salamanders pose a significant threat to Veridia Prime's citizens. Eliminate this one if you can.	As Salamandras Incandescentes representam uma grande ameaça para os habitantes de Veridia Prime. Tente eliminar essa.
Xenon Crystals appear after each lava surge. Send your workers to collect them so that the Environmental Stabilizer can be restored.	Os Cristais de Xenônio aparecem após cada jorro de lava. Mande seus trabalhadores coletá-los para que o Estabilizador Ambiental possa ser restaurado.
The Environmental Stabilizer must be restored in time. Collect enough Xenon Crystals before the timer runs out.	O Estabilizador Ambiental tem que ser restaurado a tempo. Colete Cristais de Xenônio suficientes antes que o tempo acabe.
Escort Evacuation Ship	Escolte a Nave de Fuga
Destroy Void Slivers	Destrua as Lascas do Vazio
Do Not Let the Voidshade Hybrid Awaken	Não deixe o Vulto do Vazio Híbrido despertar
Destroy the Extraction Device	Destruir o Dispositivo de Extração
Escort Harvesting Bots	Escolte os Robôs de Extração
Do Not Let ~GOAL~ Bots Be Destroyed	Impeça a destruição de ~GOAL~ robôs
Destroy the Archangel	Destruir o Arcanjo
Kill the Void Thrashers	Mate os Devastadores do Vazio
Sgt. Hammer's Fortress Must Survive	A Fortaleza da Sgto. Marreta precisa sobreviver
Escort Artifact Truck to Moebius Research Outpost	Escolte o Caminhão de Artefatos até o Posto Avançado de Pesquisa da Moebius
Don't Let Battle Station Come Online	Não deixe a estação de batalha ser ativada
Escort Artifact Trucks to Hybrid Facility	Escolte os Caminhões de Artefatos até a Instalação de Híbridos
Escort Artifact Trucks to Xenon Reactor	Escolte os Caminhões de Artefatos até o Reator Xenon
Escort Artifact Trucks to Resource Stockpile	Escolte os Caminhões de Artefatos até o Estoque de Recursos
Escort Artifact Trucks to Vespene Refinery	Escolte os Caminhões de Artefatos até a Refinaria de Vespeno
Escort Artifact Trucks to Terrazine Extractors	Escolte os Caminhões de Artefatos até os Extratores de Terrazino
Download AI Backups	Baixar Backups de I.A.
Purify ~GOAL~ Security Terminals	Purificar ~GOAL~ Terminais de Segurança
Do Not Let Aurana's Transport Be Destroyed	Não deixar o transporte de Aurana ser destruído
AC_DefaultObjective	AC_DefaultObjective
Explore Umojan Mine	Explorar a mina umojana
Destroy the Pustule	Destruir a Pústula
Kill the Blightbringer	Mate o Pestífero
Explore Science Facility	Explorar as instalações científicas
Destroy the Eradicators	Destruir os Erradicadores
Protect Colony Ships while they take off	Proteja as Naves-colônia enquanto elas decolam
Do Not Allow ~GOAL~ Ships To Be Destroyed	Não permita que ~GOAL~ Naves sejam destruídas
Escort Scientists to Xel'Naga Shrines	Escoltar os Cientistas aos Santuários Xel'Naga
Destroy Shuttles	Destrua os Ônibus Espaciais
Do Not Allow ~GOAL~ Shuttles to Escape	Não permita que ~GOAL~ Ônibus Espaciais escapem
Destroy the Pirate Ship	Destruir a Nave Pirata
Destroy All Void Shards	Destruir todos os Fragmentos do Vazio
Do Not Allow a Void Shard to Activate	Não permita a ativação do Fragmento do Vazio
Destroy the Virophage	Destruir o Virófago
Destroy all Infested Structures	Destruir todas as Estruturas Infestadas
Destroy the Trains	Destruir os Trens
Kill Moebius Hybrid	Mate os Híbridos Moebius
Stop the Moebius Hybrid Project	Impeça o Projeto dos Híbridos Moebius.
Gather Balius Parts to delay Hybrid	Colete Peças do Balius para atrasar o Híbrido
Destroy the Zenith Stones	Destrua o Obelisco do Zênite
Defend the Temple	Defender o Templo
Don't Let Sky Guard crash into Korhal	Não deixe o Vigia Celeste cair em Korhal
Destroy Scramblers	Destrua os Embaralhadores
Secure Sky Guard Stabilizers	Reconquiste os Estabilizadores do Vigia Celeste
Warp Drive Must Survive	O Motor de Dobra tem que sobreviver
Primary Kernel Must Survive	O Kernel Principal tem que sobreviver
Core Matrix Must Survive	A Matriz do Núcleo tem que sobreviver
Orbital Defenses online in	Defesas orbitais online em
Kill Slayn Elemental	Mate o Elemental de Slayn
Push Amon's Champion into the Pit	Empurre o Campeão de Amon no Fosso
Ji'nara Must Not Be Defeated	Ji'nara não pode ser derrotada
Destroy FastTrains on the Bottom Lane	Destruir Trens Rápidos da Trilha Inferior
Destroy Moebius Corps Trains	Destrua os Trens da Fundação Moebius
Do Not Allow ~GOAL~ Trains to Escape	Não permita que ~GOAL~ trens escapem
Destroy the Xel'Naga Construct	Destruir o Constructo Xel'Naga
Activate Celestial Locks	Ative as Travas Celestiais
Prevent Lock Overload	Impedir a Sobrecarga das Travas
Kill the Molten Salamander	Matar a Salamandra Incandescente
Collect Xenon Crystals	Colete Cristais de Xenônio
Do Not Allow Planet to Explode	Não permita que o planeta exploda
CHorner04Primary01	CHorner04Primary01
CHorner04Primary02	CHorner04Primary02
CHorner04Primary03	CHorner04Primary03
Primary Objective	Objetivo principal
Bonus Objective	Objetivo bônus
<c val="FF9800">Fenix has died. He will be revived at the Nexus in ~A~ seconds.</c>	<c val="FF9800">Fenix morreu. Ele ressuscitará no Nexus em ~A~ segundos.</c>
<s val="@@UnitInfoSubTipDetail">~A~</s>	<s val="@@UnitInfoSubTipDetail">~A~</s>
<ignore s="strip" c="strip">~A~</ignore>	<ignore s="strip" c="strip">~A~</ignore>
<c val="FF9800">Your hero has died.</c>	<c val="FF9800">Seu herói morreu.</c>
<c val="FF9800">Zagara has died. She will be revived at the Hatchery in ~Duration~ seconds.</c>	<c val="FF9800">Zagara morreu. Ela ressuscitará na Incubadora em ~Duration~ segundos.</c>
SetScale ~A~ 0.1	SetScale ~A~ 0.1
Spawning starting stuff for ~A~	Gerando as paradas iniciais de ~A~
~Rank~ ~NameVar~	~Rank~ ~NameVar~
~Time~ - ~Unit~/~Count~(~expected~)	~Time~ - ~Unit~/~Count~(~expected~)
<c val="ff0000">~A~	<c val="ff0000">~A~
<s val="@@UnitInfoTip">~A~</s>	<s val="@@UnitInfoTip">~A~</s>
~A~~B~	~A~~B~
<c val="FF9800">Zeratul has died. He will be revived at the Nexus in ~Duration~ seconds.</c>	<c val="FF9800">Zeratul morreu. Ele ressuscitará no Nexus em ~Duration~ s.</c>
<s val="~Style~">~A~</s>	<s val="~Style~">~A~</s>
<s val="~A~">+~B~	<s val="~A~">+~B~
~TIMe~ Player ~A~ suspects detection danger	~TIMe~ Jogador ~A~ suspeita de perigo de detecção
<c val="FF9800">Gary has died. He will be "revived" at his room in ~Duration~ seconds.</c>	<c val="FF9800">Gary morreu. Ele "ressuscitará" na sala dele em ~Duration~ s.</c>
Valid Point Count ~A~	Contagem de pontos válida ~A~
<c val="87ceeb">NEW TECH AVAILABLE</c><n/>~A~	<c val="87ceeb">NOVA TECNOLOGIA DISPONÍVEL</c><n/>~A~
SetScale ~A~	SetScale ~A~
<s val="~A~">~SIGN~~B~	<s val="~A~">~SIGN~~B~
~Name~	~Name~
Signal Start~UpgradeName~	Início do Sinal~UpgradeName~
P~Player~/W~Wave~/~State~	J~Player~/O~Wave~/~State~
Signal Stop~UpgradeName~	Final do Sinal~UpgradeName~
<s val="@@UnitInfoSubTip">~A~</s>	<s val="@@UnitInfoSubTip">~A~</s>
<c val="FF9800">Your hero has revived.</c>	<c val="FF9800">Seu herói ressuscitou.</c>
~Rank~ ~NameVar~<n/>Kills: <c val="FFFFFF">~Kills~</c>	~Rank~ ~NameVar~<n/>Mortes: <c val="FFFFFF">~Kills~</c>
Unit ~A~ does not have biomass	Unidade ~A~ não tem biomassa
Abandoning Brutal+ difficulty. Both players must be on Brutal difficulty and player 1 must have a Brutal+ difficulty within a range of [1, ~A~].	Abandonando a dificuldade Brutal+. Os dois jogadores devem estar na dificuldade Brutal e o jogador 1 deve ter a dificuldade Brutal+ em um intervalo de [1, ~A~].
~A~ ~B~	~A~ ~B~
Updated - Base~Base~ Random~random~	Atualizado - Base~Base~ Aleatório~random~
<c val="32cd32">TIP</c> -- ~A~.	<c val="32cd32">DICA</c> -- ~A~.
Found mutator in index ~A~, setting mutator: ~B~	Mutador encontrado no índice ~A~, definindo mutador: ~B~
Biomass collected: ~A~<n/>Biomass dropped from enemies: ~B~<n/>Biomass lost: ~C~<n/>Biomass refunded: ~D~<n/>	Biomassa coletada: ~A~<n/>Biomassa largada por inimigos: ~B~<n/>Biomassa perdida: ~C~<n/>Biomassa devolvida: ~D~<n/>
P1 Brutal+ Difficulty: ~A~ (~B~)	Dificuldade Brutal+ do J1: ~A~ (~B~)
P~B~ Brutal difficulty check: ~A~	Verificação de dificuldade Brutal do J~B~: ~A~
<c val="FF9800">Kerrigan has died. She will be revived at the Hatchery in ~Duration~ seconds.</c>	<c val="FF9800">Kerrigan morreu. Ela ressuscitará na Incubadora em ~Duration~ segundos.</c>
~A~</s><IMG path="Assets\Textures\icon-gas-zerg.dds" height="20" width="20"/>	~A~</s><IMG path="Assets\Textures\icon-gas-zerg.dds" height="20" width="20"/>
Setting Brutal+ level: ~A~	Definindo nível Brutal+: ~A~
No starting location for player ~A~, bailing on starting unit creation.	Nenhum ponto inicial para jogador ~A~, cancelando criação de unidade inicial.
Achievement "~A~" unlocked (~B~)<n/>~C~	Conquista "~A~" destravada (~B~)<n/>~C~
~A~ (1)	~A~ (1)
<s val="Kicker_Minerals">~Minerals~<img path="Assets\Textures\icon-mineral.dds" height="28" width="28"/><s val="Kicker_Gas">~Vespene~<img path="Assets\Textures\icon-gas.dds" height="28" width="28"/>	<s val="Kicker_Minerals">~Minerals~<img path="Assets\Textures\icon-mineral.dds" height="28" width="28"/><s val="Kicker_Gas">~Vespene~<img path="Assets\Textures\icon-gas.dds" height="28" width="28"/>
Biomass (~Stack~)<n/>Collect to increase unit's power	Biomassa (~Stack~)<n/>Colete para aumentar o poder da unidade
<c val="ffcc00">MISSION FAILED</c><n/>~A~	<c val="ffcc00">MISSÃO FALHOU</c><n/>~A~
<c val="87ceeb">NEW UNIT ACQUIRED</c><n/>~A~	<c val="87ceeb">NOVA UNIDADE ADQUIRIDA</c><n/>~A~
<c val="ccff00">MISSION SUCCESS</c><n/>~A~	<c val="ccff00">MISSÃO CUMPRIDA</c><n/>~A~
~Time~ Cloaked Attacker for Player ~A~	~Time~ Atacante camuflado para jogador ~A~
<s val="Kicker_Minerals">~Minerals~<img path="Assets\Textures\icon-mineral.dds" height="28" width="28"/>	<s val="Kicker_Minerals">~Minerals~<img path="Assets\Textures\icon-mineral.dds" height="28" width="28"/>
<c val="87ceeb">NEW UNIT AVAILABLE</c><n/>~A~	<c val="87ceeb">NOVA UNIDADE DISPONÍVEL</c><n/>~A~
Debug: Searching for override pack: ~A~	Depuração: Procurando pacote de substituição: ~A~
<ignore s="strip" c="strip">~A~	<ignore s="strip" c="strip">~A~
~A~<n/>~B~	~A~<n/>~B~
<c val="ffcc00">SECRET FOUND</c><n/>~A~	<c val="ffcc00">SEGREDO ENCONTRADO</c><n/>~A~
Unit ~A~ has biomass (~B~ + ~C~ + ~D~)	Unidade ~A~ tem biomassa (~B~ + ~C~ + ~D~)
<c val="FF9800">Alarak has died. He will be revived at the Nexus in ~Duration~ seconds.</c>	<c val="FF9800">Alarak morreu. Ele ressuscitará no Nexus em ~Duration~ segundos.</c>
Checking P1 Retry Mutator Index 1: ~A~	Verificando nova tentativa do mutador do J1 no índice 1: ~A~
~A~</s><IMG path="Assets\Textures\icon-mineral-zerg.dds" height="20" width="20"/>	~A~</s><IMG path="Assets\Textures\icon-mineral-zerg.dds" height="20" width="20"/>
Essence (~Stack~)<n/>Collect to increase Dehaka's power and restore life	Essência (~Stack~)<n/>Colete para aumentar o poder de Dehaka e recuperar vida
~tIME~ Player ~A~ saw a cloaked unit	~tIME~ Jogador ~A~ viu uma unidade camuflada
<c val="87ceeb">NEW STRUCTURE AVAILABLE</c><n/>~A~	<c val="87ceeb">NOVA ESTRUTURA DISPONÍVEL</c><n/>~A~
~A~</ignore>	~A~</ignore>
Debug: Active voice pack: ~A~	Depuração: Ativar pacote de voz: ~A~
Essence collected: ~A~<n/>Essence dropped from enemies: ~B~<n/>Essence lost: ~C~<n/>Essence refunded: ~D~<n/>	Essência coletada: ~A~<n/>Essência largada por inimigos: ~B~<n/>Essência perdida: ~C~<n/>Essência reembolsada: ~D~<n/>
<c val="FF9800">Dehaka has died. He will be revived at his den in ~Duration~ seconds.  You can also feed him drones to revive faster</c>	<c val="FF9800">Dehaka morreu. Ele ressuscitará no seu Covil em ~Duration~ s. Você também pode alimentá-lo com zangões para que ele ressuscite mais rápido</c>
~A~</s><IMG path="~B~" height="24" width="24"/>	~A~</s><IMG path="~B~" height="24" width="24"/>
<c val="FF9800">Nova has died. She will be revived at the Command Center in ~Duration~ seconds. You can instantly revive Nova by using Instant Regeneration from the top bar.</c>	<c val="FF9800">Nova morreu. Ela ressuscitará na Central de Comando em ~Duration~ segundos. Você pode ressuscitar Nova instantaneamente usando a Regeneração Instantânea da barra superior.</c>
Adding Nova to Player ~A~ cloak danger list	Adicionando Nova à lista de perigos camuflados de jogador ~A~
Candy Bowl	Tigela de Doces
~A~-~B~	~A~-~B~
<s val="ModCenterSize32Bold">~A~</s>	<s val="ModCenterSize32Bold">~A~</s>
~A~-?	~A~-?
<s val="ModCenterSize32Bold"><c val="ff0000">~A~</c></s>	<s val="ModCenterSize32Bold"><c val="ff0000">~A~</c></s>
New Mutator: ~A~	Novo Mutador: ~A~
Zealot Failed  ~A~	Fanáticus falhou ~A~
~A~</c></s>	~A~</c></s>
~A~</c><c val="ff0000">	~A~</c><c val="ff0000">
Zealot Spawned  ~A~	Fanáticus Gerado ~A~
Cost: ~A~/~B~	Custo: ~A~/~B~
<s val="ModCenterSize32Bold"><c val="ffff00">~A~</c></s>	<s val="ModCenterSize32Bold"><c val="ffff00">~A~</c></s>
<s val="ModCenterSize32Bold"><c val="00ff00">~A~	<s val="ModCenterSize32Bold"><c val="00ff00">~A~
YOUR GIFT:<n/>~UNIT~ BECOMES AN AVENGER!	SEU PRESENTE:<n/>~UNIT~ TORNA-SE UM VINGADOR!
Applying tech for player ~A~	Aplicando a tecnologia no jogador ~A~
P~A~ Index ~B~ has points ~C~	P~A~ Índice ~B~ tem pontos ~C~
Ability command ~A~ ~B~	Comando de habilidade ~A~ ~B~
~A~,~B~	~A~,~B~
Perk ~A~ applied	Vantagem ~A~ aplicada
Perk ~A~ state set to ~B~ (~C~)	Estado da vantagem ~A~ configurado para ~B~ (~C~)
ERROR: Attempting to enable units for non-human player (~A~)	ERRO: tentando ativar unidades para jogador não humano (~A~)
XP multiplier changed to ~A~	Multiplicador de EXP alterado para ~A~
No bank data found for player ~A~, setting to default	Nenhum dado de banco encontrado para jogar ~A~, mudando para padrão
<s val="@@StandardTooltipHeader">~NAME~</s><n/><s val="@@StandardTooltip">~DESCRIPTION~</s>	<s val="@@StandardTooltipHeader">~NAME~</s><n/><s val="@@StandardTooltip">~DESCRIPTION~</s>
Techspam ~A~	Spam Tecnológico ~A~
Setting prestige index ~A~ for player ~B~	Definindo prestígio do jogador ~B~ em ~A~
Upgrade ~A~ ~B~	Aprimorar ~A~ ~B~
Too many score values reported, cannot track ~A~	Muitos valores de pontuação informados, impossível rastrear ~A~
Bank version for player ~A~ out of date (~B~ vs ~C~), setting to default	Versão de banco do jogador ~A~ desatualizada (~B~ contra ~C~), mudando para padrão
~A~: ~B~	~A~: ~B~
Techsuperspam ~A~	Superspam tecnológico ~A~
Applying prestige ~A~ to player ~B~	Concedendo prestígio ~A~ ao jogador ~B~
BNet says player ~A~ (~B~) picked commander ~C~	Bnet determinou que o jogador ~A~ (~B~) escolheu o comandante ~C~
Trying to set ~A~ to ~B~ but total score is too high: ~C~	Tentando definir ~A~ para ~B~, mas o placar total é muito alto: ~C~
Setting score value ~A~ to ~B~ for player ~C~	Determinando valor de pontuação ~A~ a ~B~ para jogador ~C~
<s val="@@StandardTooltipHeaderSub">~A~</s><n/><s val="@@StandardTooltipHeader">~B~</s><s val="StandardTooltipHalfSize"><n/><n/></s><s val="@@StandardTooltip">~C~</s>	<s val="@@StandardTooltipHeaderSub">~A~</s><n/><s val="@@StandardTooltipHeader">~B~</s><s val="StandardTooltipHalfSize"><n/><n/></s><s val="@@StandardTooltip">~C~</s>
MASTERY LEVEL <h>~A~</h>	NÍVEL MAESTRIA <h>~A~</h>
Equipment for type ~A~: ~B~	Equipamento para o tipo ~A~: ~B~
~CurrentEnergy~/~MaxEnergy~	~CurrentEnergy~/~MaxEnergy~
~A~<n/><c val="ff0000">You and your ally must choose different commanders.</c>	~A~<n/><c val="ff0000">Você e seu aliado precisam escolher comandantes diferentes.</c>
~STDTOOLTIP~<c val="FFFF8A">Mastery:</c> Starting and maximum energy increased by <c val="FFFF8A">~ENERGY~</c>.	~STDTOOLTIP~<c val="FFFF8A">Maestria:</c> Energia inicial e máxima aumentada em <c val="FFFF8A">~ENERGY~</c>.
~A~<n/><n/>Can be selected multiple times.	~A~<n/><n/>Pode ser selecionado múltiplas vezes.
<s val="Coop_Prestige_Tooltip_Title">~A~</s><n/><s val="Coop_Prestige_Tooltip_Subtitle">~B~</s><n/><n/><s val="@@@StandardTooltip">~C~</s>	<s val="Coop_Prestige_Tooltip_Title">~A~</s><n/><s val="Coop_Prestige_Tooltip_Subtitle">~B~</s><n/><n/><s val="@@@StandardTooltip">~C~</s>
~A~/~B~	~A~/~B~
WARNING: Mastery ~A~ not found in commander	AVISO: Maestria ~A~ não encontrada no comandante
<c val="[d Player='~ID~' GameValue='PlayerColor'/]">~PLAYER~</c>: <c val="FFFF8A">~MUTATOR~</c>	<c val="[d Player='~ID~' GameValue='PlayerColor'/]">~PLAYER~</c>: <c val="FFFF8A">~MUTATOR~</c>
Set Wave Timer Window Icon Tooltip: Invalid slot ~A~ selected	Definir dica de tela da janela cronômetro de onda: espaço inválido ~A~ selecionado
The party leader has selected ~DIFFICULTY~ difficulty.  GLHF!	O líder da equipe selecionou a dificuldade ~DIFFICULTY~. Boa sorte e divirta-se!
~CurrentLife~/~MaxLife~	~CurrentLife~/~MaxLife~
<s val="@StandardTooltipHeader">~A~</s><n/><s val="@StandardTooltip">~B~<n/><n/>~C~</s>	<s val="@StandardTooltipHeader">~A~</s><n/><s val="@StandardTooltip">~B~<n/><n/>~C~</s>
~A~ mutators active	~A~ mutadores ativos
Set Wave Timer Window Icon: Invalid slot ~A~ selected	Definir janela cronômetro de onda: espaço inválido ~A~ selecionado
<s val="Coop_CustomMutator_MutatorSelectionTooltipTitle">~NAME~</s><n/>~DESC~	<s val="Coop_CustomMutator_MutatorSelectionTooltipTitle">~NAME~</s><n/>~DESC~
+~SCORE~	+~SCORE~
~A~	~A~
<c val="FF9800">Zeratul has been revived.</c>	<c val="FF9800">Zeratul ressuscitou.</c>
ded	ded
Placement unit not found, falling back to spawn point based on player start!	Colocação não encontrada, retornando ao ponto de geração baseado no início do jogador.
<s val="@@WorldTeachingTooltipHeader">Solar Forge</s><n/>Select to upgrade the Spear of Adun	<s val="@@WorldTeachingTooltipHeader">Usina Solar</s><n/>Selecione para aprimorar a Lança de Adun
5 Days	5 dias
Supply Count Invalid!	Contagem de suprimentos inválida!
Unit type with the most kills:	Tipo de unidade com mais mortes:
{Siege Tank} -- {Heavy tank. Long-range artillery in Siege Mode.}	{Tanque de Cerco} -- {Tanque pesado. Artilharia de longo alcance no Modo Agressivo.}
All of your structures have been destroyed.	Todas as suas estruturas foram destruídas.
Hellion (26 kills)	Endiabrado (26 mortes)
Biomass Hunter active	Caçador de Biomassa ativo
<c val="FF9800">Gary has died. You must mutate a Mecha Hatchery to "revive" him.</c>	<c val="FF9800">Gary morreu. É preciso transmutar uma Incubadora Mecanoide para "ressuscitá-lo".</c>
<c val="FF9800">Gary has been "revived" at his room.</c>	<c val="FF9800">Gary "ressuscitou" na sala dele.</c>
<c val="FF9800">Kerrigan has died. You must mutate a Hatchery to revive her.</c>	<c val="FF9800">Kerrigan morreu. É preciso transmutar uma Incubadora para ressuscitá-la.</c>
invalid wave data in Get_Retreat	dados de onda inválidos em Get_Retreat
<c val="FF9800">Kerrigan has been revived at your Hatchery.</c>	<c val="FF9800">Kerrigan foi ressuscitada em sua Incubadora.</c>
<c val="FF9800">Nova is ready for battle.</c>	<c val="FF9800">Nova está pronta para a batalha.</c>
TestA	TesteA
Zeratul Artifact Debug Mode engaged!	Modo de Depuração do Artefato de Zeratul ativado!
<c val="FF9800">Dehaka has been revived at your Hatchery.</c>	<c val="FF9800">Dehaka ressuscitou em sua Incubadora.</c>
{Starting Location}	{Local de Início}
Ambush	Emboscada
<c val="FF9800">Nova has been revived.</c>	<c val="FF9800">Nova ressuscitou.</c>
<c val="FF9800">Zeratul has died. You must warp in an Ancient Nexus to revive him.</c>	<c val="FF9800">Zeratul morreu. É preciso transdobrar um Nexus Ancestral para ressuscitá-lo.</c>
<c val="FF9800">Gary is ready for battle.</c>	<c val="FF9800">Gary está pronto para a batalha.</c>
[PH]	[PH]
Invalid difficulty parameter	Parâmetro de dificuldade inválido
Random Unit Type is invalid	Tipo de Unidade Aleatória é inválido
<c val="FF9800">Alarak has died. You must warp in a Nexus to revive him.</c>	<c val="FF9800">Alarak morreu. É preciso transdobrar um Nexus para ressuscitá-lo.</c>
