Amorphous Armorcloud	Protezione informe
SILiberatorCloud	SILiberatorCloud
SILiberatorSwarmFormDamageDirectAB	SILiberatorSwarmFormDamageDirectAB
SILiberatorSwarmFormDamageResistant	SILiberatorSwarmFormDamageResistant
SILiberatorSwarmFormDamageResistantRB	SILiberatorSwarmFormDamageResistantRB
SILiberatorSwarmFormFinalSet	SILiberatorSwarmFormFinalSet
SILiberatorSwarmFormFollowTarget	SILiberatorSwarmFormFollowTarget
SILiberatorSwarmFormInitialSet	SILiberatorSwarmFormInitialSet
SILiberatorSwarmFormPermanentAttackSet	SILiberatorSwarmFormPermanentAttackSet
SILiberatorSwarmFormPermanentCloseDistanceLM	SILiberatorSwarmFormPermanentCloseDistanceLM
SILiberatorSwarmFormPermanentDamagePrimary	SILiberatorSwarmFormPermanentDamagePrimary
SILiberatorSwarmFormPermanentDamagePrimarySet	SILiberatorSwarmFormPermanentDamagePrimarySet
SILiberatorSwarmFormPermanentDamageResistantAB	SILiberatorSwarmFormPermanentDamageResistantAB
SILiberatorSwarmFormPermanentDamageResistantRB	SILiberatorSwarmFormPermanentDamageResistantRB
SILiberatorSwarmFormPermanentDamageSearchAB	SILiberatorSwarmFormPermanentDamageSearchAB
SILiberatorSwarmFormPermanentDamageSplash	SILiberatorSwarmFormPermanentDamageSplash
SILiberatorSwarmFormPermanentDamageSplashSet	SILiberatorSwarmFormPermanentDamageSplashSet
SILiberatorSwarmFormPermanentDamageSwitch	SILiberatorSwarmFormPermanentDamageSwitch
SILiberatorSwarmFormPermanentDummyImpact	SILiberatorSwarmFormPermanentDummyImpact
SILiberatorSwarmFormPermanentDummySet	SILiberatorSwarmFormPermanentDummySet
SILiberatorSwarmFormPermanentFollowTargetAK	SILiberatorSwarmFormPermanentFollowTargetAK
SILiberatorSwarmFormPermanentImpactSet	SILiberatorSwarmFormPermanentImpactSet
SILiberatorSwarmFormPermanentLM	SILiberatorSwarmFormPermanentLM
SILiberatorSwarmFormPermanentSplashSearch	SILiberatorSwarmFormPermanentSplashSearch
SILiberatorSwarmFormPermanentTrackerAB	SILiberatorSwarmFormPermanentTrackerAB
SILiberatorSwarmFormReturnSetFacing	SILiberatorSwarmFormReturnSetFacing
SILiberatorSwarmFormStopFollow	SILiberatorSwarmFormStopFollow
SIStukovExplodeInfestedSwitch	SIStukovExplodeInfestedSwitch
SIStukovInfestStructureEnemyDisable	SIStukovInfestStructureEnemyDisable
SIStukovInfestStructureEnemyTarget	SIStukovInfestStructureEnemyTarget
SIStukovManaAuraReturnHalfMU	SIStukovManaAuraReturnHalfMU
SIStukovManaAuraReturnMU	SIStukovManaAuraReturnMU
SIStukovPlaceHordeRallyCP	SIStukovPlaceHordeRallyCP
SIVolatileInfested	SIVolatileInfested
SIWraithSnare	SIWraithSnare
SOABlind AB	SOABlind AB
SOABlind CP	SOABlind CP
SOABlind Iterate Transport	SOABlind Iterate Transport
SOABlind Search	SOABlind Search
SOABlind Set	SOABlind Set
SOABlind Structure AB	SOABlind Structure AB
SOABlind Structure Set	SOABlind Structure Set
SOABlind Switch	SOABlind Switch
SOAMap Wide Chrono AB	SOAMap Wide Chrono AB
SOAMap Wide Chrono Passive AB	SOAMap Wide Chrono Passive AB
SOAMap Wide Chrono Passive Search	SOAMap Wide Chrono Passive Search
SOAMapWideChronoPassiveTarget	SOAMapWideChronoPassiveTarget
SOAMap Wide Chrono Search	SOAMap Wide Chrono Search
SOAMothershipBlinkTeleportSearchMagazine	SOAMothershipBlinkTeleportSearchMagazine
SOAMothershipLineAttackAutoOnCheck	SOAMothershipLineAttackAutoOnCheck
SOAMothershipv4CreationSet	SOAMothershipv4CreationSet
SOAMothershipv4Select	SOAMothershipv4Select
SOAMothershipv4WarpAwaySet	SOAMothershipv4WarpAwaySet
SOA Orbital Strike Damage Set	SOA Orbital Strike Damage Set
SOAPurifier Beam Damage Set	SOAPurifier Beam Damage Set
SOAPylon Power Ally CU	SOAPylon Power Ally CU
SOAPylon Power Ally Create Persistent	SOAPylon Power Ally Create Persistent
SOAPylon Power Ally Destroy Persistent	SOAPylon Power Ally Destroy Persistent
SOAPylon Power Ally RU	SOAPylon Power Ally RU
SOAPylon Power Ally Search	SOAPylon Power Ally Search
SOAPylon Power Spawn Set	SOAPylon Power Spawn Set
SOARecall On Death Assign Rally Issue Order	SOARecall On Death Assign Rally Issue Order
SOARecall On Death Cast AB	SOARecall On Death Cast AB
SOARecall On Death Cast Search	SOARecall On Death Cast Search
SOARecall On Death Cast Set	SOARecall On Death Cast Set
SOARecall On Death Create Precursor	SOARecall On Death Create Precursor
SOARecall On Death Destroy Precusor	SOARecall On Death Destroy Precusor
SOARecall On Death Heal	SOARecall On Death Heal
SOARecall On Death Recalling AB	SOARecall On Death Recalling AB
SOARecall On Death Recalling Behavior Set	SOARecall On Death Recalling Behavior Set
SOARecall On Death Recently Recalled AB	SOARecall On Death Recently Recalled AB
SOARecall On Death Search	SOARecall On Death Search
SOARecall On Death Set	SOARecall On Death Set
SOARecall On Death Teleport	SOARecall On Death Teleport
SOARecall On Death Teleport Dummy CP	SOARecall On Death Teleport Dummy CP
SOARecall On Death Teleport Set	SOARecall On Death Teleport Set
SOASummon Colarion CU	SOASummon Colarion CU
SOASummon Fenix Active AB	SOASummon Fenix Active AB
SOASummon Fenix Active RB	SOASummon Fenix Active RB
SOASummon Fenix Arbiter Active AB	SOASummon Fenix Arbiter Active AB
SOASummon Fenix Arbiter Active RB	SOASummon Fenix Arbiter Active RB
SOASummon Fenix Arbiter CU	SOASummon Fenix Arbiter CU
SOASummon Fenix Arbiter Initial Set	SOASummon Fenix Arbiter Initial Set
SOASummon Fenix CU	SOASummon Fenix CU
SOASummon Fenix Dragoon Active AB	SOASummon Fenix Dragoon Active AB
SOASummon Fenix Dragoon Active RB	SOASummon Fenix Dragoon Active RB
SOASummon Fenix Dragoon CU	SOASummon Fenix Dragoon CU
SOASummon Fenix Dragoon Initial Set	SOASummon Fenix Dragoon Initial Set
SOASummon Fenix Hero Summon Caster Behavior Cleanup	SOASummon Fenix Hero Summon Caster Behavior Cleanup
SOASummon Fenix Hero Summon Cleanup Dummy	SOASummon Fenix Hero Summon Cleanup Dummy
SOASummon Fenix Initial Set	SOASummon Fenix Initial Set
SOASummon Fenix Spawn Set	SOASummon Fenix Spawn Set
SOASuper Chrono Map Wide Search	SOASuper Chrono Map Wide Search
SOAThermal Lance Damage Set	SOAThermal Lance Damage Set
Same Place Revive Set	Same Place Revive Set
Science Vessel Nano Repair Double Apply Behavior	Science Vessel Nano Repair Double Apply Behavior
Science Vessel Nano Repair Double Heal	Science Vessel Nano Repair Double Heal
Science Vessel Nano Repair Double Impact Dummy	Science Vessel Nano Repair Double Impact Dummy
Science Vessel Nano Repair Double Persistent	Science Vessel Nano Repair Double Persistent
Science Vessel Nano Repair Double Remove Behavior	Science Vessel Nano Repair Double Remove Behavior
Science Vessel Nano Repair Double Search	Science Vessel Nano Repair Double Search
Science Vessel Nano Repair Double Second Heal	Science Vessel Nano Repair Double Second Heal
Science Vessel Nano Repair Double Second Persistent	Science Vessel Nano Repair Double Second Persistent
SelfRevive	SelfRevive
Self Revive Recall Remove Debuff	Self Revive Recall Remove Debuff
SetMyHPto1	SetMyHPto1
Shadow Guard CU	Shadow Guard CU
Shadow Guard Detection Disable Aura AB	Shadow Guard Detection Disable Aura AB
Shadow Guard Detection Disable Aura Iterate Transport	Shadow Guard Detection Disable Aura Iterate Transport
Shadow Guard Detection Disable Aura Search	Shadow Guard Detection Disable Aura Search
Shadow Guard Detection Disable Aura Set	Shadow Guard Detection Disable Aura Set
Shadow Guard Detection Disable Aura Structure AB	Shadow Guard Detection Disable Aura Structure AB
Shadow Guard Detection Disable Aura Structure Set	Shadow Guard Detection Disable Aura Structure Set
Shadow Guard Detection Disable Aura Switch	Shadow Guard Detection Disable Aura Switch
Shadow Guard Shadow Fury Apply	Shadow Guard Shadow Fury Apply
Shadow Guard Shadow Fury Damage	Shadow Guard Shadow Fury Damage
Shadow GuardShadow Fury Damage Persistent	Shadow GuardShadow Fury Damage Persistent
Shadow Guard Shadow Fury Impact Set	Shadow Guard Shadow Fury Impact Set
Shadow Guard Shadow Fury Persistent	Shadow Guard Shadow Fury Persistent
Shadow Guard Shadow Fury Search	Shadow Guard Shadow Fury Search
Shadow Guard Shadow Fury Set	Shadow Guard Shadow Fury Set
Shadow Guard Shadow Fury Teleport	Shadow Guard Shadow Fury Teleport
Shadow Guard Shadow Fury Teleport Final	Shadow Guard Shadow Fury Teleport Final
Shadow Guard Shadow Fury Teleport Final CP	Shadow Guard Shadow Fury Teleport Final CP
Shadow Guard Spawn Delay AB	Shadow Guard Spawn Delay AB
Shadow Guard Spawn Delay	Shadow Guard Spawn Delay
Shadow Guard Spawn Final Set	Shadow Guard Spawn Final Set
Shadow Guard Spawn Make Precursor AB	Shadow Guard Spawn Make Precursor AB
Shadow Guard Spawn Precursor RB	Shadow Guard Spawn Precursor RB
Shadow Guard Spawn Set	Shadow Guard Spawn Set
Shadow Guard Timed Life AB	Shadow Guard Timed Life AB
Shadow Guard Timed Life Expire AB	Shadow Guard Timed Life Expire AB
Shield Battery Structure Barrier	Shield Battery Structure Barrier
Siege Tank Merc Veterancy Aura Search	Siege Tank Merc Veterancy Aura Search
Siege Tank Merc Veterancy Aura Target Bonus AB	Siege Tank Merc Veterancy Aura Target Bonus AB
Siege Tank Veterancy Aura AB	Siege Tank Veterancy Aura AB
Siege Tank Wreckage Abil	Siege Tank Wreckage Abil
Siege Tank Wreckage Set	Siege Tank Wreckage Set
Slayn Elemental Cage Ground Switch	Slayn Elemental Cage Ground Switch
Slayn Elemental Timeout Death Dummy	Slayn Elemental Timeout Death Dummy
Snare Launch Target To A Pathable Location LM	Snare Launch Target To A Pathable Location LM
Snare Launch Target To A Pathable Location Precursor	Snare Launch Target To A Pathable Location Precursor
Snare Launch Target To A Pathable Location RU	Snare Launch Target To A Pathable Location RU
SoAMothershipVoidrayDisableWeaponFor1s	SoAMothershipVoidrayDisableWeaponFor1s
Solar Forge Beam CP	Solar Forge Beam CP
Solar Forge Beam Impact Dummy MU	Solar Forge Beam Impact Dummy MU
Solar Forge Rebuild Complete Set	Solar Forge Rebuild Complete Set
Solar Forge Repair AB	Solar Forge Repair AB
Solar Forge Solar Efficiency1 MU	Solar Forge Solar Efficiency1 MU
Solar Forge Solar Efficiency2 MU	Solar Forge Solar Efficiency2 MU
Solar Forge Solar Efficiency3 MU	Solar Forge Solar Efficiency3 MU
Solar Forge Turret1 Reset MU	Solar Forge Turret1 Reset MU
Solar Forge Turret2 Reset MU	Solar Forge Turret2 Reset MU
Spawn Spider Mine	Spawn Spider Mine
Spawn Spider Mine Set	Spawn Spider Mine Set
Spawn Puddle On Death (Puddle Persistent)	Spawn Puddle On Death (Puddle Persistent)
Spawn Puddle On Death (Remove Behavior)	Spawn Puddle On Death (Remove Behavior)
Spawn Puddle On Death (Search Area)	Spawn Puddle On Death (Search Area)
Spawn Puddle On Death (Set)	Spawn Puddle On Death (Set)
Spawn Puddle On Death (Slime Drop Dummy)	Spawn Puddle On Death (Slime Drop Dummy)
Spawn Puddle On Death (Slime Drop Persistent)	Spawn Puddle On Death (Slime Drop Persistent)
SpawnedUnitTracker	SpawnedUnitTracker
SpawnedUnitTrackerAddTarget	SpawnedUnitTrackerAddTarget
SpawnedUnitTrackerSet	SpawnedUnitTrackerSet
Special Delivery CU	Special Delivery CU
Special Delivery Drop AB	Special Delivery Drop AB
Special Delivery Drop AB Set	Special Delivery Drop AB Set
Special Delivery Drop Delay AB	Special Delivery Drop Delay AB
Special Delivery Drop Set	Special Delivery Drop Set
Special Delivery Initial Set	Special Delivery Initial Set
Spectre Release Minion	Spectre Release Minion
Spew (Apply Debuff)	Spew (Apply Debuff)
Spew Apply Immobilize Behavior	Spew Apply Immobilize Behavior
Spew (Create Persistent)	Spew (Create Persistent)
Spew (Launch Missile)	Spew (Launch Missile)
Spew Remove Immobilize Behavior	Spew Remove Immobilize Behavior
Spew (Search Area)	Spew (Search Area)
Spit (Damage)	Spit (Damage)
Spit (Launch Missile)	Spit (Launch Missile)
Spore Colony Damage	Spore Colony Damage
Spore Colony LM	Spore Colony LM
Stukov Aleksander Air Attack Apply Behaviors	Stukov Aleksander Air Attack Apply Behaviors
Stukov Aleksander Air Attack Apply Busy Behavior	Stukov Aleksander Air Attack Apply Busy Behavior
Stukov Aleksander Air Attack Apply Under Attack Behavior	Stukov Aleksander Air Attack Apply Under Attack Behavior
Stukov Aleksander Air Attack Damage	Stukov Aleksander Air Attack Damage
Stukov Aleksander Air Attack Launch Missile	Stukov Aleksander Air Attack Launch Missile
Stukov Aleksander Air Attack Missile Damage	Stukov Aleksander Air Attack Missile Damage
Stukov Aleksander Air Attack Missile Set	Stukov Aleksander Air Attack Missile Set
Stukov Aleksander Air Attack Remove Busy Behavior	Stukov Aleksander Air Attack Remove Busy Behavior
Stukov Aleksander Air Attack Scan Persistent	Stukov Aleksander Air Attack Scan Persistent
Stukov Aleksander Air Attack Search Area	Stukov Aleksander Air Attack Search Area
Stukov Aleksander Air Attack Target Persistent	Stukov Aleksander Air Attack Target Persistent
Stukov Aleksander Infested Cannon Direct	Stukov Aleksander Infested Cannon Direct
Stukov Aleksander Infested Drop Pod Creation Set	Stukov Aleksander Infested Drop Pod Creation Set
Stukov Aleksander Infested Drop Pod Infested Civilian	Stukov Aleksander Infested Drop Pod Infested Civilian
Stukov Aleksander Infested Drop Pod Infested Exploder	Stukov Aleksander Infested Drop Pod Infested Exploder
Stukov Aleksander Infested Drop Pod Infested Trooper	Stukov Aleksander Infested Drop Pod Infested Trooper
Stukov Aleksander Infested Drop Pod Initial  CP	Stukov Aleksander Infested Drop Pod Initial  CP
Stukov Aleksander Infested Drop Pod Issue Order	Stukov Aleksander Infested Drop Pod Issue Order
Stukov Aleksander Infested Drop Pod Land	Stukov Aleksander Infested Drop Pod Land
Stukov Aleksander Infested Drop Pod Launch Disable Target	Stukov Aleksander Infested Drop Pod Launch Disable Target
Stukov Aleksander Infested Drop Pod Launch Missile	Stukov Aleksander Infested Drop Pod Launch Missile
Stukov Aleksander Infested Drop Pod Timed Life	Stukov Aleksander Infested Drop Pod Timed Life
Stukov Aleksander Tentacle Attack Apply New Scan	Stukov Aleksander Tentacle Attack Apply New Scan
Stukov Aleksander Tentacle Attack L1 Anim Delay	Stukov Aleksander Tentacle Attack L1 Anim Delay
Stukov Aleksander Tentacle Attack L1 Create Target	Stukov Aleksander Tentacle Attack L1 Create Target
Stukov Aleksander Tentacle Attack L1 Launch Missile	Stukov Aleksander Tentacle Attack L1 Launch Missile
Stukov Aleksander Tentacle Attack L2 Anim Delay	Stukov Aleksander Tentacle Attack L2 Anim Delay
Stukov Aleksander Tentacle Attack L2 Create Target	Stukov Aleksander Tentacle Attack L2 Create Target
Stukov Aleksander Tentacle Attack L2 Launch Missile	Stukov Aleksander Tentacle Attack L2 Launch Missile
Stukov Aleksander Tentacle Attack Missile Impact Set	Stukov Aleksander Tentacle Attack Missile Impact Set
Stukov Aleksander Tentacle Attack Missile Scan Swap Delay	Stukov Aleksander Tentacle Attack Missile Scan Swap Delay
Stukov Aleksander Tentacle Attack R1 Anim Delay	Stukov Aleksander Tentacle Attack R1 Anim Delay
Stukov Aleksander Tentacle Attack R1 Create Target	Stukov Aleksander Tentacle Attack R1 Create Target
Stukov Aleksander Tentacle Attack R1 Launch Missile	Stukov Aleksander Tentacle Attack R1 Launch Missile
Stukov Aleksander Tentacle Attack R2 Anim Delay	Stukov Aleksander Tentacle Attack R2 Anim Delay
Stukov Aleksander Tentacle Attack R2 Create Target	Stukov Aleksander Tentacle Attack R2 Create Target
Stukov Aleksander Tentacle Attack R2 Launch Missile	Stukov Aleksander Tentacle Attack R2 Launch Missile
Stukov Aleksander Tentacle Attack Remove Old Scan	Stukov Aleksander Tentacle Attack Remove Old Scan
Stukov Aleksander Tentacle Attack Target Death Delay	Stukov Aleksander Tentacle Attack Target Death Delay
Stukov Aleksander Tentacle Missile Target Check Circle	Stukov Aleksander Tentacle Missile Target Check Circle
Stukov Aleksander Tentacle Missile Target Check Persistent	Stukov Aleksander Tentacle Missile Target Check Persistent
Stukov Aleksander Tentacle Missile Target Check Persistent Inverted	Stukov Aleksander Tentacle Missile Target Check Persistent Inverted
Stukov Aleksander Yamato Cannon Damage	Stukov Aleksander Yamato Cannon Damage
Stukov Coop Volatile Terrans CP	Stukov Coop Volatile Terrans CP
Stukov Coop Volatile Terrans CU	Stukov Coop Volatile Terrans CU
Stukov Infested Civilian Spawn Broodling On Death	Stukov Infested Civilian Spawn Broodling On Death
StukovInfestedDiamondSlimePuddleCPDestroyer	StukovInfestedDiamondSlimePuddleCPDestroyer
Stukov Infested Infested Civilian Leap Attack CU	Stukov Infested Infested Civilian Leap Attack CU
Stukov Infested Infested Civilian Leap CU	Stukov Infested Infested Civilian Leap CU
Stukov Infested Infested Civilian Leap LM	Stukov Infested Infested Civilian Leap LM
Stukov Infested Infested Civilian Leap Remove	Stukov Infested Infested Civilian Leap Remove
Stukov Infested Infested Civilian Leap Set	Stukov Infested Infested Civilian Leap Set
Stukov Infested Infested Civilian Leap Switch	Stukov Infested Infested Civilian Leap Switch
Stukov Infested Infested Civilian Leap Temp Timeout	Stukov Infested Infested Civilian Leap Temp Timeout
StukovInfestedSiegeTankAmmoRestockLMSet	StukovInfestedSiegeTankAmmoRestockLMSet
Stukov Infested Siege Tank Deep Tunnel	Stukov Infested Siege Tank Deep Tunnel
Stukov Infested Siege Tank Deep Tunnel Teleport	Stukov Infested Siege Tank Deep Tunnel Teleport
Stukov Infested Siege Tank Deep Tunnel Teleport Set	Stukov Infested Siege Tank Deep Tunnel Teleport Set
Stukov Infested Wild Mutation AB	Stukov Infested Wild Mutation AB
Suicide Copy	Suicide Copy
Suicide Blast	Suicide Blast
Suicide If Can't Burrow	Suicide If Can't Burrow
Suicide If Hidden	Suicide If Hidden
SuicideIfSupplicantWarpIn	SuicideIfSupplicantWarpIn
Summon Devil Dogs Create Unit	Summon Devil Dogs Create Unit
Summon Hammer Securities Create Unit	Summon Hammer Securities Create Unit
Hyperion Create Unit	Hyperion Create Unit
Summon Merc Medics Create Unit	Summon Merc Medics Create Unit
Summon Siege Breakers Create Unit	Summon Siege Breakers Create Unit
Summon Skibis Angels Create Unit	Summon Skibis Angels Create Unit
Summon Spartan Company Create Unit	Summon Spartan Company Create Unit
Summon War Pigs Create Unit	Summon War Pigs Create Unit
Super Stimpack Nova AB	Super Stimpack Nova AB
Super Stimpack Nova MU	Super Stimpack Nova MU
Suplicant Warp Cancel	Suplicant Warp Cancel
Supplicant Birth	Supplicant Birth
Damage	Damage
LM	LM
SupplicantWarpPowerCheck	SupplicantWarpPowerCheck
SupressFood1FrameAB	SupressFood1FrameAB
Swann Commander Mech Rebirth Heal	Swann Commander Mech Rebirth Heal
Swann Commander Mech Rebirth Switch	Swann Commander Mech Rebirth Switch
Swann Commander Mech Wreckage Burning AB	Swann Commander Mech Wreckage Burning AB
Swann Commander Mech Wreckage Burning Damage	Swann Commander Mech Wreckage Burning Damage
Swann Commander Mech Wreckage Burning RB	Swann Commander Mech Wreckage Burning RB
Symb Attach	Symb Attach
Symb Attach New	Symb Attach New
Symb Attach New Set	Symb Attach New Set
Symb Attach Set	Symb Attach Set
Symb Attach Teleport	Symb Attach Teleport
Symb Attach Teleport CPDestroy	Symb Attach Teleport CPDestroy
Symb Attach Teleport Switch	Symb Attach Teleport Switch
Symb Marker	Symb Marker
Symb Marker Remove Behavior	Symb Marker Remove Behavior
Symb Marker RBSearch	Symb Marker RBSearch
Symb Prevent Jump	Symb Prevent Jump
Symbiote Auto Stab	Symbiote Auto Stab
Symbiote Auto Stab Search	Symbiote Auto Stab Search
Symbiote Carapace AB	Symbiote Carapace AB
Symbiote Carapace AOE AB	Symbiote Carapace AOE AB
Symbiote Carapace Search	Symbiote Carapace Search
Symbiote Carapace Set	Symbiote Carapace Set
Symbiote Carapace Taunt AB	Symbiote Carapace Taunt AB
Symbiote Carapace Taunt Invul AB	Symbiote Carapace Taunt Invul AB
Symbiote Carapace Taunt Invul Search	Symbiote Carapace Taunt Invul Search
Symbiote Spike Burst Damage	Symbiote Spike Burst Damage
Symbiote Spike Burst Search	Symbiote Spike Burst Search
Symbiote Spike Burst Set	Symbiote Spike Burst Set
Symbiote Stab Damage	Symbiote Stab Damage
Symbiote Stab Initial CP	Symbiote Stab Initial CP
Symbiote Stab LM	Symbiote Stab LM
Symbiote Stab Search	Symbiote Stab Search
Symbiote Stab Set	Symbiote Stab Set
TargetIsBeingDraggedByDehaka	TargetIsBeingDraggedByDehaka
Tentacle Attack (Apply Behaviors)	Tentacle Attack (Apply Behaviors)
Tentacle Attack (Apply Caster Behavior)	Tentacle Attack (Apply Caster Behavior)
Tentacle Attack (Apply Choke Behavior)	Tentacle Attack (Apply Choke Behavior)
Tentacle Attack (Apply Choked Disable Abils Behavior)	Attacco tentacolare - Applica comportamento disattivazione abilità soffocamento
Tentacle Attack (Apply Initial Caster Behavior)	Tentacle Attack (Apply Initial Caster Behavior)
Tentacle Attack (Apply Tentacle En Route Behavior)	Tentacle Attack (Apply Tentacle En Route Behavior)
Tentacle Attack (Channel Persistent)	Tentacle Attack (Channel Persistent)
Tentacle Attack (Apply Choked Initial Effects Set)	Attacco tentacolare - Applica set effetti iniziali soffocamento
Tentacle Attack (Damage)	Tentacle Attack (Damage)
Tentacle Attack (Force)	Tentacle Attack (Force)
Tentacle Attack (Initial Set)	Tentacle Attack (Initial Set)
Tentacle Attack (Launch Tentacle)	Tentacle Attack (Launch Tentacle)
Tentacle Attack (Launch Tentacle Set)	Tentacle Attack (Launch Tentacle Set)
Tentacle Attack (Remove Behaviors)	Tentacle Attack (Remove Behaviors)
Tentacle Attack (Remove Caster Behavior)	Tentacle Attack (Remove Caster Behavior)
Tentacle Attack (Remove Choke Behavior)	Tentacle Attack (Remove Choke Behavior)
Tentacle Attack (Remove Tentacle En Route Behavior)	Tentacle Attack (Remove Tentacle En Route Behavior)
Tentacle Attack (Search Area)	Tentacle Attack (Search Area)
Tentacle Attack (Tentacle Persistent)	Tentacle Attack (Tentacle Persistent)
Terrazine Harvester Weapon	Terrazine Harvester Weapon
TheHornersStatUpdate	TheHornersStatUpdate
Thor Wreckage Set	Thor Wreckage Set
Thor Wreckage Swann Abil	Thor Wreckage Swann Abil
Time Stop Haste AB	Time Stop Haste AB
Time Stop Haste Caster AB	Time Stop Haste Caster AB
Time Stop Haste Downgrade	Time Stop Haste Downgrade
Time Stop Haste Downgrade Ally	Time Stop Haste Downgrade Ally
Time Stop Haste Downgrade Search	Time Stop Haste Downgrade Search
Time Stop Haste Downgrade Set	Time Stop Haste Downgrade Set
Time Stop Haste Upgrade	Time Stop Haste Upgrade
Time Stop Haste Upgrade Ally	Time Stop Haste Upgrade Ally
Time Stop Haste Upgrade Search	Time Stop Haste Upgrade Search
Time Stop Haste Upgrade Set	Time Stop Haste Upgrade Set
Merc Timed Life Fate	Merc Timed Life Fate
TimedLifeFateNoShield	TimedLifeFateNoShield
Toxic Goop (Search Area)	Toxic Goop (Search Area)
ToxicNestExplodeSearchApplyBehavior	ToxicNestExplodeSearchApplyBehavior
ToxicNestExplodeSearchSet	ToxicNestExplodeSearchSet
Toxic Nest Kill Caster	Toxic Nest Kill Caster
Transfusion AC Search	Transfusion AC Search
Transfusion AC Switch	Transfusion AC Switch
TriggerCopyBehaviorToMagazine	TriggerCopyBehaviorToMagazine
TriggerCopyBehaviorToTarget	TriggerCopyBehaviorToTarget
TriggerInheritRateDummy	TriggerInheritRateDummy
TriggerInheritRateIterateMagazine	TriggerInheritRateIterateMagazine
Calldown Odin Apply Initial Falling Stun	Calldown Odin Apply Initial Falling Stun
Calldown Odin Apply Initial Self Stun	Calldown Odin Apply Initial Self Stun
Calldown Odin Apply Inside Odin Stun	Calldown Odin Apply Inside Odin Stun
Calldown Odin Apply Timed Life	Calldown Odin Apply Timed Life
Calldown Odin Create Unit	Calldown Odin Create Unit
TychusCalldownOdinExitStun	TychusCalldownOdinExitStun
Calldown Odin Initial Persistent	Calldown Odin Initial Persistent
Calldown Odin Remove Inside Odin Stun	Calldown Odin Remove Inside Odin Stun
Calldown Odin Teleport Caster	Calldown Odin Teleport Caster
TychusCalldownOdinTeleportCasterOffset	TychusCalldownOdinTeleportCasterOffset
TychusCalldownOdinTransferGroup	TychusCalldownOdinTransferGroup
Chaingun Set	Chaingun Set
Tychus Coop Chaingun Damage	Tychus Coop Chaingun Damage
Tychus Coop Chaingun Damage (Friendly No Rage)	Tychus Coop Chaingun Damage (Friendly No Rage)
TychusFirebatOilBombCP	TychusFirebatOilBombCP
TychusGhostDominateCP	TychusGhostDominateCP
TychusHercGrappleRageBuffAB	TychusHercGrappleRageBuffAB
TychusHercGrappleStun	TychusHercGrappleStun
Tychus Hero Passive	Tychus Hero Passive
Barrage (Persistent)	Barrage (Persistent)
Barrage (Damage)	Barrage (Damage)
Barrage (Search Area)	Barrage (Search Area)
Create Point Defense Drone	Create Point Defense Drone
TychusOdinFinalSet	TychusOdinFinalSet
Tychus Odin Timed Life Fate Dummy	Tychus Odin Timed Life Fate Dummy
TychusReaperSuperCloakAB	TychusReaperSuperCloakAB
TychusResearchCenterDisableCommandsAB	TychusResearchCenterDisableCommandsAB
TychusResearchCenterTychusBuilt	TychusResearchCenterTychusBuilt
TychusSCVAutoTurret	TychusSCVAutoTurret
Shredder Grenade Damage	Shredder Grenade Damage
TychusShredderGrenadeKnockbackSwitch	TychusShredderGrenadeKnockbackSwitch
Shredder Grenade (Launch Missile)	Shredder Grenade (Launch Missile)
Tychus Shredder Grenade Rage Gain	Tychus Shredder Grenade Rage Gain
Tychus AGR-14 Gauss Rifle	Tychus AGR-14 Gauss Rifle
TychusSpectreBrillianceAuraBuffABLv1	TychusSpectreBrillianceAuraBuffABLv1
TychusSpectreBrillianceAuraSearchLv1	TychusSpectreBrillianceAuraSearchLv1
TychusSpectreExtendedPulseGun	TychusSpectreExtendedPulseGun
TychusSpectreSuperUltrasonicPulse	TychusSpectreSuperUltrasonicPulse
TychusSpectreUltrasonicDamageLv1	TychusSpectreUltrasonicDamageLv1
TychusSpectreUltrasonicCPLv1	TychusSpectreUltrasonicCPLv1
TychusSpectreUltrasonicSearchLv1	TychusSpectreUltrasonicSearchLv1
TychusSpectreWeaponCost	TychusSpectreWeaponCost
TychusSpectreWeaponSet	TychusSpectreWeaponSet
TychusWarhoundAutoTurretTimedLife	TychusWarhoundAutoTurretTimedLife
TychusWarhoundTornadoMissileCP	TychusWarhoundTornadoMissileCP
TychusWarhoundTornadoMissileCPSearch	TychusWarhoundTornadoMissileCPSearch
TychusWarhoundTurretTornadoMissileCP	TychusWarhoundTurretTornadoMissileCP
TychusWarhoundTurretWeaponSet	TychusWarhoundTurretWeaponSet
UnityBarrierCooldown	UnityBarrierCooldown
UnityBarrierFinalSet	UnityBarrierFinalSet
Upgrade	Upgrade
Vehicle Afterburners AB	Vehicle Afterburners AB
Viking Merc Veterancy Aura AB	Viking Merc Veterancy Aura AB
VirusCureBeamImpact	VirusCureBeamImpact
VoidSeekerTransportUnloadDummy	VoidSeekerTransportUnloadDummy
Void Shard ACBuild Visual Start Dummy	Void Shard ACBuild Visual Start Dummy
Void Shard ACDamage	Void Shard ACDamage
Void Shard ACDamage Field Damage	Void Shard ACDamage Field Damage
Void Shard ACDamage Field Damage Initial	Void Shard ACDamage Field Damage Initial
Void Shard ACDamage Field Search	Void Shard ACDamage Field Search
Void Shard ACDeath Grip Apply Stun	Void Shard ACDeath Grip Apply Stun
Void Shard ACDeath Grip Height	Void Shard ACDeath Grip Height
