Amorphous Armorcloud	Armure de brume
Ultralisk B	Ultralisk B
SMX1 - ZaGara	SMX1 - Zagara
Zergling A	Zergling A
Zergling B	Zergling B
Vorazun	Vorazun
SMX2 - Army Room Main Room	SMX2 - Pièce armée - Pièce principale
SMX2 - Army Room Table	SMX2 - Pièce armée -Table
SMX2 - Army Room Stasis Chamber	SMX2 - Pièce armée - Chambre de stase
SMX2 - Army Room Entryway	SMX2 - Pièce armée - Entrée
SMX2 - Army Room Exterior	SMX2 - Pièce armée - Extérieur
SMX2_ Bridge00	SMX2 - Passerelle00
SMX2_ Bridge01	SMX2 - Passerelle01
SMX2_ Bridge02	SMX2 - Passerelle02
SMX2_ Bridge03	SMX2 - Passerelle03
SMX2_ Bridge04	SMX2 - Passerelle04
SMX2_ Bridge05	SMX2 - Passerelle05
SMX2_ Bridge06	SMX2 - Passerelle06
SMX2_ Bridge07	SMX2 - Passerelle07
SOA Pylon Power Ally Unit	LdA - Puissance du pylône allié - Unité
Pylon Power Field	Champ d’énergie de pylône
Scourge Nest	Nid de fléaux
Defense Bot	Robot de défense
Selendis	Sélendis
Heavy Siege Tank	Char de siège lourd
Solarite Cocoon	Cocon de solarite
Coop Caster Artanis	Annonceur en coop - Artanis
Coop Caster	Annonceur en coop
Coop Caster Karax	Annonceur en coop Karax
Coop Caster Vorazun	Annonceur en coop Vorazun
Spew Missile	Crachat - Projectile
Spit Missile	Glaviot - Projectile
Spore Colony	Sporuleur mucigène
Spore Colony Weapon	Sporuleur mucigène - Arme
Spotter	Guetteur
Stank	Stank
Stukov Aleksander Infested Drop Pod Missile	Stukov - Aleksander - Capsule de débarquement contaminée - Projectile
Stukov Aleksander Tentacle AMissile	Stukov - Aleksander - Tentacule A - Projectile
Stukov Aleksander Tentacle BMissile	Stukov - Aleksander - Tentacule B - Projectile
Stukov Aleksander Tentacle CMissile	Stukov - Aleksander - Tentacule C - Projectile
Stukov Aleksander Tentacle DMissile	Stukov - Aleksander - Tentacule D - Projectile
Stukov Aleksander Tentacle EMissile	Stukov - Aleksander - Tentacule E - Projectile
Stukov Aleksander Yamato Cannon Attack Weapon	Stukov - Aleksander - Canon Yamato - Attaque - Arme
StukovInfestedBacklashRocketsLMWeapon	Stukov - Contaminé - Roquettes Contrecoup - LM - Arme
Infested Diamondback	Crotale contaminé
Stukov Infested Siege Tank Deep Tunnel Placement Unit	Stukov - Char de siège contaminé - Tunnel profond - Unité de placement
Impaler Tentacle	Tentacule empaleur
Swann's Special Delivery Dropship	Transport pour livraison spéciale de Swann
SymbioteStabLMWeapon	SymbioteStabLMWeapon
TeamColorSourceUnit	Couleur d’équipe - Unité source
Han's Tech Lab	Laboratoire technique de Mira Han
Tentacle Missile	Projectile de tentacule
Harvesting Bot	Robot de collecte
Thor Wreckage	Débris du Thor
Toxic Nest	Nid toxique
Truck	Camion
Muscle Armory	Armurerie des Gros bras
Tychus Findlay	Tychus Findlay
TychusDummyCaster	Tychus - Leurre - Lanceur
Blaze	Kramer
TychusFirebatOilSpill	Tychus - Flammeur - Flaque d’huile
Recruit Miles "Blaze" Lewis	Recruter Miles « Kramer » Lewis
Fixers' Safehouse	Cache des Débrouillards
Recruit Vega	Recruter Véga
Cannonball	La Bombarde
Recruit Rob "Cannonball" Boswell	Recruter Rob « la Bombarde » Boswell
Revitalizer	Vivificateur
Rattlesnake	Crotale
Recruit Kev "Rattlesnake" West	Recruter Kevin « Fer-de-Lance » West
Lt. Nikara	Lt Nikara
Recruit Lt. Layna Nikara	Recruter le lt Layna Nikara
Medivac Platform	Plate-forme à Médivacs
Gunslingers' Hideout	Planque des Flingueurs
Odin	Odin
Recruit Crooked Sam	Recruter Sam le Timbré
Tychus Shredder Grenade Weapon	Tychus - Grenade déchiqueteuse - Arme
Recruit Nux	Recruter Nux
Tychus Squad Caster - 1	Tychus - Escouade - Lanceur - 1
Tychus Squad Caster - 2	Tychus - Escouade - Lanceur - 2
Tychus Squad Caster - 3	Tychus - Escouade - Lanceur - 3
Tychus Squad Caster - 4	Tychus - Escouade - Lanceur - 4
Tychus Squad Caster - 5	Tychus - Escouade - Lanceur - 5
Warhound Turret	Tourelle de Chien de guerre
Sirius	Sirius
Recruit James "Sirius" Sykes	Recruter James « Sirius » Sykes
Vespene Gas Drill	Foreuse à gaz vespène
A.R.E.S.	A.R.E.S.
Void Shard ACVoid Zone Weapon	Fragment du Vide - CA - Zone de Vide - Arme
Void Sliver	Éclat du Vide
Death Grip Crystal	Cristal d’étreinte mortelle
Void Thrasher Ground Missile	Lacérateur du Vide - Missile terrestre
VorazunMothership	Vaisseau mère - Vorazun
VorazunMothershipRoboticsFacility	Vaisseau mère - Vorazun - Complexe robotique
VorazunMothershipStargate	Vaisseau mère - Vorazun - Porte spatiale
VorazunMothershipWarpgate	Vaisseau mère - Vorazun - Porte de transfert
Shadow Guard	La Garde de l’ombre
War Prism	Prisme de guerre
Wrecked Battlecruiser	Épave de cuirassé
Zagara's Cocoon	Cocon de Zagara
Legionnaire	Légionnaire
Artifact Reserve	Chambre de l’artéfact
First Artifact Fragment	Premier fragment d’artéfact
Second Artifact Fragment	Deuxième fragment d’artéfact
Third Artifact Fragment	Troisième fragment d’artéfact
Bonus Artifact Fragment	Fragment d’artéfact bonus
Zeratul's Beacon	Balise de Zeratul
Core Forge	Forge nucléique
Void Shrine	Sanctuaire du Vide
Abrogation Orb	Orbe d’extermination
ZeratulEntropicBlastCyanWeaponSpawner	Zeratul - Explosion entropique - Cyan - Arme - Apparition
Xel'Naga Passageway	Portail Xel’Naga
Serdath	Serdath
Xel'Naga Enforcer	Anéantisseur Xel’Naga
Tesseract Monolith	Monolithe fractal
Tesseract Monolith Projection	Projection de monolithe fractal
Ancient Nexus	Nexus antique
Xel'Naga Watcher	Scrutateur Xel’Naga
Phase Cannon Placeholder	Canon phasique
Tesseract Cannon Projection	Projection de canon fractal
Photon Cannon Weapon	Arme canon à photons
Xel'Naga Precursor	Précurseur Xel’Naga
Constructs Bay	Baie de soutien technologique
Constructs Facility	Complexe technologique
Xel'Naga Ambusher	Persécuteur Xel’Naga
Void Apparition	Apparition du Vide
ZeratulStalkerGhostWeapon	Zeratul - Traqueur - Fantôme - Arme
Telbrus	Telbrus
Void Seeker	Chercheur du Vide
Xel'Naga Void Array	Matrice du Vide Xel’Naga
Charged Crystal	Cristal chargé
Terran Energy Shields	Boucliers d’énergie terrans
Protoss Plasma Shields	Boucliers plasma protoss
General	Général
Primal Pack Leader	Chef de meute primordial
Lava Worm	Ver de lave
Assassin	Assassin
Metamorph	Métamorphe
Former UED Flagship	Ancien vaisseau-amiral du DFT
Security Robot	Robot de sécurité
Hunter Strain	Souche chasseur
Evolved Strain	Souche évoluée
Raynor's Raiders Flagship.	Vaisseau-amiral
Abathur Biomass Life Leech	Abathur - Biomasse - Succion biotique
Abathur Biomass Refund	Abathur - Restitution de biomasse
Abathur Creep Tumor Ensnare	Abathur - Piège de tumeur muqueuse
Abathur Enable Symbiote	Abathur - Activer symbiote
Abathur Enemy Death Create Locusts	Abathur - Mort d’ennemi - Créer nuisibles
Incubation Chamber	Chambre d’incubation
Abathur Hidden Toxic Nest	Abathur - Nid toxique caché
Improved Mend	Guérison améliorée
Abathur Improved Toxic Nest	Abathur - Nid toxique amélioré
Abathur Locust Nest	Abathur - Nid de nuisibles
Morph Time Cost Reduced	Temps de transformation - Coût - Réduction
Abathur Mutalisk Health Scaling Upgrade	Amélioration de l’échelonnage de vie du mutalisk d’Abathur
Abathur Roach Range Scaling Upgrade	Amélioration de l’échelonnage de portée du cafard d’Abathur
Abathur Thorns Aura	Abathur - Aura d’épines
Abathur Toxic Nest Icreased Biomass	Abathur - Nid toxique - Biomasse augmentée
Abathur Toxic Nest Respawn Talent	Abathur - Nid toxique - Réapparition - Talent
Adept Attack Speed	Vitesse d’attaque de l’adepte
AlarackACHavocDetection	Alarak - AC - Carnage - Détection
AlarakACSupplicant Attack Air	Alarak - AC - Disciple - Attaque aérienne
Alarak Area Damage Upgrade	Alarak - Dégâts de zone - Amélioration
Alarak Improved Deadly Charge	Alarak - Charge mortelle améliorée
Alarak Improved Death Fleet	Alarak - Flotte de mort améliorée
Alarak Squad Sight Buff	Alarak - Bonus - Vision d’escadron
Alarak Structure Improved Overcharge	Alarak - Bâtiment - Surcharge améliorée
Alarak Supplicant Sacrifice CDR	Alarak - Sacrifice de disciple - Réduction de temps de recharge
Alarak Supplicant Sacrifice Damage	Alarak - Sacrifice de disciple - Dégâts
Longshot	Longue portée
Moving Shot	Tir en mouvement
Artanis Starting Supply	Artanis - Ravitaillement de départ
Artanis Unlock High Archon	Artanis - Débloquer Haut archonte
Artanis Unlock Reaver	Artanis - Débloquer Ravageur
Artanis Unlock Tempest	Artanis - Débloquer Tempête
Artillary Ducts	Conduits d’artillerie
Boom Bot Defuse Dummy	Désamorçage de robot bombe - Leurre
Carrier Photon Bombs	Bombes à photons de porte-nefs
Repair Drones	Drones réparateurs
Charged Buster Upgrade	Rupture solarienne - Amélioration
Cloaking Field Siege Tank	Champ de camouflage du char de siège
Cocoon Revive	Cocon de réanimation
Fire Beam	Rayon de feu
Colossus Skin	Modèle de Colosse
Commander Level	Niveau du commandant
CommanderPrestigeRaynorBioUpgradeTerranInfantryArmorLevel1	CommanderPrestigeRaynorBioUpgradeTerranInfantryArmorLevel1
CommanderPrestigeVorazunEmergencyRecallSeekPylon	CommanderPrestigeVorazunEmergencyRecallSeekPylon
Coop AI Mutalisk Cost	Coop - IA - Coût du mutalisk
Coop AI Reaper Cost	Coop - IA - Coût du faucheur
Coop Baneling Hunter	Chancre chasseur de coop
Coop Baneling Splitterling	Chancre scissieux de coop
Coop Mutalisk	Mutalisk de coop
CoopNPCPlayer	Coop - PNJ - Joueur
Coop Zergling Raptor	Zergling raptor de coop
Coop Zergling Swarmling	Zergling teigne de coop
Disruption Web	Filet disrupteur
Stealth Drive	Propulsion furtive
Creep Tumor Visible	Tumeur muqueuse visible
DehakaCoopStage2	Dehaka - Coop - Phase 2
Slicing Glaive	Mandibules acérées
Primal Carapace - Level 1	Carapace primordiale - Niv. 1
Primal Carapace - Level 2	Carapace primordiale - Niv. 2
Primal Carapace - Level 3	Carapace primordiale - Niv. 3
DehakaPrimalBossUpgrades	Dehaka - Chef primordial - Améliorations
Primal Attacks - Level 1	Attaques primordiales - Niv. 1
Primal Attacks - Level 2	Attaques primordiales - Niv. 2
Primal Attacks - Level 3	Attaques primordiales - Niv. 3
Spider Mines	Mines araignées
PH Double Down Upgrade	Amélioration Quitte ou double
DownloadBackupPart1	Téléchargement de la première copie
DownloadBackupPart2	Téléchargement de la deuxième copie
DownloadBackupPart3	Téléchargement de la troisième copie
Laser Drill Level 1	Foreuse laser - Niv. 1
Laser Drill Level 2	Foreuse laser - Niv. 2
Observation Protocol	Protocole d’observation
Interdictors	Interdicteurs
FenixChampionClolarionCarrier	Fénix - Champion - Clolarion - Porte-nefs
FenixChampionKaldalisZealot	Fénix - Champion - Kaldalis - Zélote
FenixChampionMojoScout	Fénix - Champion - Mojo - Éclaireur
FenixChampionTaldarinImmortal	Fénix - Champion - Taldarin - Immortel
FenixChampionTalisAdept	Fénix - Champion - Talis - Adepte
FenixChampionWarbringerColossus	Fénix - Champion - Porteguerre - Colosse
FenixNetworkedSuperiorityZealot	Fénix - Supériorité en réseau - Zélote
FenixScoutWeaponRange	Fénix - Éclaireur - Portée des armes
Optimized Emitters	Émetteurs optimisés
Fenix Sentry Null Shield Reflect	Fénix - Sentinelle - Barrière-zéro - Renvoi
Purifier Armaments	Armement de Purificateur
FenixWarbringerColossusIceBeamStructure (Unnamed) Copy	Fénix - Porteguerre - Colosse - Rayon de glace - Bâtiment - Sans nom - Copie
Generate Creep Healing Upgrade	Amélioration des soins de Générer du mucus
EMP Round	Balles IEM
Ghost Coop AI Friendly Fire	Fantôme - Coop - IA - Tirs amis
Permanent Cloak Upgrade	Amélioration Camouflage permanent
Ghost - Reduced Nuke Calldown	Fantôme - Envoi Bombe nucléaire réduite
HERC Grapple AOE Damage	Dégâts de zone de grappin de HERC
HHMattUnitStat	HH - Matt - Unité - Statistiques
HHMercStarportHangarBay	HH - Mercenaire - Spatioport - Baie
HHMercStarportLimitCount	HHMercStarportLimitCount
Hatchery Larva Death	Couveuse - Larve - Mort
Have Guardian	Gardien nécessaire
Aggressive Incubation	Incubation virulente
Thermite Filaments	Filaments en thermite
Twin-Linked Flame Thrower	Lance-flammes bi-jumelé
Hi-Sec Auto Tracking Copy	Ciblage auto. haute sécurité - Copie
Research Crippling Psionic Storm	Rechercher Tempête psionique incapacitante
Horner	Horner
Pressurized Glands	Glandes pressurisées
Hydriodic Bile	Bile hydriotique
Adaptive Plating	Armure adaptable
Rupture	Décomposition
Impaler Generate Creep	Empaleur - Générer du mucus
Improved Consumption	Cannibalisme amélioré
Improved Plague	Peste améliorée
Improved Scatter Cannon	Canon à dispersion amélioré
Increase Locust Nest Spawn Rate	Augmente le taux d’apparition du nid de nuisibles
Infested Civilian Structure Spawn Count Level 1	Civil contaminé - Bâtiment - Générer - Nombre - Niv. 1
Infested Civilian Structure Spawn Count Level 2	Civil contaminé - Bâtiment - Générer - Nombre - Niv. 2
Infested Movement Speed Boost	Contaminé - Bonus à la vitesse de déplacement
Karax Carrier Upgrade	Karax - Porte-nefs - Amélioration
Karax Instant Structure Warp	Karax - Transfert de bâtiment instantané
Karax Khaydarin Monolith Unlock	Karax - Monolithe Khaydarin - Débloquer
Karax Pylon Overcharge	Karax - Surcharge de pylône
Karax SOA Chrono Passive	Karax - LdA - Temporel - Passif
Karax Unit Spawn Barrier	Karax - Barrière à la génération d’unité
Kerrigan Commander Starting Hunter-Killers	Kerrigan - Commandant - Chasseurs-tueurs de départ
Kerrigan Commander Starting Lair	Kerrigan - Commandant - Terrier de départ
Kerrigan Creep Bonuses	Kerrigan - Bonus de mucus
Severing Glaves	Sabre tranchant
Kerrigan Upgraded Resource Drops	Kerrigan - Largage de ressources amélioré
Kerrigan Void Coop Broodlord Cost	Kerrigan - Void - Coop - Seigneur-vermine - Coût
Kerrigan Void Coop Energy Regen	Kerrigan - Void - Coop - Régénération d’énergie
Kerrigan Void Coop Faster Structure Morph	Kerrigan - Void - Coop - Mutation de bâtiment plus rapide
Kerrigan Void Coop Faster Unit Morph	Kerrigan - Void - Coop - Mutation d’unité plus rapide
Kerrigan Void Coop Improved Crushing Grip	Kerrigan - Void - Coop - Poigne broyeuse améliorée
Kerrigan Void Coop Improved Immobilization Wave	Kerrigan - Void - Coop - Vague immobilisante améliorée
Kerrigan Void Coop Improved Kinetic Blast	Kerrigan - Void - Rafale cinétique améliorée
Kerrigan Void Coop Ravage	Kerrigan - Void - Coop - Ravage
Kerrigan Void Coop Improved Psionic Shift	Kerrigan - Void - Coop - Translation psionique améliorée
Kerrigan Void Coop Improved Spawn Larva	Kerrigan - Void - Coop - Générer des larves amélioré
Kerrigan Void Coop Mend	Kerrigan - Void - Coop - Guérison
Kerrigan Void Coop Swarm Host A	Kerrigan - Void - Coop - Essaimeur A
Kerrigan Void Coop Swarm Host B	Kerrigan - Void - Coop - Essaimeur B
Kerrigan Void Coop Upgraded Fury	Kerrigan - Void - Coop - Fureur améliorée
Kerrigan Void Coop Wild Mutation Upgrade	Kerrigan - Void - Coop - Amélioration mutations frénétiques
Laser Targeting System	Système de ciblage laser
LegendaryLegionAbilities	Capacité des légions légendaires
Lock On Target Add Upgrade	Verrouillage de la cible - Ajouter amélioration
Mastery Abathur Biomass Refund	Abathur - Maîtrise - Restitution de biomasse
Mastery Abathur Double Biomass	Abathur - Maîtrise - Biomasse doublée
Mastery Abathur Mend Heal Duration	Abathur - Maîtrise - Durée des soins de Guérison
Mastery Abathur Symbiote CDR	Abathur - Maîtrise - Symbiote - Réduction des temps de recharge
Mastery Abathur Symbiote Carapace And Damage	Abathur - Maîtrise - Carapace de symbiote et dégâts
Mastery Abathur Tech Fast Build	Abathur - Maîtrise - Construction rapide des technologies
Mastery Abathur Toxic Nest Charge	Abathur - Maîtrise - Charge de Nid toxique
Mastery Abathur Toxic Nest Damage	Abathur - Maîtrise - Dégâts de Nid toxique
Mastery Alarak Auto Attack Damage	Alarak - Maîtrise - Dégâts d’attaque automatique
Mastery Alarak Chrono Boost	Alarak - Maîtrise - Poussée temporelle
Mastery Alarak Cocoon Timer	Alarak - Maîtrise - Chrono du cocon
Mastery Alarak Death Fleet CDR	Alarak - Maîtrise - Flotte de mort - Réduction de temps de recharge
Mastery Alarak Empower Me Slaves Duration	Alarak - Maîtrise - Renforcez-moi, esclaves - Durée
Mastery Alarak Overcharge Shields & Damage	Alarak - Maîtrise - Surcharge - Boucliers et dégâts
Mastery Alarak Unit Attack Speed	Alarak - Maîtrise - Vitesse d’attaque d’unité
Mastery Artanis Chrono Boost	Artanis - Maîtrise - Poussée temporelle
Mastery Artanis Guardian Shell	Artanis - Maîtrise - Cuirasse protectrice
Mastery Artanis Shield Overcharge	Artanis - Maîtrise - Surcharge de bouclier
Mastery Artanis Shield Overcharge CDR	Artanis - Maîtrise - Réduction du temps de recharge de Surcharge de bouclier
Mastery Artanis Shield Regen	Artanis - Maîtrise - Régénération de bouclier
Mastery Artanis SoA Power Field Warp In Haste	Artanis - Maîtrise - LdA - Champ d’énergie - Transfert - Hâte
Mastery Artanis Solar Bombardment	Artanis - Maîtrise - Bombardement solaire
Mastery Artanis Starting And Max SoA Energy	Artanis - Maîtrise - Énergie initiale et maximale de la LdA
Mastery Artanis Starting Resources	Artanis - Maîtrise - Ressources initiales
Mastery Artanis Warp Charge Cooldown	Artanis - Maîtrise - Charge de transfert - Temps de recharge
MasteryHornerAirStrikeDistance	Maîtrise - Horner - Distance de frappe de la flotte
MasteryHornerBetterDeathRattle	Maîtrise - Horner - Morts productives
MasteryHornerDoubleSalvageChance	Maîtrise - Horner - Chances de recyclage doublées
MasteryHornerLPSHeal	Maîtrise - Horner - Régénération de vie des unités de Matt Horner
MasteryHornerMSOBonus	Maîtrise - Horner - Bonus de synergie
MasteryHornerMagMineUpgrades	Maîtrise - Horner - Amélioration des mines magnétiques
Mastery Karax Building Vital	Karax - Maîtrise - Points de vie des bâtiments
Mastery Karax Chrono Boost Speed	Karax - Maîtrise - Accélération de Poussée temporelle
Mastery Karax Max Energy	Karax - Maîtrise - Énergie maximum
Mastery Karax Repair Beam Heal	Karax - Maîtrise - Soins de Rayon réparateur
Mastery Karax SoA Chrono Regen	Karax - Maîtrise - Chrono LdA - Régénération
Mastery Karax Starting And Max SoA Energy	Karax - Maîtrise - Énergie initiale et maximum de la LdA
Mastery Karax Starting Supply	Karax - Maîtrise - Ravitaillement de départ
Mastery Karax Unit Cost	Karax - Maîtrise - Coût des unités
Mastery Karax Unit Vital	Karax - Maîtrise - Signes vitaux des unités
Mastery Karax Unity Barrier	Karax - Maîtrise - Barrière d’unité
Mastery Kerrigan Army Gas Cost	Kerrigan - Maîtrise - Coût en gaz de l’armée
Mastery Kerrigan Assimilation Aura Duration	Kerrigan - Maîtrise - Durée d’Aura d’assimilation
Mastery Kerrigan Auto Attack Damage	Kerrigan - Maîtrise - Dégâts des attaques automatiques
Mastery Kerrigan Cocoon Timer	Kerrigan - Maîtrise - Cocon - Chrono
Mastery Kerrigan Energy Regen	Kerrigan - Maîtrise - Régénération d’énergie
Mastery Kerrigan Immobilization Wave Damage	Kerrigan - Maîtrise - Vague immobilisante - Dégâts
Mastery Kerrigan Larva Rate	Kerrigan - Maîtrise - Fréquence des larves
Mastery Kerrigan Mutating Carapace Life Degradation	Kerrigan - Maîtrise - Carapace mutante - Perte progressive du bonus aux points de vie
Mastery Kerrigan Research Speed and Cost	Kerrigan - Maîtrise - Vitesse et coût de recherche
Mastery Kerrigan Starting Supply	Kerrigan - Maîtrise - Ravitaillement de départ
Mastery Nova Army Attack Speed	Nova - Maîtrise - Vitesse d’attaque d’armée
Mastery Nova Drone Cooldown	Nova - Maîtrise - Temps de recharge de drone
Mastery Nova Energy Regen	Nova - Maîtrise - Régénération d’énergie
Mastery Nova Griffin Cost	Nova - Maîtrise - Coût du Griffon
Mastery Nova Nuke And Holo Decoy Cooldown	Nova - Maîtrise - Temps de recharge de Frappe nucléaire tactique et Hologramme
Mastery Nova Odin Duration	Nova - Maîtrise - Durée du Odin
Mastery Nova Primary Ability Improvement	Nova - Maîtrise - Amélioration des capacités de base
Mastery Nova Research Time And Cost	Nova - Maîtrise - Temps et coût de recherche
Mastery Nova Revive Timer	Nova - Maîtrise - Temps de réanimation
Mastery Nova Weapon Attack Speed	Nova - Maîtrise - Arme - Vitesse d’attaque
Mastery Raynor Building Health	Raynor - Maîtrise - Points de vie des bâtiments
Mastery Raynor Drop Pod Haste	Raynor - Maîtrise - Hâte de Capsule de débarquement
Mastery Raynor Dusk Wing Cooldown	Raynor - Maîtrise - Temps de recharge de l’escadron Pénombre
Mastery Raynor Hyperion Cooldown	Raynor - Maîtrise - Temps de recharge de l’Hypérion
Mastery Raynor Improved Safeguard	Raynor - Maîtrise - Protection renforcée
Mastery Raynor Mech Attack Speed	Raynor - Maîtrise - Mécanoïdes - Vitesse d’attaque
Mastery Raynor Medic Secondary Heal	Raynor - Maîtrise - Soins supplémentaires du médic
Mastery Raynor Research Speed	Raynor - Maîtrise - Vitesse de recherche
Mastery Raynor Starting Supply	Raynor - Maîtrise - Ravitaillement de départ
Mastery Raynor Stim Duration	Raynor - Maîtrise - Durée des stimulants
Mastery Stukov Aleksander CDR	Stukov - Maîtrise - Aleksander - Réduction de temps de recharge
Mastery Stukov Apocalisk CDR	Stukov - Maîtrise - Apocalisk - Réduction de temps de recharge
Mastery Stukov Infest Structure CDR	Stukov - Maîtrise - Contamination de bâtiment - Réduction de temps de recharge
Mastery Stukov Mech Attack Speed	Stukov - Maîtrise - Vitesse d’attaque mécanique
Mastery Stukov Timed Life	Stukov - Maîtrise - Espérance de vie
Mastery Stukov Unit Move Speed	Stukov - Maîtrise - Unité - Vitesse de déplacement
Mastery Stukov Unit Regen Speed	Stukov - Maîtrise - Vitesse de régénération des unités
Mastery Stukov Volatile Chance	Stukov - Maîtrise - Chances d’instabilité
Mastery Swann Building Health	Swann - Maîtrise - Points de vie des bâtiments
Mastery Swann Combat Drop	Swann - Maîtrise - Largage de combat
Mastery Swann Concentrated Beam	Swann - Maîtrise - Rayon concentré
Mastery Swann Immortality Protocol	Swann - Maîtrise - Protocole Immortalité
Mastery Swann Laser Drill Build Time	Swann - Maîtrise - Foreuse laser - Temps de construction
Mastery Swann Research Speed	Swann - Maîtrise - Vitesse de recherche
Mastery Swann Starting Resources	Swann - Maîtrise - Ressources de départ
Mastery Swann Starting Supplies	Swann - Maîtrise - Ravitaillement de départ
Mastery Swann Vespene Harvester Cost	Swann - Maîtrise - Collecteur de vespène - Coût
Mastery Toxic Nest Respawn	Maîtrise - Nid toxique - Réapparition
Mastery Vorazun Black Hole Duration	Vorazun - Maîtrise - Durée de Trou noir
Mastery Vorazun Chrono Boost Speed	Vorazun - Maîtrise - Accélération de Poussée temporelle
Mastery Vorazun Dark Pylon Radius	Vorazun - Maîtrise - Rayon de Pylône noir
Mastery Vorazun Shadow Guard Duration	Vorazun - Maîtrise - Présence de la Garde de l’ombre
Mastery Vorazun Starting And Max SoA Energy	Vorazun - Maîtrise - Énergie initiale et maximale de la LdA
Mastery Vorazun Starting Supply	Vorazun - Maîtrise - Ravitaillement de départ
Mastery Vorazun Time Stop Haste	Vorazun - Maîtrise - Hâte d’Arrêt du temps
Mastery Vorazun Time Stop Haste Modify Player	Vorazun - Maîtrise - Hâte d’Arrêt du temps - Modification - Joueur
Mastery Zagara Auto Attack Damage	Zagara - Maîtrise - Dégâts des attaques automatiques
Mastery Zagara Banelings Damage	Zagara - Maîtrise - Dégâts des chancres
Mastery Zagara Cocoon Timer	Zagara - Maîtrise - Cocon - Chrono
Mastery Zagara Health And Energy Regen	Zagara - Maîtrise - Récupération de points de vie et d’énergie
Mastery Zagara Larva Rate	Zagara - Maîtrise -Fréquence des larves
Zagara Larva Rate Passive	Zagara - Fréquence des larves - Capacité passive
Mastery Zagara Mass Frenzy Speed Boost	Zagara - Maîtrise - Frénésie de masse - Bonus
Mastery Zagara Research Speed	Zagara - Maîtrise - Vitesse de recherche
Mastery Zagara Roach Drop Damage And Health	Zagara - Maîtrise - Dégâts et points de vie des cafards largués
Mastery Zagara Starting Supply	Zagara - Maîtrise - Ravitaillement de départ
Mastery Zagara Zergling Dodge Chance	Zagara - Maîtrise - Chance d’esquive des zerglings
Mastery Zeratul Artifact Fragment Spawn Rate	Zeratul - Maîtrise - Fréquence d’apparition de fragment d’artéfact
Mastery Zeratul Avatar Cooldown	Zeratul - Maîtrise - Temps de recharge des avatars
Mastery Zeratul Combat Unit Attack Speed	Zeratul - Maîtrise - Vitesse d’attaque des unités de combat
Mastery Zeratul Legendary Legion Cost	Zeratul - Maîtrise - Coût des légions légendaires
Mastery Zeratul Support Calldown Cooldown Reduction	Zeratul - Maîtrise - Réduction du temps de recharge des capacités d’appel
Mastery Zeratul Zeratul Attack Speed	Zeratul - Maîtrise - Vitesse d’attaque de Zeratul
Sundering Glave	Sabre scindant
IsPlayer1	Est le joueur 1
IsPlayer2	Est le joueur 2
Just Die	Mais crevez !
Short Sighted	Myopie
Worker Timed Life	Vie minutée de l’ouvrier
Replenishable Magazine	Magasin rechargeable
NovaACAoEhealing	NovaACAoEhealing
Nova Armor Jump Suit	Nova - Tenue - Combinaison à réacteurs
Nova Armor Predator Battlesuit	Nova - Tenue - Armure de combat Prédateur
Nova Armor Stealth Suit	Nova - Tenue - Combinaison furtive
Nova Better Research	Nova - Recherche améliorée
NovaBuybackUnlock	NovaBuybackUnlock
Nova Gadget Flashbang Grenades	Nova - Gadget - Grenades incapacitantes
Nova Gadget Hive Mind Amplifier	Nova - Gadget - Amplificateur de conscience collective
Nova Gadget Pulse Grenades	Nova - Gadget - Grenades à impulsion
Nova Gadget Super Stim	Nova - Gadget - Super stimulants
Nova Gadget Swarm Grenade	Nova - Gadget - Grenade grouillante
Nova Global Power Upgrades	Nova - Améliorations globales de puissance
Nova Helmet Ghost Visor	Nova - Optique - Visière fantôme
Nova Helmet Hive Mind Amplifier	Nova - Optique - Amplificateur de conscience collective
Nova Helmet Rangefinder Oculus	Nova - Optique - Visière Oculus
Nova Helmet Sensor Visor	Nova - Optique - Visière de détection
Nova Improved Weapon Damage	Nova - Dégâts d’arme améliorés
Nova No Gear Dummy	Nova - Pas d’équipement - Mannequin
Nova Odin Barrage	Nova - Barrage du Odin
Infernal Projectiles	Projectiles infernaux
Operational Efficiency	Efficacité opérationnelle
Nova Unit Life Regen	Nova - Unité - Régénération de vie
Nova Weapon Canister Rifle	Nova - Arme - Fusil de précision
Nova Weapon Hellfire Shotgun	Nova - Arme - Fusil Feu d’enfer
Nova Weapon Improved Canister Rifle	Nova - Arme - Fusil de précision amélioré
Nova Weapon Invictus Longshot	Nova - Arme - Fusil Invictus
Nova Weapon Psi Blade	Nova - Arme - Lame psi
Nova Weapon Psi Rifle	Nova - Arme - Fusil psi
Nova_BlackOps_COOP	Nova_Opérations spéciales_COOP
Wormhole	Trou de ver
Destruction Beam	Rayon destructeur
Phoenix Double Graviton Beam	Phénix - Double rayon à gravitons
Photon Cannon Range	Portée du canon à photons
Protoss Shields Level 3	Boucliers protoss - Niv. 3
Queen Classic Ensnare Upgrade	Reine classique - Piège - Amélioration
Queen Classic Full Starting Energy	Reine classique - Énergie de départ maximum
Queen Double Inject Larva	Reine - Injecter une larve double
Point Defense Drone Attack Aura	Drone de défense rapprochée - Aura d’attaque
Raynor Banshee Airstrike	Raynor - Frappe aérienne de Banshee
